Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
5,Aaron Jones (GB),15,145,9.7,67,1,2,3,5,27,9,0,0,1,32.2,32.2,99.7%,2018,10
3,Aaron Jones (GB),11,40,3.6,8,0,1,5,6,63,12.6,1,0,1,27.3,27.3,99.7%,2018,11
6,Aaron Jones (GB),17,78,4.6,29,1,1,3,3,28,9.3,0,0,1,19.6,19.6,99.7%,2018,14
14,Aaron Jones (GB),17,72,4.2,11,0,1,3,5,21,7,0,0,1,18.3,18.3,99.7%,2018,12
17,Aaron Jones (GB),12,86,7.2,33,1,1,2,2,0,0,0,0,1,16.6,16.6,99.7%,2018,8
19,Aaron Jones (GB),11,65,5.9,30,1,1,1,1,17,17,0,0,1,15.2,15.2,99.7%,2018,4
16,Aaron Jones (GB),11,36,3.3,13,0,1,4,4,16,4,0,0,1,15.2,15.2,99.7%,2018,13
28,Aaron Jones (GB),14,75,5.4,13,0,0,2,4,10,5,0,1,1,8.5,8.5,99.7%,2018,9
36,Aaron Jones (GB),7,40,5.7,18,0,0,2,3,19,9.5,0,0,1,7.9,7.9,99.7%,2018,5
49,Aaron Jones (GB),6,42,7,17,0,0,1,1,5,5,0,0,1,5.7,5.7,99.7%,2018,3
48,Aaron Jones (GB),8,41,5.1,16,0,0,0,1,0,0,0,0,1,4.1,4.1,99.7%,2018,6
76,Aaron Jones (GB),4,8,2,3,0,0,0,0,0,0,0,0,1,0.8,0.8,99.7%,2018,15
6,Adrian Peterson (FA),26,149,5.7,64,1,1,1,1,7,7,1,1,1,26.6,26.6,2.1%,2018,8
4,Adrian Peterson (FA),19,120,6.3,41,1,2,0,0,0,0,0,0,1,24,24,2.1%,2018,3
8,Adrian Peterson (FA),26,96,3.7,17,0,1,2,3,70,35,0,1,1,22.6,22.6,2.1%,2018,1
13,Adrian Peterson (FA),16,51,3.2,9,0,2,0,0,0,0,0,0,1,17.1,17.1,2.1%,2018,11
13,Adrian Peterson (FA),9,98,10.9,90,1,1,0,0,0,0,0,0,1,15.8,15.8,2.1%,2018,13
23,Adrian Peterson (FA),26,119,4.6,13,0,0,1,2,8,8,0,0,1,13.7,13.7,2.1%,2018,16
26,Adrian Peterson (FA),24,99,4.1,23,2,0,1,2,8,8,0,0,1,11.7,11.7,2.1%,2018,7
29,Adrian Peterson (FA),17,97,5.7,19,0,0,0,1,0,0,0,0,1,9.7,9.7,2.1%,2018,6
35,Adrian Peterson (FA),19,51,2.7,15,0,0,2,3,20,10,0,0,1,9.1,9.1,2.1%,2018,15
32,Adrian Peterson (FA),19,68,3.6,18,0,0,2,2,1,0.5,0,0,1,8.9,8.9,2.1%,2018,10
38,Adrian Peterson (FA),11,20,1.8,14,0,0,3,3,30,10,0,0,1,8,8,2.1%,2018,2
41,Adrian Peterson (FA),12,35,2.9,9,0,0,2,2,9,4.5,0,0,1,6.4,6.4,2.1%,2018,12
40,Adrian Peterson (FA),9,17,1.9,11,0,0,3,3,16,5.3,0,0,1,6.3,6.3,2.1%,2018,9
44,Adrian Peterson (FA),4,6,1.5,4,0,0,2,3,36,18,0,0,1,6.2,6.2,2.1%,2018,5
65,Adrian Peterson (FA),10,16,1.6,12,0,0,1,1,3,3,0,0,1,2.9,2.9,2.1%,2018,14
90,Adrian Peterson (FA),4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2.1%,2018,17
51,Alex Armah Jr. (WAS),1,1,1,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%,2018,1
41,Alex Armah Jr. (WAS),1,1,1,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%,2018,9
74,Alex Armah Jr. (WAS),1,1,1,1,0,0,1,1,5,5,0,0,1,1.6,1.6,0.0%,2018,17
82,Alex Armah Jr. (WAS),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2018,2
67,Alex Armah Jr. (WAS),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2018,5
74,Alex Armah Jr. (WAS),2,3,1.5,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%,2018,10
88,Alex Armah Jr. (WAS),1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%,2018,3
93,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,6
