Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Jimmy Graham (FA),4,5,69,17.3,30,3,2,0,0,0,0,1,20.9,20.9,0.0%,2020,16
2,Irv Smith Jr. (MIN),6,9,53,8.8,14,0,2,0,0,0,0,1,20.3,20.3,12.8%,2020,16
3,Travis Kelce (KC),7,13,98,14,29,2,1,0,0,0,0,1,19.3,19.3,100.0%,2020,16
4,Rob Gronkowski (FA),2,2,58,29,33,3,2,0,0,0,0,1,18.8,18.8,1.7%,2020,16
5,Darren Waller (LV),5,6,112,22.4,33,4,0,0,0,0,0,1,13.7,13.7,83.6%,2020,16
6,Hayden Hurst (CIN),5,6,47,9.4,17,0,1,0,0,0,0,1,13.2,13.2,35.8%,2020,16
7,Eric Ebron (FA),5,7,47,9.4,11,0,1,0,0,0,0,1,13.2,13.2,0.0%,2020,16
8,Chris Herndon IV (FA),4,4,34,8.5,11,0,1,0,0,0,0,1,11.4,11.4,0.0%,2020,16
9,George Kittle (SF),4,5,92,23,27,3,0,0,0,0,0,1,11.2,11.2,99.2%,2020,16
10,Austin Hooper (TEN),7,15,71,10.1,28,1,0,0,0,0,0,1,10.6,10.6,12.7%,2020,16
11,Mark Andrews (BAL),6,10,76,12.7,25,2,0,0,0,0,0,1,10.6,10.6,99.3%,2020,16
12,Evan Engram (JAC),7,10,65,9.3,15,0,0,1,5,0,0,1,10.5,10.5,85.1%,2020,16
13,Jonnu Smith (NE),3,7,30,10,12,0,1,0,0,0,0,1,10.5,10.5,1.0%,2020,16
14,Lee Smith (FA),2,2,31,15.5,27,1,1,0,0,0,0,1,10.1,10.1,0.0%,2020,16
15,Logan Thomas (WAS),7,12,63,9,19,0,0,1,0,0,0,1,9.8,9.8,6.7%,2020,16
16,Jared Cook (FA),3,4,82,27.3,44,3,0,0,0,0,0,1,9.7,9.7,0.0%,2020,16
17,Noah Fant (SEA),6,9,65,10.8,19,0,0,0,0,0,0,1,9.5,9.5,33.6%,2020,16
18,Jacob Hollister (SEA),2,6,17,8.5,13,0,1,0,0,0,0,1,8.7,8.7,0.0%,2020,16
19,Darren Fells (FA),1,2,22,22,22,1,1,0,0,0,0,1,8.7,8.7,0.0%,2020,16
20,Mike Gesicki (MIA),4,7,54,13.5,31,2,0,0,0,0,0,1,7.4,7.4,34.9%,2020,16
21,Drew Sample (CIN),1,1,8,8,8,0,1,0,0,0,0,1,7.3,7.3,0.0%,2020,16
22,Jack Doyle (FA),4,6,50,12.5,18,0,0,0,0,0,0,1,7,7,2.0%,2020,16
23,Stephen Anderson (ARI),4,6,48,12,23,1,0,0,0,0,0,1,6.8,6.8,0.0%,2020,16
24,Dawson Knox (BUF),3,4,51,17,24,1,0,0,0,0,0,1,6.6,6.6,79.9%,2020,16
25,Jordan Akins (HOU),4,4,39,9.8,15,0,0,0,0,0,0,1,5.9,5.9,1.0%,2020,16
26,Donald Parham Jr. (LAC),2,3,47,23.5,26,2,0,0,0,0,0,1,5.7,5.7,0.2%,2020,16
27,Adam Trautman (NO),2,2,45,22.5,41,3,0,0,0,0,0,1,5.5,5.5,0.4%,2020,16
28,Dallas Goedert (PHI),3,3,38,12.7,23,1,0,0,0,0,0,1,5.3,5.3,91.9%,2020,16
29,Harrison Bryant (CLE),3,7,37,12.3,14,0,0,0,0,0,0,1,5.2,5.2,1.6%,2020,16
30,Tyler Conklin (NYJ),4,6,31,7.8,9,0,0,0,0,0,0,1,5.1,5.1,33.2%,2020,16
31,Tyler Higbee (LAR),3,6,34,11.3,22,1,0,0,0,0,0,1,4.9,4.9,74.0%,2020,16
32,Zach Ertz (ARI),3,7,33,11,17,0,0,0,0,0,0,1,4.8,4.8,30.9%,2020,16
