Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
94,Tanner Hudson (CIN),3,7,41,13.7,20,1,0,0,0,0,0,11,5.6,0.5,0.1%,2020
95,Charlie Woerner (SF),3,4,36,12,18,0,0,0,0,0,0,14,5.1,0.4,0.0%,2020
96,Kahale Warring (FA),3,7,35,11.7,23,1,0,0,0,0,0,7,5,0.7,0.0%,2020
97,Hunter Bryant (FA),1,3,44,44,44,3,0,0,0,0,0,5,4.9,1,0.0%,2020
98,Daniel Brown (FA),2,2,31,15.5,18,0,0,0,0,0,0,16,4.1,0.3,0.0%,2020
99,Jaeden Graham (FA),3,5,25,8.3,11,0,0,0,0,0,0,16,4,0.3,0.0%,2020
100,Stephen Carlson (FA),1,2,11,11,11,0,0,0,0,0,0,16,3.6,0.2,0.0%,2020
101,Ben Ellefson (MIN),1,4,10,10,10,0,0,0,0,0,0,7,3.5,0.5,0.0%,2020
102,Dalton Keene (DEN),3,5,16,5.3,8,0,0,0,0,0,0,6,3.1,0.5,0.0%,2020
103,Eric Saubert (DEN),3,4,16,5.3,9,0,0,0,0,0,0,8,3.1,0.4,0.1%,2020
104,Colby Parkinson (SEA),2,2,16,8,10,0,0,0,0,0,0,6,2.6,0.4,0.1%,2020
105,Derek Carrier (FA),1,1,14,14,14,0,0,0,0,0,0,16,1.9,0.1,0.0%,2020
106,Josiah Deguara (GB),1,2,12,12,12,0,0,0,0,0,0,2,1.7,0.9,0.1%,2020
107,Luke Willson (FA),1,3,12,12,12,0,0,0,0,0,0,8,1.7,0.2,0.0%,2020
108,Blake Jarwin (FA),1,1,12,12,12,0,0,0,0,0,0,1,1.7,1.7,4.0%,2020
109,Jake Butt (FA),2,4,5,2.5,5,0,0,0,0,0,0,5,1.5,0.3,0.1%,2020
110,Temarrick Hemingway (FA),1,2,10,10,10,0,0,0,0,0,0,8,1.5,0.2,0.0%,2020
111,Brandon Dillon (FA),1,1,6,6,6,0,0,0,0,0,0,3,1.1,0.4,0.0%,2020
112,Jeremy Sprinkle (FA),1,3,6,6,6,0,0,0,0,0,0,16,1.1,0.1,0.0%,2020
113,Trevon Wesco (CHI),1,2,5,5,5,0,0,1,0,0,0,12,1,0.1,0.0%,2020
114,Isaac Nauta (FA),1,2,3,3,3,0,0,0,0,0,0,7,0.8,0.1,0.0%,2020
115,Marcus Baugh (FA),1,1,2,2,2,0,0,0,0,0,0,8,0.7,0.1,0.0%,2020
116,Bruce Miller (FA),1,2,2,2,2,0,0,0,0,0,0,8,0.7,0.1,0.0%,2020
117,Kevin Rader (TEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
118,Jake Bargas (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
119,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
120,Chris Myarick (NYG),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
121,Brycen Hopkins (LAR),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.1%,2020
122,Zach Gentry (PIT),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1%,2020
123,Caleb Wilson (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2020
124,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0%,2020
125,Hale Hentges (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
126,John Lovett (MIA),0,0,0,0,0,0,0,3,6,0,0,8,0,0,0.0%,2020
127,Nate Becker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
128,Daniel Helm (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2020
