Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Kyler Murray (ARI),21,26,80.8,283,10.9,3,0,1,11,106,1,1,1,37.9,37.9,53.7%,2020,9
2,Josh Allen (BUF),31,38,81.6,415,10.9,3,0,7,7,14,1,0,1,36,36,100.0%,2020,9
3,Patrick Mahomes II (KC),30,45,66.7,372,8.3,4,0,2,1,6,0,0,1,31.5,31.5,100.0%,2020,9
4,Drew Lock (SEA),25,48,52.1,313,6.5,2,1,1,7,47,1,0,1,30.2,30.2,0.2%,2020,9
5,Aaron Rodgers (GB),25,31,80.6,305,9.8,4,0,1,1,7,0,0,1,28.9,28.9,83.7%,2020,9
6,Teddy Bridgewater (MIA),36,49,73.5,310,6.3,2,0,2,2,19,1,0,1,28.3,28.3,5.4%,2020,9
7,Ben Roethlisberger (FA),29,42,69,306,7.3,3,0,0,1,8,0,0,1,25,25,13.6%,2020,9
8,Cam Newton (FA),27,35,77.1,274,7.8,0,0,0,10,16,2,0,1,24.6,24.6,9.1%,2020,9
9,Deshaun Watson (CLE),19,32,59.4,281,8.8,2,0,2,10,50,0,0,1,24.2,24.2,64.4%,2020,9
10,Russell Wilson (DEN),28,41,68.3,390,9.5,2,2,5,2,5,1,2,1,24.1,24.1,45.7%,2020,9
11,Matt Ryan (IND),25,35,71.4,284,8.1,3,1,2,3,10,0,0,1,23.4,23.4,8.8%,2020,9
12,Justin Herbert (LAC),28,42,66.7,326,7.8,2,0,2,5,24,0,0,1,23.4,23.4,98.4%,2020,9
13,Drew Brees (FA),26,32,81.3,222,6.9,4,0,1,2,-2,0,1,1,22.7,22.7,35.7%,2020,9
14,Jake Luton (NO),26,38,68.4,304,8,1,1,2,1,13,1,0,1,22.5,22.5,0.0%,2020,9
15,Nick Foles (IND),36,52,69.2,335,6.4,2,0,3,2,2,0,0,1,21.6,21.6,1.6%,2020,9
16,Joe Flacco (NYJ),18,25,72,262,10.5,3,1,1,0,0,0,0,1,21.5,21.5,0.9%,2020,9
17,Tua Tagovailoa (MIA),20,28,71.4,248,8.9,2,0,3,7,35,0,0,1,21.4,21.4,81.9%,2020,9
18,Kirk Cousins (MIN),13,20,65,220,11,3,0,1,0,0,0,0,1,20.8,20.8,92.3%,2020,9
19,Lamar Jackson (BAL),19,23,82.6,170,7.4,0,0,2,13,58,1,0,1,18.6,18.6,92.4%,2020,9
20,Garrett Gilbert (NE),21,38,55.3,243,6.4,1,1,2,3,28,0,0,1,15.5,15.5,0.0%,2020,9
21,Ryan Tannehill (TEN),10,21,47.6,158,7.5,2,0,3,3,3,0,0,1,14.6,14.6,18.6%,2020,9
22,Derek Carr (LV),13,23,56.5,165,7.2,2,0,1,2,14,0,1,1,14,14,54.7%,2020,9
23,Alex Smith (FA),24,32,75,325,10.2,1,3,2,0,0,0,0,1,14,14,5.0%,2020,9
24,Daniel Jones (NYG),23,34,67.6,212,6.2,1,0,5,6,4,0,0,1,12.9,12.9,64.1%,2020,9
25,Nick Mullens (MIN),22,35,62.9,291,8.3,1,1,1,1,0,0,1,1,12.6,12.6,0.0%,2020,9
26,Matthew Stafford (LAR),23,32,71.9,211,6.6,1,2,2,0,0,0,0,1,10.4,10.4,28.1%,2020,9
27,Taysom Hill (NO),2,2,100,48,24,0,0,0,7,54,0,0,1,9.9,9.9,49.2%,2020,9
28,Philip Rivers (FA),25,43,58.1,227,5.3,0,1,0,0,0,0,0,1,8.1,8.1,20.6%,2020,9
29,Chase Daniel (LAC),8,13,61.5,94,7.2,1,1,0,1,5,0,0,1,7.3,7.3,0.1%,2020,9
30,Tom Brady (TB),22,38,57.9,209,5.5,0,3,3,0,0,0,0,1,5.4,5.4,87.4%,2020,9
31,Kyle Allen (HOU),5,7,71.4,62,8.9,0,0,0,0,0,0,0,1,2.5,2.5,0.2%,2020,9
32,John Lovett (MIA),0,0,0,0,0,0,0,0,3,6,0,0,1,0.6,0.6,0.0%,2020,9
33,Jameis Winston (NO),1,1,100,12,12,0,0,0,3,-3,0,0,1,0.2,0.2,5.5%,2020,9
34,Mason Rudolph (PIT),2,3,66.7,3,1,0,0,0,0,0,0,0,1,0.1,0.1,0.0%,2020,9
35,Tyrod Taylor (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,9
36,Jacoby Brissett (CLE),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8%,2020,9
37,Tim Boyle (CHI),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2020,9
38,Blaine Gabbert (TB),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2020,9
