Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Dak Prescott (DAL),34,47,72.3,450,9.6,1,0,1,5,18,3,1,1,39.8,39.8,93.5%,2020,2
2,Cam Newton (FA),30,44,68.2,397,9,1,1,1,11,47,2,0,1,35.6,35.6,9.1%,2020,2
3,Josh Allen (BUF),24,35,68.6,415,11.9,4,0,1,4,19,0,0,1,34.5,34.5,100.0%,2020,2
4,Russell Wilson (DEN),21,28,75,288,10.3,5,1,2,5,39,0,0,1,34.4,34.4,45.7%,2020,2
5,Kyler Murray (ARI),26,38,68.4,286,7.5,1,1,3,8,67,2,0,1,33.1,33.1,53.7%,2020,2
6,Matt Ryan (IND),24,36,66.7,273,7.6,4,0,1,4,16,0,0,1,28.5,28.5,8.8%,2020,2
7,Patrick Mahomes II (KC),27,47,57.4,302,6.4,2,0,1,6,54,0,0,1,27.5,27.5,100.0%,2020,2
8,Ryan Tannehill (TEN),18,24,75,239,10,4,0,1,4,12,0,0,1,26.8,26.8,18.6%,2020,2
9,Gardner Minshew II (PHI),30,45,66.7,339,7.5,3,2,2,4,19,0,0,1,25.5,25.5,36.5%,2020,2
10,Joe Burrow (CIN),37,61,60.7,316,5.2,3,0,3,7,19,0,1,1,24.5,24.5,99.7%,2020,2
11,Ryan Fitzpatrick (FA),31,47,66,328,7,2,0,3,3,12,0,0,1,24.3,24.3,0.0%,2020,2
12,Jared Goff (DET),20,27,74.1,267,9.9,3,0,1,7,13,0,0,1,24,24,77.6%,2020,2
13,Justin Herbert (LAC),22,33,66.7,311,9.4,1,1,2,4,18,1,0,1,23.2,23.2,98.4%,2020,2
14,Derek Carr (LV),28,38,73.7,284,7.5,3,0,3,3,3,0,1,1,21.7,21.7,54.7%,2020,2
15,Jeff Driskel (HOU),18,34,52.9,256,7.5,2,1,6,2,5,0,0,1,19.7,19.7,5.1%,2020,2
16,Ben Roethlisberger (FA),29,41,70.7,311,7.6,2,1,1,3,-2,0,0,1,19.2,19.2,13.6%,2020,2
17,Aaron Rodgers (GB),18,30,60,240,8,2,0,1,2,12,0,0,1,18.7,18.7,83.7%,2020,2
18,Lamar Jackson (BAL),18,24,75,204,8.5,1,0,4,16,54,0,0,1,17.6,17.6,92.4%,2020,2
19,Matthew Stafford (LAR),20,33,60.6,244,7.4,2,1,4,1,4,0,0,1,17.2,17.2,28.1%,2020,2
20,Baker Mayfield (LAR),16,23,69.6,219,9.5,2,1,0,3,5,0,0,1,16.3,16.3,8.3%,2020,2
21,Deshaun Watson (CLE),25,36,69.4,275,7.6,1,1,4,5,17,0,0,1,15.7,15.7,64.4%,2020,2
22,Drew Brees (FA),26,38,68.4,312,8.2,1,1,0,0,0,0,0,1,15.5,15.5,35.7%,2020,2
23,Mitch Trubisky (PIT),18,28,64.3,190,6.8,2,2,4,4,16,0,0,1,15.2,15.2,0.8%,2020,2
24,Carson Wentz (WAS),26,43,60.5,242,5.6,0,2,0,2,7,1,0,1,14.4,14.4,8.4%,2020,2
25,Jimmy Garoppolo (SF),14,16,87.5,131,8.2,2,0,1,0,0,0,0,1,13.2,13.2,13.5%,2020,2
26,Sam Darnold (CAR),21,32,65.6,179,5.6,1,0,1,2,7,0,0,1,11.9,11.9,5.3%,2020,2
27,Philip Rivers (FA),19,25,76,214,8.6,1,1,2,4,3,0,0,1,11.9,11.9,20.6%,2020,2
28,Dwayne Haskins (FA),19,33,57.6,223,6.8,1,0,4,1,8,0,1,1,11.7,11.7,0.1%,2020,2
29,Teddy Bridgewater (MIA),33,42,78.6,367,8.7,0,2,5,0,0,0,1,1,10.7,10.7,5.4%,2020,2
30,Tom Brady (TB),23,35,65.7,217,6.2,1,1,0,1,0,0,1,1,9.7,9.7,87.4%,2020,2
31,Daniel Jones (NYG),25,40,62.5,241,6,0,1,4,3,21,0,1,1,8.7,8.7,64.1%,2020,2
32,Nick Mullens (MIN),8,11,72.7,71,6.5,0,1,2,2,-2,0,0,1,1.6,1.6,0.0%,2020,2
33,Kirk Cousins (MIN),11,26,42.3,113,4.3,0,3,3,0,0,0,0,1,1.5,1.5,92.3%,2020,2
34,Taysom Hill (NO),0,0,0,0,0,0,0,0,2,8,0,0,1,0.8,0.8,49.2%,2020,2
35,John Lovett (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,2
36,Jalen Hurts (PHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98.9%,2020,2
37,Chris Streveler (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,2
38,Andy Dalton (NO),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10.5%,2020,2
39,Tim Boyle (CHI),0,0,0,0,0,0,0,0,2,-1,0,0,1,-0.1,-0.1,0.0%,2020,2
40,Drew Lock (SEA),1,5,20,20,4,0,0,1,0,0,0,1,1,-1.2,-1.2,0.2%,2020,2
