Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Patrick Mahomes II (KC),33,46,71.7,478,10.4,6,3,3,6,28,0,2,1,35.9,35.9,99.8%,2018,11
2,Jared Goff (DET),31,49,63.3,413,8.4,4,0,5,4,6,1,2,1,35.1,35.1,6.8%,2018,11
3,Drew Brees (FA),22,30,73.3,363,12.1,4,0,0,0,0,0,0,1,30.5,30.5,35.7%,2018,11
4,Cam Newton (FA),25,37,67.6,357,9.6,3,1,3,2,2,0,0,1,24.5,24.5,9.4%,2018,11
5,Andrew Luck (FA),23,29,79.3,297,10.2,3,0,0,0,0,0,0,1,23.9,23.9,2.2%,2018,11
6,Aaron Rodgers (GB),21,30,70,332,11.1,2,0,5,1,3,0,0,1,21.6,21.6,94.9%,2018,11
7,Ben Roethlisberger (FA),27,47,57.4,314,6.7,2,3,2,2,1,1,0,1,20.7,20.7,23.8%,2018,11
8,Philip Rivers (FA),28,43,65.1,401,9.3,2,2,3,1,-4,0,0,1,19.6,19.6,20.6%,2018,11
9,Andy Dalton (NO),19,36,52.8,211,5.9,2,0,1,2,29,0,0,1,19.3,19.3,0.4%,2018,11
10,Russell Wilson (DEN),21,31,67.7,225,7.3,2,0,3,5,17,0,0,1,18.6,18.6,93.5%,2018,11
11,Eli Manning (FA),17,18,94.4,231,12.8,2,0,4,1,-1,0,0,1,17.1,17.1,2.3%,2018,11
12,Kirk Cousins (MIN),30,46,65.2,262,5.7,2,2,2,1,5,0,0,1,17,17,78.4%,2018,11
13,Lamar Jackson (BAL),13,19,68.4,150,7.9,0,1,2,27,117,0,0,1,15.7,15.7,99.0%,2018,11
14,Derek Carr (LV),19,31,61.3,192,6.2,2,0,4,0,0,0,0,1,15.7,15.7,89.5%,2018,11
15,Jameis Winston (NO),12,16,75,199,12.4,2,1,0,5,16,0,0,1,15.6,15.6,32.6%,2018,11
16,Mitchell Trubisky (PIT),20,31,64.5,165,5.3,1,2,1,10,43,0,0,1,14.9,14.9,4.5%,2018,11
17,Dak Prescott (DAL),22,32,68.8,208,6.5,0,0,2,4,5,1,0,1,14.8,14.8,94.4%,2018,11
18,Matt Ryan (IND),24,34,70.6,291,8.6,1,1,3,1,1,0,0,1,13.7,13.7,50.4%,2018,11
19,Matthew Stafford (LAR),23,37,62.2,220,5.9,1,0,1,3,6,0,0,1,13.4,13.4,93.8%,2018,11
20,Josh Rosen (FA),9,20,45,136,6.8,3,2,1,1,0,0,0,1,13.4,13.4,0.1%,2018,11
21,Colt McCoy (ARI),6,12,50,54,4.5,1,0,2,5,35,0,0,1,9.7,9.7,0.2%,2018,11
22,Deshaun Watson (CLE),16,24,66.7,208,8.7,1,2,3,3,7,0,0,1,9,9,89.9%,2018,11
23,Case Keenum (BUF),19,32,59.4,205,6.4,0,0,0,0,0,0,0,1,8.2,8.2,0.3%,2018,11
24,Ryan Fitzpatrick (FA),13,21,61.9,167,8,0,3,1,4,14,1,0,1,8.1,8.1,0.6%,2018,11
25,Blaine Gabbert (TB),11,16,68.8,118,7.4,1,1,1,0,0,0,0,1,6.7,6.7,0.0%,2018,11
26,Alex Smith (FA),12,27,44.4,135,5,0,2,3,4,33,0,0,1,4.7,4.7,5.0%,2018,11
27,Blake Bortles (FA),10,18,55.6,104,5.8,0,0,6,2,17,0,1,1,3.9,3.9,0.0%,2018,11
28,Marcus Mariota (ATL),10,13,76.9,85,6.5,0,1,4,4,17,0,0,1,3.1,3.1,19.4%,2018,11
29,Carson Wentz (WAS),19,33,57.6,156,4.7,0,3,3,1,6,0,0,1,0.8,0.8,20.1%,2018,11
30,Taysom Hill (NO),1,2,50,10,5,0,0,0,3,4,0,0,1,0.8,0.8,2.7%,2018,11
97,Robert Griffin III (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2018,11
107,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,11
116,Jeff Driskel (HOU),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,11
139,Taylor Heinicke (WAS),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8%,2018,11
140,Teddy Bridgewater (MIA),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,1.0%,2018,11
141,Jacoby Brissett (CLE),1,2,50,-2,-1,0,0,0,3,-3,0,0,1,-0.4,-0.4,0.7%,2018,11
