Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Tom Brady (TB),28,39,71.8,341,8.7,3,0,1,2,2,1,0,1,31.8,31.8,97.3%,2020,10
2,Kyler Murray (ARI),22,32,68.8,245,7.7,1,1,3,11,61,2,0,1,30.9,30.9,95.6%,2020,10
3,Josh Allen (BUF),32,49,65.3,284,5.8,2,2,0,7,38,0,0,1,29.4,29.4,99.9%,2020,10
4,Ben Roethlisberger (FA),27,46,58.7,333,7.2,4,0,0,1,0,0,0,1,29.3,29.3,23.8%,2020,10
5,Aaron Rodgers (GB),24,34,70.6,325,9.6,2,1,1,3,4,1,0,1,26.4,26.4,94.9%,2020,10
6,Matthew Stafford (LAR),24,33,72.7,276,8.4,3,0,1,0,0,0,0,1,23,23,93.8%,2020,10
7,Lamar Jackson (BAL),24,34,70.6,249,7.3,2,1,2,11,55,0,0,1,22.5,22.5,99.0%,2020,10
8,Daniel Jones (NYG),21,28,75,244,8.7,0,0,3,9,64,1,0,1,22.2,22.2,24.3%,2020,10
9,Justin Herbert (LAC),20,32,62.5,187,5.8,2,1,2,4,10,1,0,1,21.5,21.5,99.7%,2020,10
10,Teddy Bridgewater (MIA),18,24,75,136,5.7,2,1,1,3,16,1,0,1,20,20,1.0%,2020,10
11,Kirk Cousins (MIN),25,36,69.4,292,8.1,2,1,1,1,-1,0,0,1,18.6,18.6,78.4%,2020,10
12,Cam Newton (FA),13,17,76.5,118,6.9,1,0,1,11,21,1,0,1,16.8,16.8,9.4%,2020,10
13,Philip Rivers (FA),29,39,74.4,308,7.9,1,0,1,0,0,0,0,1,16.3,16.3,20.6%,2020,10
14,Alex Smith (FA),38,55,69.1,390,7.1,0,0,2,2,4,0,0,1,16,16,5.0%,2020,10
15,Tua Tagovailoa (MIA),15,25,60,169,6.8,2,0,0,6,-1,0,0,1,14.7,14.7,63.1%,2020,10
16,Deshaun Watson (CLE),20,30,66.7,163,5.4,1,0,2,8,36,0,0,1,14.1,14.1,89.9%,2020,10
17,Joe Burrow (CIN),21,40,52.5,213,5.3,1,0,4,0,0,0,0,1,12.5,12.5,95.7%,2020,10
18,Nick Mullens (LV),24,38,63.2,247,6.5,1,2,2,1,3,0,0,1,12.2,12.2,0.1%,2020,10
19,Russell Wilson (DEN),22,37,59.5,248,6.7,0,2,6,8,60,0,1,1,11.9,11.9,93.5%,2020,10
20,Drew Lock (SEA),23,47,48.9,257,5.5,1,4,2,2,7,0,0,1,11,11,1.8%,2020,10
21,Ryan Tannehill (TEN),15,27,55.6,147,5.4,1,0,1,2,9,0,0,1,10.8,10.8,46.8%,2020,10
22,Jared Goff (DET),27,37,73,302,8.2,0,0,3,5,4,0,1,1,10.5,10.5,6.8%,2020,10
23,Jake Luton (JAC),18,35,51.4,169,4.8,1,1,3,0,0,0,0,1,9.8,9.8,0.0%,2020,10
24,Carson Wentz (WAS),21,37,56.8,208,5.6,0,0,3,2,4,0,0,1,8.7,8.7,20.1%,2020,10
25,Derek Carr (LV),16,25,64,154,6.2,0,0,0,4,10,0,0,1,7.2,7.2,89.5%,2020,10
26,Drew Brees (FA),8,13,61.5,76,5.8,1,0,0,1,-1,0,0,1,6.9,6.9,35.7%,2020,10
27,Jacoby Brissett (CLE),0,0,0,0,0,0,0,0,1,2,1,0,1,6.2,6.2,0.7%,2020,10
28,Baker Mayfield (CLE),12,20,60,132,6.6,0,0,1,3,1,0,0,1,5.4,5.4,1.4%,2020,10
29,Nick Foles (FA),15,26,57.7,106,4.1,0,1,2,1,2,0,0,1,3.4,3.4,0.2%,2020,10
30,Taysom Hill (NO),0,0,0,0,0,0,0,1,8,45,0,1,1,2.5,2.5,2.7%,2020,10
31,Jameis Winston (NO),6,10,60,63,6.3,0,0,2,4,-2,0,0,1,2.3,2.3,32.6%,2020,10
32,Tyler Bray (FA),1,5,20,18,3.6,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2020,10
33,P.J. Walker (CAR),2,4,50,12,3,0,0,1,0,0,0,0,1,0.5,0.5,0.1%,2020,10
87,Blaine Gabbert (TB),0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.0%,2020,10
110,C.J. Beathard (JAC),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,10
121,Logan Woodside (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,10
124,Mason Rudolph (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4%,2020,10
136,Jalen Hurts (PHI),0,0,0,0,0,0,0,0,2,-1,0,0,1,-0.1,-0.1,93.3%,2020,10
