Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Michael Thomas (NO),149,185,"1,725",11.6,49,25,9,1,-9,0,0,16,300.1,18.8,25.9%,2019
2,Chris Godwin (TB),86,121,"1,333",15.5,71,38,9,1,8,0,0,14,233.1,16.7,96.3%,2019
3,Julio Jones (TB),99,157,"1,394",14.1,54,34,6,2,-3,0,0,15,224.6,15,17.4%,2019
4,Cooper Kupp (LAR),94,134,"1,161",12.4,66,33,10,2,4,0,0,16,223.5,14,77.5%,2019
5,DeAndre Hopkins (ARI),104,150,"1,165",11.2,43,24,7,2,18,0,0,15,217.5,14.5,93.7%,2019
6,Kenny Golladay (NYG),65,116,"1,190",18.3,75,43,11,0,0,0,1,16,215.5,13.5,6.8%,2019
7,DeVante Parker (NE),72,128,"1,202",16.7,51,39,9,0,0,0,0,16,210.2,13.1,12.1%,2019
8,Keenan Allen (LAC),104,149,"1,199",11.5,45,21,6,3,16,0,0,16,209.5,13.1,98.9%,2019
9,Amari Cooper (CLE),79,119,"1,189",15.1,53,31,8,1,6,0,0,16,207,12.9,96.3%,2019
10,Julian Edelman (FA),100,153,"1,117",11.2,44,19,6,8,27,0,1,16,206.3,12.9,12.1%,2019
11,Allen Robinson II (LAR),98,154,"1,147",11.7,49,22,7,1,2,0,0,16,205.9,12.9,33.8%,2019
12,Mike Evans (TB),67,118,"1,157",17.3,67,34,8,0,0,0,0,13,199.2,15.3,98.6%,2019
13,Jarvis Landry (NO),83,138,"1,174",14.1,65,30,6,1,10,0,0,16,195.9,12.2,19.0%,2019
14,Tyler Lockett (SEA),82,110,"1,057",12.9,44,25,8,4,-5,0,0,16,194.2,12.1,91.8%,2019
15,A.J. Brown (PHI),52,84,"1,051",20.2,91,40,8,3,60,1,0,16,191.1,11.9,99.9%,2019
16,DJ Chark Jr. (DET),73,118,"1,008",13.8,69,29,8,2,20,0,0,15,189.3,12.6,44.4%,2019
17,Robert Woods (TEN),90,139,"1,134",12.6,48,20,2,17,115,1,0,15,187.9,12.5,41.8%,2019
18,DJ Moore (CAR),87,135,"1,175",13.5,52,29,4,6,40,0,1,15,187,12.5,94.0%,2019
19,Courtland Sutton (DEN),72,124,"1,112",15.4,70,36,6,3,17,0,0,16,186.4,11.7,78.2%,2019
20,John Brown (BUF),72,115,"1,060",14.7,53,26,6,2,7,0,0,15,183.8,12.3,0.0%,2019
21,Stefon Diggs (BUF),63,94,"1,130",17.9,66,45,6,5,61,0,3,15,180.6,12,100.0%,2019
22,Michael Gallup (DAL),66,113,"1,107",16.8,62,32,6,0,0,0,0,14,179.7,12.8,61.9%,2019
23,Tyler Boyd (CIN),90,148,"1,046",11.6,47,19,5,4,23,0,2,16,177.9,11.1,71.8%,2019
24,Davante Adams (LV),83,127,997,12,58,22,5,0,0,0,1,12,171.2,14.3,100.0%,2019
25,Calvin Ridley (JAC),63,93,866,13.7,36,16,7,2,34,0,0,13,165.5,12.7,2.4%,2019
26,Odell Beckham Jr. (FA),74,133,"1,035",14,89,28,4,3,10,0,1,16,164.3,10.3,14.7%,2019
27,Marvin Jones Jr. (JAC),62,91,779,12.6,47,15,9,2,0,0,0,13,162.9,12.5,12.8%,2019
28,Terry McLaurin (WAS),58,93,919,15.8,75,26,7,0,0,0,0,14,162.9,11.6,97.6%,2019
29,Deebo Samuel (SF),57,81,802,14.1,42,24,3,14,159,3,1,15,160.6,10.7,93.9%,2019
30,Tyreek Hill (MIA),58,89,860,14.8,57,26,7,8,23,0,0,12,159.3,13.3,100.0%,2019
31,Jamison Crowder (BUF),78,122,833,10.7,41,15,6,1,4,0,0,16,158.7,9.9,1.3%,2019
32,DK Metcalf (SEA),58,100,900,15.5,54,26,7,2,11,0,3,16,158.1,9.9,98.6%,2019
33,Emmanuel Sanders (FA),66,97,869,13.2,75,22,5,0,0,0,0,17,157.3,9.3,0.0%,2019
34,Cole Beasley (BUF),67,106,778,11.6,51,14,6,0,0,0,0,15,151.3,10.1,0.9%,2019
35,Darius Slayton (NYG),48,84,740,15.4,55,23,8,0,0,0,0,14,146,10.4,52.5%,2019
36,Curtis Samuel (WAS),54,105,627,11.6,44,13,6,19,130,1,0,16,144.7,9,58.3%,2019
37,Larry Fitzgerald (FA),75,109,804,10.7,54,19,4,0,0,0,1,16,139.9,8.7,0.2%,2019
