Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
213,Auden Tate (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4%,2018,15
214,Damion Ratley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
219,Richie James Jr. (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
220,Justin Watson (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
223,J'Mon Moore (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
230,Da'Mari Scott (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
382,Deonte Thompson (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
385,Dwayne Harris (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
388,Donte Moncrief (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
389,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
392,Keenan Allen (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,99.4%,2018,15
393,Jaron Brown (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
399,Darrius Heyward-Bey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
408,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
411,Michael Crabtree (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
421,Chris Godwin (TB),0,3,0,0,0,0,0,0,0,0,0,1,0,0,94.4%,2018,15
424,Charone Peake (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
426,Leonte Carroo (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
431,Bobo Wilson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
433,Michael Gallup (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0%,2018,15
434,Anthony Miller (PIT),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2018,15
435,Brandon Zylstra (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
436,River Cracraft (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
437,Lance Lenoir Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
440,Brendan Langley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
444,Jehu Chesson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
446,Shelton Gibson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
447,Marcus Kemp (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
448,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
449,Keelan Cole Sr. (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2018,15
451,Pharoh Cooper (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
452,Josh Doctson (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
453,Dontrelle Inman (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
454,DeVante Parker (NE),0,1,0,0,0,0,0,0,0,0,0,1,0,0,55.0%,2018,15
455,Laquon Treadwell (JAC),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3%,2018,15
456,Darius Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
458,Phillip Dorsett II (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2018,15
460,Rashad Greene (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
461,Devin Funchess (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
462,Sammie Coates (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
463,J.J. Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
465,Geremy Davis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,15
467,Tommylee Lewis (MIA),0,0,0,0,0,0,0,1,4,0,1,1,-1.6,-1.6,0.0%,2018,15
468,JoJo Natson (FA),0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,0.0%,2018,15
