Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
108,Bruce Ellington (FA),31,42,224,7.2,23,2,1,1,2,0,0,7,59.6,8.5,0.0%,2018
109,Maurice Harris (FA),28,47,304,10.9,42,3,0,2,10,0,0,12,59.4,5,0.0%,2018
110,Paul Richardson Jr. (FA),20,35,262,13.1,46,5,2,2,9,0,0,7,59.1,8.4,0.0%,2018
111,Pierre Garcon (FA),24,45,286,11.9,25,5,1,0,0,0,0,8,58.6,7.3,0.0%,2018
112,Trent Taylor (CIN),26,40,215,8.3,23,1,1,0,0,0,0,14,55.5,4,0.2%,2018
113,Equanimeous St. Brown (CHI),21,36,328,15.6,54,5,0,1,5,0,0,12,54.3,4.5,0.2%,2018
114,Terrelle Pryor Sr. (FA),16,30,252,15.8,44,5,2,1,-1,0,0,8,53.1,6.6,0.0%,2018
115,Isaiah McKenzie (BUF),18,30,179,9.9,23,1,0,10,66,2,1,8,52.5,6.6,0.9%,2018
116,Ted Ginn Jr. (FA),17,30,209,12.3,42,3,2,3,26,0,1,5,52.5,10.5,0.0%,2018
117,TJ Jones (FA),19,26,190,10,26,3,2,0,0,0,0,15,50,3.3,0.0%,2018
118,Torrey Smith (FA),17,30,190,11.2,35,2,2,0,0,0,0,11,50,4.5,0.0%,2018
119,Chris Moore (HOU),19,25,196,10.3,30,3,1,5,17,0,0,16,46.3,2.9,0.1%,2018
120,Trent Sherfield (MIA),19,28,210,11.1,21,1,1,0,0,0,0,13,46,3.5,0.1%,2018
121,Keith Kirkwood (FA),13,21,209,16.1,42,4,2,0,0,0,0,8,45.9,5.7,0.0%,2018
122,Martavis Bryant (FA),19,27,266,14,47,6,0,3,23,0,1,8,45.9,5.7,0.0%,2018
123,James Washington (DAL),16,38,217,13.6,47,3,1,0,0,0,0,14,43.7,3.1,13.9%,2018
124,DeAndre Carter (LAC),22,25,216,9.8,50,2,0,1,7,0,1,14,42.3,3,0.6%,2018
125,Bennie Fowler III (FA),16,27,199,12.4,26,3,1,0,0,0,0,10,41.9,4.2,0.0%,2018
126,Chad Williams (FA),17,46,171,10.1,22,1,1,1,9,0,0,10,41,4.1,0.0%,2018
