Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Aaron Rodgers (GB),37,55,67.3,442,8,2,0,4,5,32,2,0,1,42.9,42.9,87.4%,2018,16
2,Deshaun Watson (CLE),29,40,72.5,339,8.5,2,0,4,8,49,2,1,1,36.5,36.5,18.0%,2018,16
3,Nick Foles (IND),35,49,71.4,471,9.6,4,1,1,1,1,0,1,1,30.9,30.9,0.1%,2018,16
4,Ben Roethlisberger (FA),33,50,66,380,7.6,3,0,3,2,4,0,0,1,29.6,29.6,13.6%,2018,16
5,Russell Wilson (DEN),18,29,62.1,271,9.3,3,0,3,8,57,0,0,1,28.5,28.5,62.7%,2018,16
6,Patrick Mahomes II (KC),23,40,57.5,273,6.8,3,0,1,3,33,0,0,1,28.2,28.2,100.0%,2018,16
7,Sam Darnold (CAR),24,35,68.6,341,9.7,3,0,2,3,4,0,0,1,26,26,0.7%,2018,16
8,Baker Mayfield (CAR),27,37,73,284,7.7,3,0,0,6,16,0,0,1,25,25,4.3%,2018,16
9,Kirk Cousins (MIN),21,28,75,253,9,3,0,2,1,1,0,0,1,22.2,22.2,81.8%,2018,16
10,Andrew Luck (FA),31,47,66,357,7.6,2,1,1,2,13,0,0,1,21.6,21.6,2.2%,2018,16
11,Eli Manning (FA),25,33,75.8,309,9.4,1,1,0,2,0,1,0,1,20.4,20.4,2.3%,2018,16
12,Matt Ryan (IND),15,26,57.7,239,9.2,3,0,1,1,-1,0,1,1,19.5,19.5,21.0%,2018,16
13,Jeff Driskel (HOU),13,19,68.4,133,7,2,0,3,5,21,0,0,1,17.4,17.4,0.0%,2018,16
14,Jared Goff (DET),19,24,79.2,216,9,1,0,2,2,6,1,1,1,17.2,17.2,47.3%,2018,16
15,Drew Brees (FA),27,39,69.2,326,8.4,1,0,2,1,-1,0,0,1,16.9,16.9,35.7%,2018,16
16,Dak Prescott (DAL),20,25,80,161,6.4,1,0,1,4,2,1,0,1,16.6,16.6,90.6%,2018,16
17,Lamar Jackson (BAL),12,22,54.5,204,9.3,1,0,3,13,39,0,0,1,16.1,16.1,99.9%,2018,16
18,Jameis Winston (NO),34,48,70.8,336,7,1,0,3,4,14,0,2,1,14.8,14.8,19.2%,2018,16
19,Case Keenum (BUF),23,37,62.2,202,5.5,2,2,1,3,19,0,0,1,14,14,0.1%,2018,16
20,Taylor Heinicke (WAS),33,53,62.3,274,5.2,1,3,2,3,33,0,0,1,12.3,12.3,7.8%,2018,16
21,Mitch Trubisky (PIT),25,29,86.2,246,8.5,1,0,3,5,3,0,1,1,12.1,12.1,1.5%,2018,16
22,Josh Allen (BUF),20,41,48.8,217,5.3,1,2,0,5,30,0,0,1,11.7,11.7,100.0%,2018,16
23,Ryan Tannehill (TEN),15,22,68.2,146,6.6,1,1,3,3,22,0,0,1,10,10,13.5%,2018,16
24,Josh Rosen (FA),12,23,52.2,87,3.8,0,0,4,4,49,0,0,1,8.4,8.4,0.0%,2018,16
25,Josh Johnson (DEN),13,23,56.5,153,6.7,1,2,2,4,22,0,0,1,8.3,8.3,0.0%,2018,16
26,Blaine Gabbert (TB),7,11,63.6,101,9.2,1,0,1,0,0,0,0,1,8,8,0.0%,2018,16
27,Nick Mullens (MIN),22,38,57.9,241,6.3,0,1,1,0,0,0,0,1,7.6,7.6,0.0%,2018,16
28,Derek Carr (LV),19,26,73.1,167,6.4,0,0,1,4,-3,0,0,1,6.4,6.4,80.4%,2018,16
29,Marcus Mariota (ATL),10,13,76.9,110,8.5,0,0,2,1,7,0,0,1,5.1,5.1,24.8%,2018,16
30,Tom Brady (TB),13,24,54.2,126,5.3,1,2,1,0,0,0,0,1,5,5,94.6%,2018,16
31,Matthew Stafford (LAR),18,32,56.3,116,3.6,0,0,2,0,0,0,0,1,4.6,4.6,68.0%,2018,16
32,Blake Bortles (FA),5,6,83.3,39,6.5,0,0,1,4,25,0,0,1,4.1,4.1,0.0%,2018,16
33,Philip Rivers (FA),23,37,62.2,181,4.9,0,2,4,1,1,0,0,1,3.3,3.3,20.6%,2018,16
34,Matt Cassel (FA),5,11,45.5,45,4.1,0,0,1,1,14,0,0,1,3.2,3.2,0.0%,2018,16
35,Mike Glennon (FA),5,7,71.4,63,9,0,0,0,0,0,0,0,1,2.5,2.5,1.0%,2018,16
36,Cody Kessler (FA),12,17,70.6,106,6.2,0,0,5,1,2,0,1,1,2.4,2.4,0.1%,2018,16
37,Kyle Allen (HOU),4,4,100,38,9.5,0,0,0,0,0,0,0,1,1.5,1.5,0.0%,2018,16
38,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,16
39,Nate Sudfeld (DET),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,16
40,Sean Mannion (SEA),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%,2018,16
41,Brian Hoyer (NE),0,1,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.1%,2018,16
42,Taysom Hill (NO),0,1,0,0,0,0,1,0,0,0,0,0,1,-2,-2,66.2%,2018,16
