Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Davante Adams (LV),115,149,"1,374",11.9,56,0,18,0,0,0,1,14,358.4,25.6,99.9%,2020
2,Tyreek Hill (MIA),87,135,"1,276",14.7,75,0,15,13,123,2,0,15,328.9,21.9,99.9%,2020
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,0,8,1,1,0,0,16,328.6,20.5,99.9%,2020
4,DeAndre Hopkins (ARI),115,160,"1,407",12.2,60,0,6,1,1,0,2,16,287.8,18,96.4%,2020
5,Calvin Ridley (ATL),90,143,"1,374",15.3,63,0,9,5,1,0,1,15,281.5,18.8,2.0%,2020
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,0,7,1,2,0,0,16,274.2,17.1,99.9%,2020
7,DK Metcalf (SEA),83,129,"1,303",15.7,62,0,10,0,0,0,1,16,271.3,17,98.3%,2020
8,Tyler Lockett (SEA),100,132,"1,054",10.5,47,0,10,0,0,0,0,16,265.4,16.6,92.2%,2020
9,Allen Robinson II (LAR),102,151,"1,250",12.3,42,0,6,1,-1,0,0,16,262.9,16.4,90.6%,2020
10,Adam Thielen (MIN),74,108,925,12.5,51,0,14,3,15,0,0,15,254,16.9,90.9%,2020
11,Mike Evans (TB),70,109,"1,006",14.4,50,0,13,0,0,0,0,16,248.6,15.5,99.1%,2020
12,A.J. Brown (PHI),70,106,"1,075",15.4,73,0,11,0,0,0,1,14,247.5,17.7,99.4%,2020
13,Robert Woods (TEN),90,129,936,10.4,56,0,6,24,155,2,1,16,245.1,15.3,86.5%,2020
14,Keenan Allen (LAC),100,147,992,9.9,28,0,8,1,-1,0,2,14,245.1,17.5,99.4%,2020
15,Amari Cooper (CLE),92,130,"1,114",12.1,69,0,5,6,14,0,0,16,236.8,14.8,95.6%,2020
16,JuJu Smith-Schuster (KC),97,128,831,8.6,31,0,9,0,0,0,1,16,234.1,14.6,93.9%,2020
17,Brandin Cooks (HOU),81,119,"1,150",14.2,57,0,6,0,0,0,0,15,232,15.5,94.7%,2020
18,Marvin Jones Jr. (JAC),76,115,978,12.9,43,0,9,0,0,0,0,16,227.8,14.2,30.1%,2020
19,Robby Anderson (CAR),95,136,"1,096",11.5,75,0,3,4,15,0,1,16,224.2,14,23.2%,2020
20,Terry McLaurin (WAS),87,134,"1,118",12.9,68,0,4,2,30,0,1,15,223.8,14.9,97.4%,2020
