Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Corey Davis (NYJ),11,12,182,16.5,43,0,1,0,0,0,0,1,35.2,35.2,55.8%,2020,13
2,Davante Adams (LV),10,12,121,12.1,42,0,2,0,0,0,0,1,34.1,34.1,99.9%,2020,13
3,Cole Beasley (FA),9,11,130,14.4,35,0,1,0,0,0,0,1,28,28,1.5%,2020,13
4,Justin Jefferson (MIN),9,12,121,13.4,40,0,1,1,2,0,0,1,27.3,27.3,99.9%,2020,13
5,Marvin Jones Jr. (JAC),8,12,116,14.5,25,0,1,0,0,0,0,1,25.6,25.6,30.1%,2020,13
6,T.Y. Hilton (FA),8,11,110,13.8,21,0,1,0,0,0,0,1,25,25,0.9%,2020,13
7,Keke Coutee (IND),8,9,141,17.6,64,0,0,0,0,0,0,1,22.1,22.1,0.1%,2020,13
8,Jamison Crowder (BUF),5,7,47,9.4,16,0,2,0,0,0,0,1,21.7,21.7,12.8%,2020,13
9,Michael Gallup (DAL),7,11,86,12.3,28,0,1,0,0,0,0,1,21.6,21.6,85.0%,2020,13
10,Adam Thielen (MIN),8,11,75,9.4,14,0,1,0,0,0,0,1,21.5,21.5,90.9%,2020,13
11,Rashard Higgins (CAR),6,9,95,15.8,35,0,1,0,0,0,0,1,21.5,21.5,0.7%,2020,13
12,Diontae Johnson (PIT),8,12,71,8.9,17,0,1,0,0,0,0,1,21.1,21.1,98.1%,2020,13
13,Brandon Aiyuk (SF),5,9,95,19,49,0,1,0,0,0,0,1,20.5,20.5,86.5%,2020,13
14,Jarvis Landry (FA),8,10,62,7.8,13,0,1,0,0,0,0,1,20.4,20.4,66.0%,2020,13
15,Tim Patrick (DEN),4,4,44,11,21,0,2,0,0,0,0,1,20.4,20.4,39.3%,2020,13
16,Michael Thomas (NO),9,11,105,11.7,18,0,0,0,0,0,0,1,19.5,19.5,93.7%,2020,13
17,Stefon Diggs (BUF),10,10,92,9.2,18,0,0,0,0,0,0,1,19.2,19.2,99.9%,2020,13
18,DeAndre Hopkins (ARI),8,13,52,6.5,10,0,1,0,0,0,0,1,19.2,19.2,96.4%,2020,13
19,Robert Woods (TEN),10,11,85,8.5,18,0,0,0,0,0,0,1,18.5,18.5,86.5%,2020,13
20,Donovan Peoples-Jones (CLE),2,3,92,46,75,0,1,0,0,0,0,1,17.2,17.2,29.5%,2020,13
21,Gunner Olszewski (PIT),1,1,38,38,38,0,1,0,0,0,0,1,16.8,16.8,0.2%,2020,13
22,Amari Cooper (CLE),5,9,43,8.6,13,0,1,1,10,0,0,1,16.3,16.3,95.6%,2020,13
23,James Washington (DAL),2,4,80,40,50,0,1,0,0,0,0,1,16,16,13.9%,2020,13
24,Calvin Ridley (ATL),5,10,108,21.6,31,0,0,0,0,0,0,1,15.8,15.8,2.0%,2020,13
25,Gabriel Davis (BUF),3,4,68,22.7,28,0,1,0,0,0,0,1,15.8,15.8,90.5%,2020,13
26,Laviska Shenault Jr. (JAC),3,3,38,12.7,28,0,1,2,30,0,0,1,15.8,15.8,1.8%,2020,13
27,Julio Jones (FA),6,10,94,15.7,35,0,0,0,0,0,0,1,15.4,15.4,14.2%,2020,13
28,Henry Ruggs III (FA),3,4,84,28,46,0,1,0,0,0,1,1,15.4,15.4,10.9%,2020,13
29,Cooper Kupp (LAR),8,9,73,9.1,15,0,0,0,0,0,0,1,15.3,15.3,99.9%,2020,13
30,Russell Gage (TB),4,8,51,12.8,24,0,1,0,0,0,0,1,15.1,15.1,85.4%,2020,13
31,Chad Hansen (ATL),5,7,101,20.2,28,0,0,0,0,0,0,1,15.1,15.1,0.1%,2020,13
32,Marquise Brown (ARI),5,8,39,7.8,20,0,1,0,0,0,0,1,14.9,14.9,95.4%,2020,13
33,Tyreek Hill (MIA),6,11,58,9.7,30,0,0,1,30,0,0,1,14.8,14.8,99.9%,2020,13
34,Greg Ward (PHI),3,5,57,19,32,0,1,0,0,0,0,1,14.7,14.7,0.1%,2020,13
35,Quintez Cephus (DET),2,4,63,31.5,49,0,1,0,0,0,0,1,14.3,14.3,0.7%,2020,13
36,Tyler Boyd (CIN),1,4,72,72,72,0,1,0,0,0,0,1,14.2,14.2,66.3%,2020,13
37,Cam Sims (WAS),5,9,92,18.4,31,0,0,0,0,0,0,1,14.2,14.2,0.1%,2020,13
38,Deebo Samuel (SF),6,9,73,12.2,23,0,0,1,3,0,0,1,13.6,13.6,99.8%,2020,13
39,Tre'Quan Smith (NO),3,6,42,14,21,0,1,1,3,0,0,1,13.5,13.5,1.0%,2020,13
40,Allen Robinson II (LAR),6,7,75,12.5,21,0,0,0,0,0,0,1,13.5,13.5,90.6%,2020,13
41,DK Metcalf (SEA),5,8,80,16,21,0,0,0,0,0,0,1,13,13,98.3%,2020,13
42,Collin Johnson (NYG),4,6,66,16.5,34,0,0,0,0,0,0,1,12.6,12.6,0.1%,2020,13
43,Tyler Lockett (SEA),6,9,63,10.5,24,0,0,0,0,0,0,1,12.3,12.3,92.2%,2020,13
44,Jalen Reagor (PHI),1,1,34,34,34,0,0,1,11,0,0,1,11.5,11.5,1.0%,2020,13
45,Brandin Cooks (HOU),5,8,65,13,23,0,0,0,0,0,0,1,11.5,11.5,94.7%,2020,13
46,Isaiah McKenzie (BUF),2,2,31,15.5,23,0,1,0,0,0,0,1,11.1,11.1,0.9%,2020,13
47,Anthony Miller (PIT),5,5,56,11.2,19,0,0,1,3,0,0,1,10.9,10.9,0.6%,2020,13
48,Miles Boykin (PIT),1,3,38,38,38,0,1,0,0,0,0,1,10.8,10.8,0.2%,2020,13
49,A.J. Brown (PHI),4,7,87,21.8,40,0,0,0,0,0,1,1,10.7,10.7,99.4%,2020,13
50,Tee Higgins (CIN),5,8,56,11.2,22,0,0,0,0,0,0,1,10.6,10.6,98.4%,2020,13
51,CeeDee Lamb (DAL),6,9,46,7.7,14,0,0,0,0,0,0,1,10.6,10.6,99.7%,2020,13
52,Cameron Batson (FA),3,3,14,4.7,8,0,1,1,0,0,0,1,10.4,10.4,0.0%,2020,13
53,Keenan Allen (LAC),5,11,48,9.6,24,0,0,0,0,0,0,1,9.8,9.8,99.4%,2020,13
54,JuJu Smith-Schuster (KC),7,10,28,4,9,0,0,0,0,0,0,1,9.8,9.8,93.9%,2020,13
55,Michael Pittman Jr. (IND),5,5,46,9.2,13,0,0,0,0,0,0,1,9.6,9.6,97.9%,2020,13
56,N'Keal Harry (NE),2,3,15,7.5,10,0,1,0,0,0,0,1,9.5,9.5,0.5%,2020,13
57,Danny Amendola (FA),3,5,62,20.7,23,0,0,0,0,0,0,1,9.2,9.2,0.0%,2020,13
58,Emmanuel Sanders (BUF),5,6,39,7.8,18,0,0,0,0,0,0,1,8.9,8.9,1.9%,2020,13
59,Hunter Renfrow (LV),4,6,47,11.8,18,0,0,0,0,0,0,1,8.7,8.7,91.5%,2020,13
60,Darnell Mooney (CHI),4,6,43,10.8,21,0,0,0,0,0,0,1,8.3,8.3,93.0%,2020,13
61,Mike Williams (LAC),4,9,43,10.8,20,0,0,0,0,0,0,1,8.3,8.3,94.9%,2020,13
62,Denzel Mims (NYJ),2,3,40,20,23,0,0,0,0,0,0,1,8,8,0.5%,2020,13
63,Allen Lazard (GB),3,4,50,16.7,31,0,0,0,0,0,0,1,8,8,81.5%,2020,13
64,Nelson Agholor (NE),4,11,38,9.5,14,0,0,0,0,0,0,1,7.8,7.8,1.4%,2020,13
65,DeVante Parker (NE),4,8,35,8.8,14,0,0,0,0,0,0,1,7.5,7.5,55.0%,2020,13
66,Sammy Watkins (GB),4,6,35,8.8,17,0,0,0,0,0,0,1,7.5,7.5,6.1%,2020,13
67,Kendrick Bourne (NE),4,6,35,8.8,13,0,0,0,0,0,0,1,7.5,7.5,21.5%,2020,13
68,Golden Tate (FA),4,4,30,7.5,16,0,0,0,0,0,0,1,7,7,0.0%,2020,13
