Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Tyler Lockett (SEA),9,13,100,11.1,43,0,3,0,0,0,0,1,37,37,92.2%,2020,3
2,Justin Jefferson (MIN),7,9,175,25,71,0,1,0,0,0,0,1,30.5,30.5,99.9%,2020,3
3,Keenan Allen (LAC),13,19,132,10.2,22,0,1,0,0,0,1,1,30.2,30.2,99.4%,2020,3
4,Allen Robinson II (LAR),10,13,123,12.3,37,0,1,0,0,0,0,1,28.3,28.3,90.6%,2020,3
5,Cedrick Wilson Jr. (MIA),5,7,107,21.4,42,0,2,0,0,0,0,1,27.7,27.7,1.4%,2020,3
6,Allen Lazard (GB),6,8,146,24.3,72,0,1,1,-2,0,0,1,26.4,26.4,81.5%,2020,3
7,Michael Gallup (DAL),6,9,138,23,52,0,1,0,0,0,0,1,25.8,25.8,85.0%,2020,3
8,Cooper Kupp (LAR),9,10,107,11.9,20,0,1,0,0,0,0,1,25.7,25.7,99.9%,2020,3
9,DeAndre Hopkins (ARI),10,12,137,13.7,30,0,0,0,0,0,0,1,23.7,23.7,96.4%,2020,3
10,Tyler Boyd (CIN),10,13,125,12.5,25,0,0,0,0,0,0,1,22.5,22.5,66.3%,2020,3
11,Robert Woods (TEN),5,6,74,14.8,31,0,1,3,30,0,0,1,21.4,21.4,86.5%,2020,3
12,Tyreek Hill (MIA),5,6,77,15.4,33,0,1,2,25,0,0,1,21.2,21.2,99.9%,2020,3
13,Brandon Aiyuk (SF),5,8,70,14,20,0,0,3,31,1,0,1,21.1,21.1,86.5%,2020,3
14,Tee Higgins (CIN),5,9,40,8,16,0,2,0,0,0,0,1,21,21,98.4%,2020,3
15,Greg Ward (PHI),8,11,72,9,29,0,1,1,-6,0,0,1,20.6,20.6,0.1%,2020,3
16,Hunter Renfrow (LV),6,9,84,14,26,0,1,0,0,0,0,1,20.4,20.4,91.5%,2020,3
17,Andy Isabella (ARI),4,4,47,11.8,26,0,2,1,-6,0,0,1,20.1,20.1,0.1%,2020,3
18,Randall Cobb (GB),4,4,95,23.8,34,0,1,0,0,0,0,1,19.5,19.5,5.8%,2020,3
19,DK Metcalf (SEA),4,8,110,27.5,62,0,1,0,0,0,1,1,19,19,98.3%,2020,3
20,Dontrelle Inman (FA),3,6,38,12.7,17,0,2,0,0,0,0,1,18.8,18.8,0.0%,2020,3
21,Mecole Hardman (KC),4,6,81,20.3,49,0,1,0,0,0,0,1,18.1,18.1,70.0%,2020,3
22,Kenny Golladay (NYG),6,7,57,9.5,19,0,1,0,0,0,0,1,17.7,17.7,58.2%,2020,3
23,Amari Cooper (CLE),9,12,86,9.6,28,0,0,0,0,0,0,1,17.6,17.6,95.6%,2020,3
24,Chris Godwin (TB),5,6,64,12.8,30,0,1,0,0,0,0,1,17.4,17.4,94.4%,2020,3
25,Calvin Ridley (ATL),5,13,110,22,63,0,0,1,7,0,0,1,16.7,16.7,2.0%,2020,3
26,Braxton Berrios (NYJ),4,4,64,16,28,0,1,0,0,0,0,1,16.4,16.4,16.8%,2020,3
27,JuJu Smith-Schuster (KC),4,5,43,10.8,26,0,1,0,0,0,0,1,16.3,16.3,93.9%,2020,3
28,Cole Beasley (FA),6,7,100,16.7,29,0,0,0,0,0,0,1,16,16,1.5%,2020,3
29,Emmanuel Sanders (BUF),4,5,56,14,18,0,1,0,0,0,0,1,15.6,15.6,1.9%,2020,3
30,William Fuller V (FA),4,5,54,13.5,17,0,1,0,0,0,0,1,15.4,15.4,4.7%,2020,3
31,Stefon Diggs (BUF),4,6,49,12.3,23,0,1,0,0,0,0,1,14.9,14.9,99.9%,2020,3
32,Kalif Raymond (DET),3,3,118,39.3,61,0,0,1,-3,0,0,1,14.5,14.5,0.7%,2020,3
33,Tim Patrick (DEN),4,4,43,10.8,27,0,1,0,0,0,0,1,14.3,14.3,39.3%,2020,3
34,Mike Evans (TB),2,4,2,1,1,0,2,0,0,0,0,1,14.2,14.2,99.1%,2020,3
35,Sammy Watkins (GB),7,8,62,8.9,15,0,0,0,0,0,0,1,13.2,13.2,6.1%,2020,3
36,Anthony Miller (PIT),2,5,41,20.5,28,0,1,1,9,0,0,1,13,13,0.6%,2020,3
37,Terry McLaurin (WAS),4,8,83,20.8,33,0,0,1,3,0,0,1,12.6,12.6,97.4%,2020,3
38,Adam Thielen (MIN),3,5,29,9.7,16,0,1,1,4,0,0,1,12.3,12.3,90.9%,2020,3
39,Gabriel Davis (BUF),4,4,81,20.3,39,0,0,0,0,0,0,1,12.1,12.1,90.5%,2020,3
40,Corey Davis (NYJ),5,6,69,13.8,38,0,0,0,0,0,0,1,11.9,11.9,55.8%,2020,3
41,DeVante Parker (NE),5,5,69,13.8,20,0,0,0,0,0,0,1,11.9,11.9,55.0%,2020,3
42,CeeDee Lamb (DAL),5,7,65,13,28,0,0,1,1,0,0,1,11.6,11.6,99.7%,2020,3
43,Scotty Miller (TB),3,5,83,27.7,47,0,0,0,0,0,0,1,11.3,11.3,0.6%,2020,3
44,Jerry Jeudy (DEN),5,9,55,11,22,0,0,0,0,0,0,1,10.5,10.5,93.6%,2020,3
45,Robby Anderson (CAR),5,5,55,11,18,0,0,0,0,0,0,1,10.5,10.5,23.2%,2020,3
46,Kendrick Bourne (NE),4,6,63,15.8,18,0,0,0,0,0,0,1,10.3,10.3,21.5%,2020,3
47,Odell Beckham Jr. (FA),4,6,59,14.8,18,0,0,0,0,0,0,1,9.9,9.9,45.0%,2020,3
48,Curtis Samuel (WAS),4,4,45,11.3,24,0,0,4,7,0,0,1,9.2,9.2,6.5%,2020,3
49,Devin Duvernay (BAL),2,3,7,3.5,7,0,0,0,0,0,0,1,8.7,8.7,1.2%,2020,3
