Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
75,Juwan Johnson (NO),1,1,11,11,11,0,0,0,0,0,0,1,0,0,0.1%,2020,14
77,Reggie Gilliam (BUF),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
80,Dalton Keene (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
88,Hunter Bryant (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
89,Brycen Hopkins (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
92,Deon Yelder (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
95,Nick Keizer (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
96,Colin Thompson (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
99,Marcus Baugh (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
101,Noah Fant (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.3%,2020,14
108,Chris Myarick (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
109,Donald Parham Jr. (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8%,2020,14
119,Trevon Wesco (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
122,Kahale Warring (JAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
124,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
125,Stephen Carlson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
181,Dominique Dafney (GB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
196,Lee Smith (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
200,Luke Stocker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
202,Levine Toilolo (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
203,Vance McDonald (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
204,Ryan Griffin (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
205,Demetrius Harris (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
207,Derek Carrier (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
213,Clark Harris (CIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2020,14
214,Jason Witten (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
219,Taysom Hill (NO),0,0,0,0,0,0,0,5,33,0,1,1,0,0,2.7%,2020,14
220,Stephen Anderson (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
221,J.P. Holtz (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
223,Daniel Brown (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
225,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
226,Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
227,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
228,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
231,Seth DeValve (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
232,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
234,Johnny Mundt (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
237,Cethan Carter (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
239,Jeremy Sprinkle (DAL),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
241,Antony Auclair (HOU),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
242,Mason Schreck (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
243,Trey Burton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
244,Richard Rodgers (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
245,Eric Tomlinson (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
246,Chris Manhertz (JAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020,14
248,Jesse James (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
251,MyCole Pruitt (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,14
