Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
21,Dustin Hopkins (LAC),25,30,83.3,53,0,7,8,8,2,21,22,16,108,6.8,3.2%,2019
24,Eddy Pineiro (NYJ),23,28,82.1,53,1,8,9,3,2,27,29,16,103,6.4,0.1%,2019
36,Eddy Pineiro (NYJ),8,8,100,51,0,2,2,3,1,9,10,5,38,7.6,0.1%,2021
41,Elliott Fry (FA),4,5,80,44,0,0,3,1,0,4,5,3,17,5.7,4.0%,2021
43,Elliott Fry (FA),1,1,100,23,0,1,0,0,0,1,2,1,4,4,4.0%,2020
7,Evan McPherson (CIN),28,33,84.8,58,0,5,8,6,9,46,48,16,154,9.6,93.5%,2021
37,Giorgio Tavecchio (FA),5,5,100,56,0,1,0,2,2,8,8,3,29,9.7,1.0%,2018
85,Giorgio Tavecchio (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2019
14,Graham Gano (NYG),31,32,96.9,55,0,4,13,9,5,21,23,16,133,8.3,34.0%,2020
19,Graham Gano (NYG),29,33,87.9,55,0,5,12,5,7,17,17,17,123,7.2,34.0%,2021
30,Graham Gano (NYG),14,16,87.5,63,0,3,4,4,3,30,33,12,82,6.8,34.0%,2018
74,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,34.0%,2019
6,Greg Joseph (MIN),33,38,86.8,55,0,8,11,7,7,36,40,17,156,9.2,5.5%,2021
29,Greg Joseph (MIN),17,20,85,51,0,4,7,5,1,25,29,14,83,5.9,5.5%,2018
41,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,9,9,3,9,3,5.5%,2019
5,Greg Zuerlein (NYJ),34,41,82.9,59,1,5,13,12,3,33,36,16,153,9.6,17.8%,2020
12,Greg Zuerlein (NYJ),29,35,82.9,56,0,5,15,7,2,42,48,16,140,8.8,17.8%,2021
11,Greg Zuerlein (NYJ),24,33,72.7,58,0,7,7,5,5,42,42,16,129,8.1,17.8%,2019
12,Greg Zuerlein (NYJ),27,31,87.1,56,0,9,10,4,4,35,36,11,128,11.6,17.8%,2018
1,Harrison Butker (KC),34,38,89.5,56,0,9,9,13,3,45,48,16,166,10.4,81.3%,2019
5,Harrison Butker (KC),24,27,88.9,54,0,9,7,6,2,65,69,16,147,9.2,81.3%,2018
13,Harrison Butker (KC),25,28,89.3,56,0,3,11,4,7,47,49,16,140,8.8,81.3%,2021
13,Harrison Butker (KC),25,27,92.6,58,2,7,9,3,4,48,54,16,134,8.4,81.3%,2020
9,Jake Elliott (PHI),30,33,90.9,58,0,7,10,10,3,44,44,17,150,8.8,14.1%,2021
15,Jake Elliott (PHI),26,31,83.9,56,0,7,10,7,2,33,35,16,122,7.6,14.1%,2018
20,Jake Elliott (PHI),22,26,84.6,53,0,7,8,5,2,35,37,16,109,6.8,14.1%,2019
29,Jake Elliott (PHI),14,19,73.7,54,0,1,6,5,2,24,26,16,75,4.7,14.1%,2020
3,Jason Myers (SEA),33,36,91.7,56,0,4,13,10,6,30,33,16,151,9.4,3.6%,2018
10,Jason Myers (SEA),24,24,100,61,0,2,7,13,2,49,53,16,138,8.6,3.6%,2020
14,Jason Myers (SEA),23,28,82.1,54,0,6,11,4,2,40,44,16,117,7.3,3.6%,2019
23,Jason Myers (SEA),17,23,73.9,53,0,2,9,3,3,44,47,17,104,6.1,3.6%,2021
1,Jason Sanders (MIA),36,39,92.3,56,1,8,7,12,8,36,36,16,172,10.8,9.0%,2020
15,Jason Sanders (MIA),23,30,76.7,54,0,7,8,5,3,29,30,16,116.1,7.3,9.0%,2019
21,Jason Sanders (MIA),23,31,74.2,51,0,6,7,8,2,34,35,17,115,6.8,9.0%,2021
24,Jason Sanders (MIA),18,20,90,50,0,7,3,7,1,35,36,16,98,6.1,9.0%,2018
48,JJ Molson (GB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
10,Joey Slye (WAS),25,32,78.1,55,0,4,5,8,8,31,35,16,130,8.1,0.6%,2019
16,Joey Slye (WAS),29,36,80.6,56,0,11,10,7,1,33,36,16,129,8.1,0.6%,2020
25,Joey Slye (WAS),23,25,92,56,0,9,5,5,4,18,22,12,100,8.3,0.6%,2021
42,Jonathan Brown (FA),1,2,50,31,0,0,1,0,0,1,1,1,4,4,0.1%,2020
6,Josh Lambo (FA),33,34,97.1,56,0,12,9,8,4,19,20,16,134,8.4,0.1%,2019
27,Josh Lambo (FA),19,21,90.5,57,0,4,8,3,4,19,20,13,87,6.7,0.1%,2018
36,Josh Lambo (FA),5,5,100,59,0,0,2,1,2,8,10,4,28,7,0.1%,2020
44,Josh Lambo (FA),0,3,0,0,0,0,0,0,0,5,7,3,5,1.7,0.1%,2021
4,Justin Tucker (BAL),35,37,94.6,66,0,7,9,13,6,32,32,17,162,9.5,99.5%,2021
2,Justin Tucker (BAL),35,39,89.7,56,0,12,9,9,5,36,37,16,160,10,99.5%,2018
