Pos,Player,Score2022,Score2021,Score2020,Score2019,Score
QB,Patrick Mahomes II (KC),29.258935985137196,22.24267472687699,26.90106283112553,21.64291051773862,26.88828208180105
QB,Jalen Hurts (PHI),29.715421412472313,22.762456167516035,16.70812342110229,0,26.516427778033055
QB,Josh Allen (BUF),22.984207669250335,25.396509978907066,26.32263503789742,18.635299904619508,23.703680595297687
QB,Joe Burrow (CIN),25.29075640417556,20.565881266340007,16.73062395058884,0,23.146259808048345
QB,Kyler Murray (ARI),23.007408416580844,23.09887903572469,24.38966533687233,18.90582334141021,22.96342250963742
QB,Lamar Jackson (BAL),20.789482667434324,22.996133363672335,25.109614472732112,30.822544844576665,22.27481163088072
QB,Justin Herbert (LAC),17.15999001953847,23.71848638895831,23.717998254506327,0,19.576088681474946
QB,Geno Smith (SEA),19.532386076315415,0,0,0,19.532386076315415
QB,Dak Prescott (DAL),18.25154802873046,20.481174577963994,23.111112967575135,22.93571318020465,19.52911941749702
QB,Tom Brady (TB),17.15035025158773,23.04703907416738,21.896792645185094,16.900823084186307,19.086690338222308
QB,Kirk Cousins (MIN),17.59227842107002,20.366268059646085,20.529319179555408,16.210832895907068,18.510407630304428
QB,Aaron Rodgers (GB),14.936858102528491,22.087108729150412,27.336842063804408,16.05708818961229,18.020430659665752
QB,Russell Wilson (DEN),14.846548275577051,17.642475044710082,24.238601306253557,19.961606275523177,16.740488170925264
QB,Daniel Jones (NYG),18.665612183166175,13.692238946604471,12.197004384744359,17.147309060152473,16.699492938032883
QB,Tua Tagovailoa (MIA),17.21103089291454,14.83225232743885,13.579914701280307,0,16.2028177173588
QB,Jimmy Garoppolo (SF),17.798067484335057,15.910755779330767,7.957268414202385,14.663706547775051,16.185441604242715
QB,Justin Fields (CHI),18.87696450783837,8.846435614758835,0,0,15.926985960383679
QB,Jared Goff (DET),16.84753602125777,12.952969615526648,15.919756377538182,15.70648754417983,15.724064031599136
QB,Matthew Stafford (LAR),11.271528061226503,22.497289020609756,19.09788325951685,21.093932583177292,15.35172404699889
QB,Derek Carr (LV),15.096913542147481,15.212587544575488,16.813902753865648,15.527056843627914,15.319038129000322
QB,Gardner Minshew II (PHI),14.4472859289741,0,19.340774676990495,17.01002986389535,15.270522999543934
QB,Ryan Tannehill (TEN),12.505993285207506,17.377484440950322,22.891128166416205,22.09243959164373,15.241701877585891
QB,Marcus Mariota (ATL),15.552698919965168,0,0,11.403860943247983,15.233653279555618
QB,Deshaun Watson (CLE),12.652381531080325,0,26.183372656496573,21.666694375517874,15.057317314822296
QB,Trevor Lawrence (JAC),16.570738533057714,10.93637290268759,0,0,14.91367160116586
QB,Sam Darnold (CAR),17.228322981146935,11.491963340002975,9.191393409936751,14.203620835200535,14.839305006442606
QB,Jacoby Brissett (CLE),15.758523243040756,8.62621361771714,0,13.26389000890258,13.638715484631186
QB,Carson Wentz (WAS),11.75960167406452,14.808188478573236,17.13005428138679,18.278818084890652,13.384754456465233
QB,Brock Purdy (SF),13.372368763195766,0,0,0,13.372368763195766
QB,Jameis Winston (NO),12.173750228670224,14.650571006696424,0,20.9735144280784,13.350197953873055
QB,Matt Ryan (IND),12.167322707357055,11.276424495208301,18.056142435952815,18.631562256525644,12.85669210463787
QB,Kenny Pickett (PIT),12.570411403672946,0,0,0,12.570411403672946
QB,Taylor Heinicke (WAS),11.998010438328057,13.196381955636895,0,0,12.350451501568585
QB,Teddy Bridgewater (MIA),0,13.954291761162716,16.325360607538517,11.583223449195133,11.685553855683787
QB,Taysom Hill (NO),0,14.26930543597409,13.317769678529833,0,11.477910369459257
QB,Mac Jones (NE),10.994173436262512,11.911409254762933,0,0,11.263932490483485
QB,Andy Dalton (NO),9.973970711178966,10.73536878842555,12.954084307560217,15.897378088865754,10.758501959013076
QB,Joe Flacco (NYJ),10.544870848890872,0,10.227792172959788,7.655453360166757,10.30988011489136
QB,Trevor Siemian (CHI),0,12.544346823296125,0,0,10.286364395102822
QB,Davis Mills (HOU),10.002526537538834,10.274944165758317,0,0,10.082644561998183
QB,Baker Mayfield (LAR),7.70754502725406,13.03038144841896,14.031357736554567,15.251070331621591,10.047811668693711
QB,Mitch Trubisky (PIT),8.296826731549668,0,18.342759312248887,13.084331677690647,9.95527612446448
QB,Tyrod Taylor (NYG),0,11.346332617054202,0,0,9.303992745984445
QB,Zach Wilson (NYJ),8.333518594518749,10.092644908593629,0,0,8.85087764348817
QB,Mike White (NYJ),8.809175286758213,7.802468319288984,0,0,8.513102767625513
QB,Tyler Huntley (BAL),6.734819993015517,9.098383852719296,0,0,7.429944124154398
QB,Drew Lock (SEA),0,3.8022718056398204,13.224991194444911,11.126400664461524,5.80024356335892
QB,Colt McCoy (ARI),4.601712444457907,0,0,0,4.601712444457907
QB,Cooper Rush (DAL),4.443989731720554,0,0,0,4.443989731720554
QB,Mike Glennon (MIA),0,2.240586957166678,9.80945920996584,0,3.610471283028947
QB,Desmond Ridder (ATL),3.1586482327858336,0,0,0,3.1586482327858336
QB,PJ Walker (CAR),2.446712910170089,0,0,0,2.446712910170089
