Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Dalvin Cook (MIN),27,205,7.6,30,4,2,1,3,17,17,0,0,1,34.7,34.7,99.9%,2021,14
2,James Conner (ARI),13,31,2.4,13,0,2,9,9,94,10.4,0,0,1,29,29,97.1%,2021,14
3,Rashaad Penny (SEA),16,137,8.6,47,5,2,1,1,1,1,0,0,1,26.3,26.3,15.8%,2021,14
4,Najee Harris (PIT),20,94,4.7,23,1,1,3,3,10,3.3,1,0,1,23.9,23.9,97.8%,2021,14
5,Melvin Gordon III (KC),24,111,4.6,16,0,2,0,0,0,0,0,0,1,23.1,23.1,27.2%,2021,14
6,Alvin Kamara (NO),27,120,4.4,16,0,1,4,5,25,6.3,0,0,1,22.5,22.5,99.3%,2021,14
7,Leonard Fournette (TB),19,113,5.9,47,4,1,4,7,19,4.8,0,0,1,21.2,21.2,97.5%,2021,14
8,Javonte Williams (DEN),15,73,4.9,9,0,1,1,2,10,10,1,0,1,20.8,20.8,24.3%,2021,14
9,Aaron Jones (GB),5,35,7,15,0,1,3,3,30,10,1,0,1,20,20,99.2%,2021,14
10,Clyde Edwards-Helaire (KC),10,37,3.7,7,0,2,3,3,5,1.7,0,0,1,17.7,17.7,38.1%,2021,14
11,Saquon Barkley (NYG),16,64,4,13,0,0,3,3,31,10.3,1,0,1,17,17,99.7%,2021,14
12,Derrick Gore (NO),9,66,7.3,51,4,1,2,2,23,11.5,0,0,1,15.9,15.9,0.0%,2021,14
13,Austin Ekeler (LAC),12,67,5.6,17,0,1,2,4,17,8.5,0,0,1,15.4,15.4,100.0%,2021,14
14,D'Onta Foreman (CAR),13,47,3.6,8,0,1,2,2,15,7.5,0,0,1,13.2,13.2,80.2%,2021,14
15,Cordarrelle Patterson (ATL),16,58,3.6,11,0,1,2,5,1,0.5,0,0,1,12.9,12.9,83.0%,2021,14
16,Devin Singletary (BUF),4,52,13,29,1,0,6,7,37,6.2,0,0,1,11.9,11.9,91.5%,2021,14
17,Darrel Williams (ARI),2,8,4,7,0,0,3,3,31,10.3,1,0,1,11.4,11.4,1.5%,2021,14
18,Mike Davis (FA),11,44,4,11,0,0,5,6,42,8.4,0,0,1,11.1,11.1,1.0%,2021,14
19,David Montgomery (CHI),10,42,4.2,20,1,0,6,7,39,6.5,0,0,1,11.1,11.1,95.9%,2021,14
20,Craig Reynolds (DET),11,83,7.5,35,2,0,2,2,16,8,0,0,1,10.9,10.9,0.5%,2021,14
21,Devontae Booker (FA),8,56,7,9,0,0,4,5,28,7,0,0,1,10.4,10.4,0.0%,2021,14
22,Jonathan Williams (WAS),4,16,4,7,0,1,1,1,19,19,0,0,1,10,10,5.0%,2021,14
23,Devonta Freeman (FA),13,64,4.9,21,1,0,5,5,8,1.6,0,0,1,9.7,9.7,0.0%,2021,14
24,Elijhaa Penny (FA),1,8,8,8,0,0,1,1,3,3,1,0,1,9.6,9.6,0.0%,2021,14
25,Royce Freeman (HOU),11,15,1.4,8,0,0,6,8,51,8.5,0,0,1,9.6,9.6,1.5%,2021,14
26,Chuba Hubbard (CAR),10,33,3.3,17,0,1,0,0,0,0,0,0,1,9.3,9.3,33.1%,2021,14
27,Rex Burkhead (HOU),11,40,3.6,10,0,0,4,4,26,6.5,0,0,1,8.6,8.6,9.1%,2021,14
