Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
NA,251,RB,Boston Scott (PHI),RB60,Depth,6.775,2.61,5.248,0,5.519,0,5,27.593
NA,254,RB,D'Ernest Johnson (CLE),RB61,Depth,5.505,0,0,0,5.505,0,5,27.526
NA,260,RB,Rex Burkhead (HOU),RB62,Depth,4.152,8.48,5.198,3.644,5.313,0,5,26.565
NA,261,RB,Kenneth Gainwell (PHI),RB63,Depth,5.307,0,0,0,5.307,0,5,26.537
NA,264,RB,Brandon Bolden (LV),RB64,Depth,5.266,0,0,0,5.266,0,5,26.329
NA,268,RB,Phillip Lindsay (IND),RB65,Depth,0,3.626,12.644,16.616,6.154,-1,5,25.768
NA,270,RB,Zack Moss (BUF),RB66,Depth,6.306,5.667,0,0,6.118,-1,5,25.591
NA,272,RB,Gus Edwards (BAL),RB67,Depth,0,5.728,2.463,6.307,4.087,1,5,25.435
NA,282,RB,Jeff Wilson Jr. (SF),RB68,Depth,2.427,10.256,0,5.085,4.749,0,5,23.747
NA,289,RB,Alexander Mattison (MIN),RB69,Depth,5.47,3.303,2.075,0,4.542,0,5,22.711
NA,296,RB,Ty Johnson (NYJ),RB70,Depth,5.159,0,-0.231,0,4.389,0,5,21.946
NA,303,RB,Craig Reynolds (DET),RB71,Depth,4.24,0,0,0,4.24,0,5,21.202
NA,306,RB,Derrick Gore (KC),RB72,Depth,4.088,0,0,0,4.088,0,5,20.44
NA,312,RB,Jerick McKinnon (KC),RB73,Depth,0,5.697,0,0,4.671,-1,5,18.356
NA,315,RB,Chris Carson (FA),RB74,Depth,10.593,17.899,17.624,15.749,13.381,-10,5,16.903
NA,326,RB,Samaje Perine (CIN),RB75,Depth,2.092,0,0,0,2.092,1,5,15.459
NA,329,RB,Tevin Coleman (NYJ),RB76,Depth,1.531,0,7.282,12.185,3.008,0,5,15.041
NA,330,RB,Justin Jackson (DET),RB77,Depth,2.287,4.6,0,0,2.967,0,5,14.835
NA,331,RB,Malcolm Brown (NO),RB78,Depth,0,3.593,0,0,2.946,0,5,14.731
NA,336,RB,Jeremy McNichols (PIT),RB79,Depth,2.802,0,0,0,2.802,0,5,14.012
NA,337,RB,Ke'Shawn Vaughn (TB),RB80,Depth,2.728,0,0,0,2.728,0,5,13.64
NA,346,RB,Joshua Kelley (LAC),RB81,Depth,0,2.905,0,0,2.382,0,5,11.912
NA,347,RB,Trey Sermon (SF),RB82,Depth,1.172,0,0,0,1.172,1,5,10.862
NA,355,RB,La'Mical Perine (NYJ),RB83,Depth,0,2.263,0,0,1.856,0,5,9.28
NA,356,RB,Ameer Abdullah (LV),RB84,Depth,1.819,0,0,0,1.819,0,5,9.097
NA,360,RB,Salvon Ahmed (MIA),RB85,Depth,-0.816,9.995,0,0,2.364,-1,5,6.818
NA,362,RB,Brian Hill (SF),RB86,Depth,0,2.867,2.328,0,2.225,-1,5,6.124
NA,364,RB,Khalil Herbert (CHI),RB87,Depth,1.218,0,0,0,1.218,0,5,6.091
NA,367,RB,Benny Snell Jr. (PIT),RB88,Depth,0,1.079,0.875,0,0.837,0,5,4.185
NA,369,RB,Austin Walter (LV),RB89,Depth,0.279,0,0,0,0.279,0,5,1.397
NA,370,RB,Jordan Wilkins (TEN),RB90,Depth,0,0.039,0,0,0.032,0,5,0.158
NA,374,RB,Kenyan Drake (LV),RB91,Depth,6.872,13.365,14.91,12.689,9.59,-10,5,-2.049
NA,377,RB,David Johnson (FA),RB92,Depth,4.289,16.454,9.353,17.267,8.485,-10,5,-7.574
NA,380,RB,James White (NE),RB93,Depth,7.242,6.509,13.475,18.867,8.263,-10,5,-8.683
NA,381,RB,Devonta Freeman (FA),RB94,Depth,7.871,4.738,14.527,0,7.747,-10,5,-11.263
NA,382,RB,Jordan Howard (FA),RB95,Depth,7.054,0,9.47,11.327,7.661,-10,5,-11.697
NA,384,RB,Latavius Murray (FA),RB96,Depth,5.024,7.764,7.409,6.035,5.998,-10,5,-20.01
NA,386,RB,Devontae Booker (FA),RB97,Depth,7.728,1.759,0,2.013,5.752,-10,5,-21.238
NA,387,RB,Adrian Peterson (FA),RB98,Depth,3.676,5.251,8.28,11.754,4.934,-10,5,-25.329
NA,389,RB,Alex Collins (FA),RB99,Depth,3.481,0,0,11.603,4.106,-10,5,-29.472
NA,390,RB,Carlos Hyde (FA),RB100,Depth,-0.005,6.454,9.137,4.14,2.731,-10,5,-36.343
NA,391,RB,Peyton Barber (FA),RB101,Depth,1.081,0,5.38,8.478,2.147,-10,5,-39.263
