Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
NA,160,WR,Garrett Wilson (NYJ),WR59,Depth,0,0,0,0,8,0,5,40
NA,168,WR,Michael Gallup (DAL),WR60,Depth,8.471,8.274,14.971,2.142,8.755,-1,5,38.777
NA,175,WR,K.J. Osborn (MIN),WR61,Depth,6.488,0,0,0,6.488,1,5,37.442
NA,179,WR,Van Jefferson (LAR),WR62,Depth,7.333,0,0,0,7.333,0,5,36.666
NA,189,WR,Randall Cobb (GB),WR63,Depth,0,7.444,7.965,5.863,6.048,1,5,35.242
NA,194,WR,Chris Olave (NO),WR64,Depth,0,0,0,0,7,0,5,35
NA,197,WR,Emmanuel Sanders (BUF),WR65,Depth,6.219,10.282,8.237,16.683,7.96,-1,5,34.8
NA,200,WR,Mecole Hardman (KC),WR66,Depth,4.904,4.578,0,0,4.809,2,5,34.043
NA,210,WR,Cedrick Wilson Jr. (MIA),WR67,Depth,7.616,0,0,0,7.616,-1,5,33.079
NA,212,WR,Keke Coutee (IND),WR68,Depth,0,8.128,0,7.057,6.518,0,5,32.592
NA,214,WR,Skyy Moore (KC),WR69,Depth,0,0,0,0,6.5,0,5,32.5
NA,215,WR,Christian Watson (GB),WR70,Depth,0,0,0,0,6.5,0,5,32.5
NA,216,WR,Kenny Golladay (NYG),WR71,Depth,2.727,10.468,15.242,13.244,6.44,0,5,32.198
NA,218,WR,Laviska Shenault Jr. (JAC),WR72,Depth,5.115,9.464,0,0,6.394,0,5,31.97
NA,219,WR,Kadarius Toney (NYG),WR73,Depth,5.351,0,0,0,5.351,1,5,31.755
NA,225,WR,Cyril Grayson Jr. (TB),WR74,Depth,11.238,0,0,0,11.238,-5,5,31.19
NA,234,WR,Sterling Shepard (NYG),WR75,Depth,8.557,12.08,14.282,9.099,10.037,-4,5,30.186
NA,235,WR,Rondale Moore (ARI),WR76,Depth,4.032,0,0,0,4.032,2,5,30.159
NA,238,WR,Jahan Dotson (WAS),WR77,Depth,0,0,0,0,6,0,5,30
NA,239,WR,Jameson Williams (DET),WR78,Depth,0,0,0,0,6,0,5,30
NA,240,WR,A.J. Green (ARI),WR79,Depth,7.396,4.012,0,16.852,6.981,-1,5,29.905
NA,243,WR,Kendrick Bourne (NE),WR80,Depth,7.874,5.463,0,3.188,6.944,-1,5,29.721
NA,250,WR,Marquez Valdes-Scantling (KC),WR81,Depth,4.366,5.365,0,3.18,4.578,1,5,27.888
NA,255,WR,Quintez Cephus (DET),WR82,Depth,5.499,0,0,0,5.499,0,5,27.497
NA,259,WR,Sammy Watkins (GB),WR83,Depth,3.079,5.744,5.981,9.094,4.336,1,5,26.681
NA,262,WR,Antonio Brown (FA),WR84,Depth,15.895,12.249,0,23.415,15.3,-10,5,26.498
NA,263,WR,Nelson Agholor (NE),WR85,Depth,3.186,9.508,5.732,8.221,5.273,0,5,26.363
NA,265,WR,Calvin Ridley (ATL),WR86,Depth,14.125,19.111,14.728,10.542,15.252,-10,5,26.262
NA,269,WR,Kalif Raymond (DET),WR87,Depth,5.145,0,0,0,5.145,0,5,25.725
NA,271,WR,Donovan Peoples-Jones (CLE),WR88,Depth,4.11,0,0,0,4.11,1,5,25.55
NA,274,WR,Byron Pringle (CHI),WR89,Depth,4.035,0,0,0,4.035,1,5,25.174
NA,276,WR,John Metchie III (HOU),WR90,Depth,0,0,0,0,5,0,5,25
NA,277,WR,Keelan Cole Sr. (LV),WR91,Depth,0,6.969,0,1.629,4.985,0,5,24.923
NA,278,WR,Zay Jones (JAC),WR92,Depth,3.578,0,0,7.762,3.9,1,5,24.5
NA,281,WR,Marquez Callaway (NO),WR93,Depth,5.756,0,0,0,5.756,-1,5,23.782
NA,283,WR,KJ Hamler (DEN),WR94,Depth,0,3.276,0,0,2.686,2,5,23.43
NA,286,WR,Tre'Quan Smith (NO),WR95,Depth,5.645,0,0,0,5.645,-1,5,23.224
NA,287,WR,Deonte Harty (NO),WR96,Depth,5.615,0,0,0,5.615,-1,5,23.075
NA,288,WR,Travis Fulgham (DEN),WR97,Depth,0,5.557,0,0,4.557,0,5,22.785
NA,292,WR,Preston Williams (MIA),WR98,Depth,0,5.728,9.214,0,5.514,-1,5,22.568
NA,293,WR,Jalen Reagor (PHI),WR99,Depth,0,5.461,0,0,4.478,0,5,22.392
NA,295,WR,Dante Pettis (CHI),WR100,Depth,4.311,0,0,5.346,4.391,0,5,21.955
NA,299,WR,Greg Ward (PHI),WR101,Depth,0,5.451,5,0,4.364,0,5,21.822
NA,301,WR,Breshad Perriman (TB),WR102,Depth,0,4.599,6.634,0,4.248,0,5,21.24
NA,309,WR,Josh Reynolds (DET),WR103,Depth,3.727,4.38,0,0,3.919,0,5,19.596
NA,313,WR,Antoine Wesley (ARI),WR104,Depth,3.46,0,0,0,3.46,0,5,17.299
NA,314,WR,Nick Westbrook-Ikhine (TEN),WR105,Depth,3.434,0,0,0,3.434,0,5,17.171
NA,319,WR,Laquon Treadwell (JAC),WR106,Depth,3.28,0,0,0,3.28,0,5,16.402
NA,321,WR,Chris Conley (HOU),WR107,Depth,0,2.726,7.085,0,3.257,0,5,16.283
NA,322,WR,Rashard Higgins (CAR),WR108,Depth,0.243,6.164,0,6.151,2.215,1,5,16.077
NA,323,WR,Zach Pascal (PHI),WR109,Depth,2.066,5.02,5.348,0,3.189,0,5,15.944
NA,325,WR,Darius Slayton (NYG),WR110,Depth,1.1,5.455,9.185,0,3.097,0,5,15.484
NA,333,WR,Braxton Berrios (NYJ),WR111,Depth,3.897,0,0,0,3.897,-1,5,14.487
NA,338,WR,Denzel Mims (NYJ),WR112,Depth,0,3.321,0,0,2.723,0,5,13.617
NA,341,WR,Demarcus Robinson (LV),WR113,Depth,0,3.282,0,0,2.691,0,5,13.456
NA,342,WR,Damiere Byrd (ATL),WR114,Depth,0,3.335,3.035,0,2.665,0,5,13.323
NA,353,WR,N'Keal Harry (CHI),WR115,Depth,0,1.169,1.127,0,0.949,1,5,9.743
NA,354,WR,Nico Collins (HOU),WR116,Depth,1.895,0,0,0,1.895,0,5,9.474
NA,357,WR,Jakeem Grant Sr. (CLE),WR117,Depth,0,2.188,0,0,1.794,0,5,8.97
NA,358,WR,Anthony Miller (PIT),WR118,Depth,0.172,3.112,4.994,4.331,1.597,0,5,7.986
NA,361,WR,Lynn Bowden Jr. (MIA),WR119,Depth,0,1.551,0,0,1.272,0,5,6.36
NA,366,WR,Albert Wilson (MIN),WR120,Depth,0.154,0,2.983,10.004,1.188,0,5,5.94
NA,373,WR,Ray-Ray McCloud (SF),WR121,Depth,-0.368,0,0,0,-0.368,0,5,-1.838
NA,375,WR,Henry Ruggs III (FA),WR122,Depth,9.45,0,0,0,9.45,-10,5,-2.752
NA,376,WR,Cole Beasley (FA),WR123,Depth,7.355,12.437,11.717,6.51,9.019,-10,5,-4.903
NA,379,WR,Odell Beckham Jr. (FA),WR124,Depth,6.775,7.896,11.486,21.645,8.27,-10,5,-8.652
NA,383,WR,Tim Patrick (DEN),WR125,Depth,7.573,8.419,0.099,0,7.009,-10,5,-14.956
NA,388,WR,Danny Amendola (FA),WR126,Depth,4.442,4.867,7.115,5.104,4.849,-10,5,-25.757
