Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New England Patriots (NE),9,1,0,0,1,0,0,1,26,26,52.5%,2022,9
2,Detroit Lions (DET),1,3,0,2,0,0,0,1,11,11,4.0%,2022,9
3,Baltimore Ravens (BAL),4,1,0,0,0,0,0,1,10,10,90.6%,2022,9
4,New York Jets (NYJ),5,2,0,2,0,0,0,1,10,10,19.1%,2022,9
5,Arizona Cardinals (ARI),2,1,0,0,1,0,0,1,9,9,9.3%,2022,9
6,Miami Dolphins (MIA),2,0,0,0,0,0,1,1,9,9,24.9%,2022,9
7,Tampa Bay Buccaneers (TB),4,0,0,0,0,0,0,1,8,8,84.2%,2022,9
8,Seattle Seahawks (SEA),5,0,1,1,0,0,0,1,8,8,15.0%,2022,9
9,Philadelphia Eagles (PHI),3,2,0,0,0,0,0,1,8,8,57.2%,2022,9
10,Tennessee Titans (TEN),4,1,0,0,0,0,0,1,7,7,26.8%,2022,9
11,Los Angeles Chargers (LAC),2,0,2,1,0,0,0,1,7,7,42.7%,2022,9
12,Indianapolis Colts (IND),4,0,1,2,0,0,0,1,7,7,52.9%,2022,9
13,Cincinnati Bengals (CIN),0,2,1,0,0,0,0,1,6,6,33.1%,2022,9
14,Minnesota Vikings (MIN),3,1,0,0,0,0,0,1,6,6,19.7%,2022,9
15,Buffalo Bills (BUF),2,0,1,1,0,0,0,1,5,5,96.0%,2022,9
16,Washington Commanders (WAS),2,1,0,0,0,0,0,1,5,5,51.3%,2022,9
17,Atlanta Falcons (ATL),0,1,1,1,0,0,0,1,5,5,2.7%,2022,9
18,Jacksonville Jaguars (JAC),2,0,1,1,0,0,0,1,5,5,22.8%,2022,9
19,Houston Texans (HOU),4,0,1,2,0,0,0,1,5,5,0.8%,2022,9
20,Kansas City Chiefs (KC),3,0,0,0,0,0,0,1,4,4,46.4%,2022,9
21,Los Angeles Rams (LAR),1,0,0,0,0,0,0,1,4,4,34.8%,2022,9
22,Green Bay Packers (GB),0,1,0,0,0,0,0,1,3,3,67.2%,2022,9
23,New Orleans Saints (NO),3,0,0,0,0,0,0,1,3,3,62.8%,2022,9
24,Las Vegas Raiders (LV),0,0,1,0,0,0,0,1,2,2,11.2%,2022,9
31,Chicago Bears (CHI),0,0,0,0,0,0,0,1,-1,-1,2.2%,2022,9
32,Carolina Panthers (CAR),2,0,0,0,0,0,0,1,-2,-2,7.6%,2022,9
