Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Pittsburgh Steelers (PIT),7,4,1,2,1,0,0,1,26,26,50.2%,2022,1
2,Miami Dolphins (MIA),2,1,2,2,1,0,0,1,18,18,24.9%,2022,1
3,Buffalo Bills (BUF),7,3,0,0,0,0,0,1,17,17,96.0%,2022,1
4,Los Angeles Chargers (LAC),6,3,0,3,0,0,0,1,13,13,42.7%,2022,1
5,Tampa Bay Buccaneers (TB),4,1,0,0,0,0,0,1,13,13,84.2%,2022,1
6,Minnesota Vikings (MIN),4,1,1,1,0,0,0,1,12,12,19.7%,2022,1
7,Baltimore Ravens (BAL),3,1,1,2,0,0,0,1,11,11,90.6%,2022,1
8,Chicago Bears (CHI),2,1,1,1,0,0,0,1,10,10,2.2%,2022,1
9,Los Angeles Rams (LAR),2,2,2,2,0,0,0,1,9,9,34.8%,2022,1
10,Tennessee Titans (TEN),5,1,1,2,0,0,0,1,9,9,26.8%,2022,1
11,Seattle Seahawks (SEA),2,0,2,2,0,0,0,1,7,7,15.0%,2022,1
12,Houston Texans (HOU),2,1,1,1,0,0,0,1,7,7,0.8%,2022,1
13,Indianapolis Colts (IND),3,0,1,1,0,0,0,1,6,6,52.9%,2022,1
14,Jacksonville Jaguars (JAC),1,2,1,1,0,0,0,1,6,6,22.8%,2022,1
15,Atlanta Falcons (ATL),4,0,1,1,0,0,0,1,6,6,2.7%,2022,1
16,Cleveland Browns (CLE),4,1,0,1,0,0,0,1,6,6,42.7%,2022,1
17,New Orleans Saints (NO),0,0,2,2,0,0,0,1,6,6,62.8%,2022,1
18,Denver Broncos (DEN),2,0,1,3,0,0,0,1,5,5,32.3%,2022,1
19,Philadelphia Eagles (PHI),1,1,0,0,1,0,0,1,5,5,57.2%,2022,1
20,Dallas Cowboys (DAL),2,1,0,0,0,0,0,1,5,5,90.0%,2022,1
21,San Francisco 49ers (SF),2,1,0,0,0,0,0,1,5,5,96.0%,2022,1
22,Washington Commanders (WAS),2,1,0,1,0,0,0,1,4,4,51.3%,2022,1
23,New York Jets (NYJ),2,1,0,1,0,0,0,1,4,4,19.1%,2022,1
24,New York Giants (NYG),1,0,1,0,0,0,0,1,4,4,24.7%,2022,1
25,New England Patriots (NE),3,0,0,2,0,0,0,1,4,4,52.5%,2022,1
26,Kansas City Chiefs (KC),3,0,0,1,0,0,0,1,3,3,46.4%,2022,1
27,Cincinnati Bengals (CIN),1,0,0,1,0,0,0,1,2,2,33.1%,2022,1
28,Green Bay Packers (GB),1,0,0,0,0,0,0,1,1,1,67.2%,2022,1
29,Carolina Panthers (CAR),1,0,0,0,0,0,0,1,1,1,7.6%,2022,1
30,Las Vegas Raiders (LV),0,0,0,1,0,0,0,1,0,0,11.2%,2022,1
31,Detroit Lions (DET),1,0,0,0,0,0,0,1,0,0,4.0%,2022,1
32,Arizona Cardinals (ARI),0,0,1,3,0,0,0,1,-2,-2,9.3%,2022,1
