Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Cleveland Browns (CLE),0,2,2,1,2,0,1,1,27,27,42.7%,2022,13
2,Dallas Cowboys (DAL),3,3,2,2,1,0,0,1,20,20,90.0%,2022,13
3,San Francisco 49ers (SF),3,3,1,1,1,0,0,1,18,18,96.0%,2022,13
4,Los Angeles Chargers (LAC),0,1,1,1,1,0,0,1,12,12,42.7%,2022,13
5,Denver Broncos (DEN),4,2,0,1,0,0,0,1,12,12,32.3%,2022,13
6,Philadelphia Eagles (PHI),6,0,0,0,0,0,0,1,10,10,57.2%,2022,13
7,Green Bay Packers (GB),0,2,1,1,0,0,0,1,9,9,67.2%,2022,13
8,Los Angeles Rams (LAR),4,1,1,1,0,0,0,1,8,8,34.8%,2022,13
9,Seattle Seahawks (SEA),4,2,0,1,0,0,0,1,8,8,15.0%,2022,13
10,Las Vegas Raiders (LV),5,0,1,2,0,0,0,1,8,8,11.2%,2022,13
11,Houston Texans (HOU),1,1,1,1,0,1,0,1,8,8,0.8%,2022,13
12,New York Giants (NYG),5,0,1,3,0,0,0,1,8,8,24.7%,2022,13
13,Washington Commanders (WAS),4,0,1,1,0,0,0,1,7,7,51.3%,2022,13
14,New Orleans Saints (NO),1,1,1,1,0,0,0,1,6,6,62.8%,2022,13
15,Miami Dolphins (MIA),4,1,0,1,0,0,0,1,6,6,24.9%,2022,13
16,Baltimore Ravens (BAL),2,0,0,0,0,0,0,1,6,6,90.6%,2022,13
17,Minnesota Vikings (MIN),1,2,0,0,0,0,0,1,5,5,19.7%,2022,13
18,Detroit Lions (DET),2,0,1,1,0,0,0,1,5,5,4.0%,2022,13
19,Buffalo Bills (BUF),1,0,0,1,0,0,0,1,5,5,96.0%,2022,13
20,Cincinnati Bengals (CIN),2,0,1,1,0,0,0,1,4,4,33.1%,2022,13
21,Pittsburgh Steelers (PIT),1,1,0,0,0,0,0,1,4,4,50.2%,2022,13
22,New England Patriots (NE),2,0,1,1,0,0,0,1,4,4,52.5%,2022,13
23,Tampa Bay Buccaneers (TB),2,0,0,0,0,0,0,1,3,3,84.2%,2022,13
24,New York Jets (NYJ),2,0,0,0,0,0,0,1,2,2,19.1%,2022,13
25,Kansas City Chiefs (KC),1,0,0,0,0,0,0,1,1,1,46.4%,2022,13
26,Atlanta Falcons (ATL),0,0,0,0,0,0,0,1,1,1,2.7%,2022,13
27,Indianapolis Colts (IND),1,1,0,0,0,0,0,1,1,1,52.9%,2022,13
30,Chicago Bears (CHI),0,0,0,0,0,0,0,1,-1,-1,2.2%,2022,13
31,Jacksonville Jaguars (JAC),2,0,0,0,0,0,0,1,-2,-2,22.8%,2022,13
32,Tennessee Titans (TEN),2,0,0,1,0,0,0,1,-2,-2,26.8%,2022,13
