Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
14,Aldrick Rosas (FA),1,1,100,44,0,0,0,1,0,5,5,1,9,9,0.0%,2021,1
20,Aldrick Rosas (FA),1,1,100,43,0,0,0,1,0,1,1,1,5,5,0.0%,2021,11
28,Aldrick Rosas (FA),0,2,0,0,0,0,0,0,0,4,4,1,4,4,0.0%,2021,3
26,Aldrick Rosas (FA),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.0%,2021,4
30,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2021,2
28,Alex Kessman (FA),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0%,2021,13
2,Austin Seibert (FA),4,4,100,47,0,0,2,2,0,1,1,1,15,15,0.2%,2021,7
7,Austin Seibert (FA),3,3,100,52,0,0,1,1,1,0,0,1,12,12,0.2%,2021,5
22,Austin Seibert (FA),1,2,50,49,0,0,0,1,0,2,2,1,6,6,0.2%,2021,1
20,Austin Seibert (FA),1,1,100,43,0,0,0,1,0,2,2,1,6,6,0.2%,2021,2
21,Austin Seibert (FA),1,1,100,35,0,0,1,0,0,0,0,1,3,3,0.2%,2021,6
30,Austin Seibert (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2021,8
4,Brandon McManus (DEN),4,4,100,47,0,1,1,2,0,2,2,1,16,16,34.8%,2021,3
6,Brandon McManus (DEN),3,3,100,46,0,0,1,2,0,2,2,1,13,13,34.8%,2021,2
2,Brandon McManus (DEN),3,4,75,53,0,1,0,1,1,1,2,1,13,13,34.8%,2021,9
13,Brandon McManus (DEN),1,1,100,52,0,0,0,0,1,5,5,1,10,10,34.8%,2021,14
12,Brandon McManus (DEN),2,3,66.7,55,0,0,0,1,1,1,1,1,10,10,34.8%,2021,16
13,Brandon McManus (DEN),2,2,100,36,0,1,1,0,0,3,3,1,9,9,34.8%,2021,1
16,Brandon McManus (DEN),2,2,100,61,0,1,0,0,1,1,1,1,9,9,34.8%,2021,17
19,Brandon McManus (DEN),2,2,100,39,0,1,1,0,0,1,1,1,7,7,34.8%,2021,5
14,Brandon McManus (DEN),2,3,66.7,28,0,2,0,0,0,1,1,1,7,7,34.8%,2021,10
19,Brandon McManus (DEN),1,1,100,32,0,0,1,0,0,3,3,1,6,6,34.8%,2021,6
19,Brandon McManus (DEN),1,2,50,45,0,0,0,1,0,2,2,1,6,6,34.8%,2021,8
22,Brandon McManus (DEN),1,2,50,54,0,0,0,0,1,1,1,1,6,6,34.8%,2021,15
23,Brandon McManus (DEN),1,1,100,31,0,0,1,0,0,3,3,1,6,6,34.8%,2021,18
20,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,4,4,1,4,4,34.8%,2021,12
24,Brandon McManus (DEN),1,1,100,42,0,0,0,1,0,0,0,1,4,4,34.8%,2021,13
24,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,34.8%,2021,7
29,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,1,1,1,1,1,34.8%,2021,4
5,Brett Maher (DAL),4,4,100,41,0,1,1,2,0,0,1,1,14,14,79.4%,2021,17
11,Brett Maher (DAL),3,3,100,37,0,1,2,0,0,3,3,1,12,12,79.4%,2021,14
5,Brett Maher (DAL),3,4,75,37,0,1,2,0,0,3,3,1,12,12,79.4%,2021,18
7,Brett Maher (DAL),3,3,100,42,0,0,2,1,0,0,0,1,10,10,79.4%,2021,15
18,Brett Maher (DAL),1,2,50,42,0,0,0,1,0,2,2,1,6,6,79.4%,2021,13
21,Brett Maher (DAL),1,1,100,28,0,1,0,0,0,2,3,1,5,5,79.4%,2021,11
31,Brett Maher (DAL),1,1,100,38,0,0,1,0,0,0,0,1,3,3,79.4%,2021,16
31,Brett Maher (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.4%,2021,12
7,Brian Johnson (FA),3,3,100,35,0,2,1,0,0,3,4,1,12,12,0.0%,2021,8
11,Brian Johnson (FA),2,2,100,52,0,0,1,0,1,1,1,1,9,9,0.0%,2021,9
11,Brian Johnson (FA),2,2,100,33,0,1,1,0,0,1,1,1,7,7,0.0%,2021,7
17,Brian Johnson (FA),1,1,100,48,0,0,0,1,0,2,2,1,6,6,0.0%,2021,13
25,Brian Johnson (FA),1,1,100,22,0,1,0,0,0,2,2,1,5,5,0.0%,2021,15
25,Brian Johnson (FA),1,1,100,20,0,1,0,0,0,0,2,1,3,3,0.0%,2021,10
33,Brian Johnson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,5
28,Brian Johnson (FA),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0%,2021,14
4,Cairo Santos (CHI),3,3,100,44,0,1,0,2,0,3,3,1,14,14,12.0%,2021,14
6,Cairo Santos (CHI),3,3,100,46,0,0,0,3,0,0,0,1,12,12,12.0%,2021,18
8,Cairo Santos (CHI),3,3,100,40,0,1,1,1,0,1,2,1,11,11,12.0%,2021,8
6,Cairo Santos (CHI),3,4,75,43,0,2,0,1,0,1,1,1,11,11,12.0%,2021,12
13,Cairo Santos (CHI),2,2,100,46,0,0,0,2,0,2,2,1,10,10,12.0%,2021,5
15,Cairo Santos (CHI),2,2,100,44,0,1,0,1,0,3,3,1,10,10,12.0%,2021,17
14,Cairo Santos (CHI),2,3,66.7,30,0,1,1,0,0,3,3,1,9,9,12.0%,2021,9
14,Cairo Santos (CHI),2,2,100,28,0,2,0,0,0,2,2,1,8,8,12.0%,2021,2
13,Cairo Santos (CHI),2,2,100,47,0,1,0,1,0,0,0,1,7,7,12.0%,2021,3
18,Cairo Santos (CHI),1,1,100,33,0,0,1,0,0,3,3,1,6,6,12.0%,2021,4
25,Cairo Santos (CHI),1,1,100,35,0,0,1,0,0,2,2,1,5,5,12.0%,2021,16
23,Cairo Santos (CHI),1,1,100,28,0,1,0,0,0,0,0,1,3,3,12.0%,2021,7
29,Cairo Santos (CHI),1,2,50,34,0,0,1,0,0,0,0,1,3,3,12.0%,2021,15
29,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,2,2,1,2,2,12.0%,2021,1
27,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,2,2,1,2,2,12.0%,2021,6
25,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,2,2,1,2,2,12.0%,2021,13
28,Cairo Santos (CHI),0,1,0,0,0,0,0,0,0,1,1,1,1,1,12.0%,2021,11
33,Cameron Nizialek (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,1
32,Cameron Nizialek (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,2
32,Cameron Nizialek (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,3
31,Cameron Nizialek (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,4
1,Chase McLaughlin (IND),4,4,100,57,0,1,0,1,2,2,2,1,19,19,7.7%,2021,3
5,Chase McLaughlin (IND),2,3,66.7,28,0,2,0,0,0,5,5,1,11,11,7.7%,2021,9
11,Chase McLaughlin (IND),2,2,100,35,0,0,2,0,0,4,4,1,10,10,7.7%,2021,5
9,Chase McLaughlin (IND),2,2,100,53,0,0,0,1,1,0,0,1,9,9,7.7%,2021,4
18,Chase McLaughlin (IND),1,1,100,30,0,0,1,0,0,4,4,1,7,7,7.7%,2021,2
12,Chase McLaughlin (IND),1,2,50,52,0,0,0,0,1,2,2,1,7,7,7.7%,2021,7
20,Chase McLaughlin (IND),1,2,50,43,0,0,0,1,0,3,3,1,7,7,7.7%,2021,14
18,Chase McLaughlin (IND),1,2,50,46,0,0,0,1,0,1,1,1,5,5,7.7%,2021,12
24,Chase McLaughlin (IND),1,1,100,30,0,0,1,0,0,1,1,1,4,4,7.7%,2021,8
26,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,3,3,1,3,3,7.7%,2021,1
31,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,3,3,1,3,3,7.7%,2021,18
25,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,2,2,1,2,2,7.7%,2021,6
30,Chase McLaughlin (IND),0,1,0,0,0,0,0,0,0,2,2,1,2,2,7.7%,2021,15
31,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,2,2,1,2,2,7.7%,2021,17
27,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,1,1,1,1,1,7.7%,2021,10
26,Chase McLaughlin (IND),0,1,0,0,0,0,0,0,0,1,2,1,1,1,7.7%,2021,11
20,Chris Blewitt (FA),1,3,33.3,52,0,0,0,0,1,1,1,1,6,6,0.0%,2021,8
18,Chris Blewitt (FA),1,2,50,45,0,0,0,1,0,1,1,1,5,5,0.0%,2021,7
2,Chris Boswell (PIT),4,4,100,50,0,1,1,1,1,2,2,1,17,17,16.2%,2021,17
1,Chris Boswell (PIT),3,3,100,54,0,0,0,1,2,2,3,1,16,16,16.2%,2021,9
2,Chris Boswell (PIT),4,5,80,48,0,1,1,2,0,1,1,1,15,15,16.2%,2021,15
4,Chris Boswell (PIT),3,3,100,45,0,0,2,1,0,4,4,1,14,14,16.2%,2021,11
4,Chris Boswell (PIT),3,3,100,52,0,1,1,0,1,2,2,1,13,13,16.2%,2021,6
3,Chris Boswell (PIT),3,3,100,45,0,2,0,1,0,2,2,1,12,12,16.2%,2021,1
5,Chris Boswell (PIT),3,3,100,51,0,2,0,0,1,1,1,1,12,12,16.2%,2021,10
9,Chris Boswell (PIT),2,2,100,48,0,0,0,2,0,3,3,1,11,11,16.2%,2021,5
9,Chris Boswell (PIT),3,3,100,40,0,1,1,1,0,1,1,1,11,11,16.2%,2021,18
12,Chris Boswell (PIT),2,2,100,53,0,0,0,1,1,0,1,1,9,9,16.2%,2021,13
16,Chris Boswell (PIT),1,1,100,56,0,0,0,0,1,2,2,1,7,7,16.2%,2021,2
13,Chris Boswell (PIT),1,1,100,52,0,0,0,0,1,2,2,1,7,7,16.2%,2021,4
17,Chris Boswell (PIT),1,1,100,40,0,0,0,1,0,1,1,1,5,5,16.2%,2021,12
27,Chris Boswell (PIT),1,2,50,26,0,1,0,0,0,1,1,1,4,4,16.2%,2021,3
27,Chris Boswell (PIT),1,2,50,34,0,0,1,0,0,1,1,1,4,4,16.2%,2021,16
27,Chris Boswell (PIT),1,1,100,31,0,0,1,0,0,0,0,1,3,3,16.2%,2021,8
25,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,2,2,1,2,2,16.2%,2021,14
26,Chris Naggar (FA),1,1,100,37,0,0,1,0,0,1,2,1,4,4,0.4%,2021,16
27,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,3,5,1,3,3,0.0%,2021,5
