Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Dallas Cowboys (DAL),2,3,0,1,0,0,1,1,23,23,90.0%,2021,10
2,Miami Dolphins (MIA),4,1,1,2,1,0,0,1,18,18,24.9%,2021,10
3,Green Bay Packers (GB),3,2,0,0,0,0,0,1,17,17,67.2%,2021,10
4,San Francisco 49ers (SF),2,2,0,0,1,0,0,1,16,16,96.0%,2021,10
5,Philadelphia Eagles (PHI),1,0,1,2,1,0,0,1,15,15,57.2%,2021,10
6,Indianapolis Colts (IND),3,0,1,1,0,0,1,1,14,14,52.9%,2021,10
7,Buffalo Bills (BUF),1,4,1,1,0,0,0,1,12,12,96.0%,2021,10
8,Carolina Panthers (CAR),4,1,1,1,0,0,0,1,12,12,7.6%,2021,10
9,New England Patriots (NE),5,1,0,2,0,0,0,1,11,11,52.5%,2021,10
10,Kansas City Chiefs (KC),2,1,1,1,0,0,0,1,7,7,46.4%,2021,10
11,Detroit Lions (DET),0,1,2,2,0,0,0,1,7,7,4.0%,2021,10
12,Tennessee Titans (TEN),4,0,1,0,0,0,0,1,6,6,26.8%,2021,10
13,Tampa Bay Buccaneers (TB),5,0,1,1,0,0,0,1,6,6,84.2%,2021,10
14,Pittsburgh Steelers (PIT),4,0,0,0,0,0,0,1,5,5,50.2%,2021,10
15,Minnesota Vikings (MIN),2,1,0,0,0,0,0,1,5,5,19.7%,2021,10
16,Washington Commanders (WAS),0,2,0,0,0,0,0,1,5,5,51.3%,2021,10
17,Baltimore Ravens (BAL),4,0,0,2,0,0,0,1,5,5,90.6%,2021,10
18,Denver Broncos (DEN),2,1,0,1,0,0,0,1,4,4,32.3%,2021,10
19,Los Angeles Chargers (LAC),2,0,1,1,0,0,0,1,4,4,42.7%,2021,10
20,Seattle Seahawks (SEA),1,1,0,0,0,0,0,1,4,4,15.0%,2021,10
21,Arizona Cardinals (ARI),0,1,1,0,0,0,0,1,3,3,9.3%,2021,10
22,Jacksonville Jaguars (JAC),1,0,0,0,0,0,0,1,2,2,22.8%,2021,10
23,New Orleans Saints (NO),2,0,0,0,0,0,0,1,2,2,62.8%,2021,10
24,New York Jets (NYJ),2,1,1,1,0,0,0,1,2,2,19.1%,2021,10
25,Los Angeles Rams (LAR),1,0,0,0,0,0,0,1,1,1,34.8%,2021,10
26,Atlanta Falcons (ATL),0,0,1,1,0,0,0,1,-2,-2,2.7%,2021,10
27,Las Vegas Raiders (LV),0,0,1,1,0,0,0,1,-2,-2,11.2%,2021,10
28,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,-2,-2,42.7%,2021,10
