Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New England Patriots (NE),4,4,0,0,1,0,0,1,28,28,52.5%,2021,11
2,Houston Texans (HOU),2,4,1,2,0,0,0,1,16,16,0.8%,2021,11
3,Kansas City Chiefs (KC),5,2,1,2,0,0,0,1,15,15,46.4%,2021,11
4,Tampa Bay Buccaneers (TB),2,2,1,1,0,0,0,1,12,12,84.2%,2021,11
5,San Francisco 49ers (SF),3,0,2,1,0,0,0,1,11,11,96.0%,2021,11
6,Philadelphia Eagles (PHI),0,2,1,1,1,0,0,1,11,11,57.2%,2021,11
7,Cincinnati Bengals (CIN),2,1,1,1,0,0,0,1,10,10,33.1%,2021,11
8,Indianapolis Colts (IND),1,3,1,1,0,0,0,1,10,10,52.9%,2021,11
9,Baltimore Ravens (BAL),3,0,1,1,0,0,0,1,9,9,90.6%,2021,11
10,Chicago Bears (CHI),6,1,0,1,0,0,0,1,9,9,2.2%,2021,11
11,Detroit Lions (DET),1,2,0,0,0,0,0,1,9,9,4.0%,2021,11
12,Arizona Cardinals (ARI),4,0,0,1,0,0,0,1,8,8,9.3%,2021,11
13,Cleveland Browns (CLE),0,2,0,0,0,0,0,1,8,8,42.7%,2021,11
14,Dallas Cowboys (DAL),3,1,1,1,0,0,0,1,8,8,90.0%,2021,11
15,Atlanta Falcons (ATL),3,1,0,0,0,0,0,1,6,6,2.7%,2021,11
16,Miami Dolphins (MIA),2,0,1,1,0,0,0,1,5,5,24.9%,2021,11
17,Carolina Panthers (CAR),3,0,1,1,0,0,0,1,5,5,7.6%,2021,11
18,Las Vegas Raiders (LV),3,0,1,1,0,0,0,1,4,4,11.2%,2021,11
19,New Orleans Saints (NO),3,0,1,1,0,0,0,1,4,4,62.8%,2021,11
20,New York Giants (NYG),1,1,0,0,0,0,0,1,2,2,24.7%,2021,11
21,New York Jets (NYJ),0,1,0,0,0,0,0,1,2,2,19.1%,2021,11
22,Pittsburgh Steelers (PIT),2,1,0,0,0,0,0,1,2,2,50.2%,2021,11
23,Seattle Seahawks (SEA),2,0,0,2,0,0,0,1,2,2,15.0%,2021,11
24,Jacksonville Jaguars (JAC),2,0,0,1,0,0,0,1,1,1,22.8%,2021,11
25,Minnesota Vikings (MIN),2,0,0,1,0,0,0,1,1,1,19.7%,2021,11
26,Green Bay Packers (GB),2,0,0,1,0,0,0,1,1,1,67.2%,2021,11
27,Washington Commanders (WAS),1,0,0,0,0,0,0,1,1,1,51.3%,2021,11
28,Tennessee Titans (TEN),0,0,0,0,1,0,0,1,0,0,26.8%,2021,11
29,Los Angeles Chargers (LAC),3,0,0,1,0,0,0,1,-1,-1,42.7%,2021,11
30,Buffalo Bills (BUF),0,0,0,0,0,0,0,1,-4,-4,96.0%,2021,11
