Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Tampa Bay Buccaneers (TB),4,3,2,3,0,0,0,1,21,21,84.2%,2021,7
2,Tennessee Titans (TEN),4,1,2,3,0,0,0,1,17,17,26.8%,2021,7
3,New York Giants (NYG),6,1,0,0,0,1,0,1,17,17,24.7%,2021,7
4,Green Bay Packers (GB),4,1,1,4,0,0,0,1,14,14,67.2%,2021,7
5,New England Patriots (NE),2,2,1,1,0,0,0,1,12,12,52.5%,2021,7
6,Arizona Cardinals (ARI),2,0,1,1,0,0,0,1,11,11,9.3%,2021,7
7,Indianapolis Colts (IND),2,2,2,2,0,0,0,1,11,11,52.9%,2021,7
8,New Orleans Saints (NO),5,0,0,0,0,0,0,1,9,9,62.8%,2021,7
9,Seattle Seahawks (SEA),2,0,1,1,0,0,0,1,8,8,15.0%,2021,7
10,Los Angeles Rams (LAR),2,2,0,0,0,0,0,1,7,7,34.8%,2021,7
11,Houston Texans (HOU),4,1,0,0,0,1,0,1,7,7,0.8%,2021,7
12,Washington Commanders (WAS),3,0,1,2,0,0,0,1,7,7,51.3%,2021,7
13,Las Vegas Raiders (LV),2,0,2,1,0,0,0,1,6,6,11.2%,2021,7
14,Atlanta Falcons (ATL),1,2,0,0,0,0,0,1,6,6,2.7%,2021,7
15,Cincinnati Bengals (CIN),5,0,0,1,0,0,0,1,6,6,33.1%,2021,7
16,Cleveland Browns (CLE),2,1,0,0,0,0,0,1,5,5,42.7%,2021,7
17,San Francisco 49ers (SF),1,0,2,3,0,0,0,1,4,4,96.0%,2021,7
18,Denver Broncos (DEN),1,0,0,0,0,0,0,1,4,4,32.3%,2021,7
19,Miami Dolphins (MIA),1,1,1,1,0,0,0,1,4,4,24.9%,2021,7
20,Kansas City Chiefs (KC),1,1,0,0,0,0,0,1,3,3,46.4%,2021,7
21,Carolina Panthers (CAR),2,0,0,0,0,0,0,1,2,2,7.6%,2021,7
22,Philadelphia Eagles (PHI),0,1,0,0,0,0,0,1,1,1,57.2%,2021,7
23,Detroit Lions (DET),1,0,0,0,0,0,0,1,0,0,4.0%,2021,7
24,Baltimore Ravens (BAL),1,1,0,1,0,0,0,1,-1,-1,90.6%,2021,7
25,Chicago Bears (CHI),0,0,1,1,0,0,0,1,-2,-2,2.2%,2021,7
26,New York Jets (NYJ),1,0,0,0,0,0,0,1,-3,-3,19.1%,2021,7
