Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Chicago Bears (CHI),4,2,2,3,0,1,0,1,21,21,2.2%,2021,17
2,New Orleans Saints (NO),7,1,1,1,0,0,0,1,15,15,62.8%,2021,17
3,Tennessee Titans (TEN),4,1,1,1,0,0,0,1,15,15,26.8%,2021,17
4,Pittsburgh Steelers (PIT),9,2,0,0,0,0,0,1,14,14,50.2%,2021,17
5,Baltimore Ravens (BAL),1,2,1,1,1,0,0,1,14,14,90.6%,2021,17
6,Los Angeles Chargers (LAC),1,0,1,0,0,0,1,1,13,13,42.7%,2021,17
7,Los Angeles Rams (LAR),5,1,1,1,0,0,0,1,13,13,34.8%,2021,17
8,New England Patriots (NE),2,3,0,0,0,0,0,1,12,12,52.5%,2021,17
9,San Francisco 49ers (SF),3,1,0,2,0,0,0,1,9,9,96.0%,2021,17
10,Buffalo Bills (BUF),5,0,1,1,0,0,0,1,8,8,96.0%,2021,17
11,Atlanta Falcons (ATL),1,3,0,0,0,1,0,1,8,8,2.7%,2021,17
12,Indianapolis Colts (IND),2,2,0,2,0,0,0,1,6,6,52.9%,2021,17
13,Green Bay Packers (GB),2,0,0,0,0,0,0,1,6,6,67.2%,2021,17
14,Philadelphia Eagles (PHI),3,1,0,0,0,0,0,1,6,6,57.2%,2021,17
15,Seattle Seahawks (SEA),0,3,0,0,0,0,0,1,5,5,15.0%,2021,17
16,New York Giants (NYG),2,2,0,0,0,0,0,1,5,5,24.7%,2021,17
17,Cleveland Browns (CLE),2,1,0,1,0,0,0,1,4,4,42.7%,2021,17
18,Houston Texans (HOU),1,1,0,0,0,0,0,1,3,3,0.8%,2021,17
19,Kansas City Chiefs (KC),4,0,0,0,0,0,0,1,3,3,46.4%,2021,17
20,Tampa Bay Buccaneers (TB),1,0,1,1,0,0,0,1,3,3,84.2%,2021,17
21,Carolina Panthers (CAR),2,0,0,0,0,0,0,1,3,3,7.6%,2021,17
22,Arizona Cardinals (ARI),1,0,1,2,0,0,0,1,3,3,9.3%,2021,17
23,Washington Commanders (WAS),1,0,0,0,0,0,0,1,2,2,51.3%,2021,17
24,Las Vegas Raiders (LV),1,0,0,1,0,0,0,1,2,2,11.2%,2021,17
25,New York Jets (NYJ),1,1,0,0,0,0,0,1,2,2,19.1%,2021,17
26,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,1,1,90.0%,2021,17
27,Miami Dolphins (MIA),1,0,0,0,0,0,0,1,0,0,24.9%,2021,17
28,Denver Broncos (DEN),0,0,0,0,0,0,0,1,-1,-1,32.3%,2021,17
29,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,1,-1,-1,33.1%,2021,17
30,Jacksonville Jaguars (JAC),0,0,0,0,0,0,0,1,-2,-2,22.8%,2021,17
31,Detroit Lions (DET),1,0,0,0,0,0,0,1,-3,-3,4.0%,2021,17
32,Minnesota Vikings (MIN),0,0,0,0,0,0,0,1,-4,-4,19.7%,2021,17
