Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Aaron Jones (GB),18,168,9.3,75,4,2,4,8,68,17,1,0,1,43.6,43.6,99.2%,2020,2
2,Alvin Kamara (NO),13,79,6.1,21,1,2,9,9,95,10.6,0,0,1,33.9,33.9,99.3%,2020,2
3,Nick Chubb (CLE),22,124,5.6,26,2,2,1,1,9,9,0,0,1,25.8,25.8,99.9%,2020,2
4,Leonard Fournette (TB),12,103,8.6,46,4,2,4,5,13,3.3,0,0,1,25.6,25.6,97.5%,2020,2
5,Kareem Hunt (CLE),10,86,8.6,33,2,1,2,2,15,7.5,1,0,1,23.1,23.1,71.2%,2020,2
6,Christian McCaffrey (SF),18,59,3.3,9,0,2,4,5,29,7.3,0,0,1,22.8,22.8,100.0%,2020,2
7,David Montgomery (CHI),16,82,5.1,23,1,0,3,3,45,15,1,0,1,20.2,20.2,95.9%,2020,2
8,James Robinson (NYJ),16,102,6.4,39,2,1,3,4,18,6,0,0,1,19.5,19.5,35.9%,2020,2
9,Ezekiel Elliott (DAL),22,89,4,11,0,1,6,7,33,5.5,0,1,1,19.2,19.2,97.4%,2020,2
10,Darrell Henderson Jr. (FA),12,81,6.8,40,3,1,2,3,40,20,0,0,1,19.1,19.1,22.3%,2020,2
11,James Conner (ARI),16,106,6.6,59,4,1,2,2,15,7.5,0,0,1,19.1,19.1,97.1%,2020,2
12,Miles Sanders (PHI),20,95,4.8,15,0,1,3,7,36,12,0,1,1,18.6,18.6,96.7%,2020,2
13,Chris Carson (FA),17,72,4.2,13,0,0,3,3,36,12,1,0,1,18.3,18.3,0.3%,2020,2
14,Jonathan Taylor (IND),26,101,3.9,13,0,1,2,2,9,4.5,0,0,1,18,18,80.5%,2020,2
15,Raheem Mostert (MIA),8,92,11.5,80,4,1,2,2,15,7.5,0,0,1,17.7,17.7,81.6%,2020,2
16,Austin Ekeler (LAC),16,93,5.8,13,0,0,4,4,55,13.8,0,0,1,16.8,16.8,100.0%,2020,2
17,Dalvin Cook (MIN),14,63,4.5,16,0,1,2,2,8,4,0,0,1,16.1,16.1,99.9%,2020,2
18,Melvin Gordon III (KC),19,70,3.7,17,0,0,2,3,14,7,1,0,1,15.4,15.4,27.2%,2020,2
19,Mark Ingram II (NO),9,55,6.1,30,2,1,2,3,22,11,0,0,1,14.7,14.7,4.2%,2020,2
20,Jerick McKinnon (KC),3,77,25.7,55,4,1,0,1,0,0,0,0,1,13.7,13.7,86.0%,2020,2
21,Dion Lewis (FA),10,20,2,6,0,1,4,5,36,9,0,0,1,13.6,13.6,2.0%,2020,2
22,Joshua Kelley (LAC),23,64,2.8,7,0,0,2,2,49,24.5,0,0,1,12.3,12.3,6.7%,2020,2
23,Josh Jacobs (LV),27,88,3.3,14,0,0,3,3,17,5.7,0,0,1,12,12,99.4%,2020,2
24,Antonio Gibson (WAS),13,55,4.2,11,0,1,1,2,-3,-3,0,0,1,11.7,11.7,77.4%,2020,2
25,Mike Davis (FA),1,1,1,1,0,0,8,8,74,9.3,0,0,1,11.5,11.5,1.0%,2020,2
26,Myles Gaskin (MIA),7,46,6.6,14,0,0,6,7,36,6,0,0,1,11.2,11.2,0.3%,2020,2
27,Joe Mixon (CIN),16,46,2.9,9,0,0,4,4,40,10,0,0,1,10.6,10.6,99.9%,2020,2
28,Kenyan Drake (BAL),20,86,4.3,16,0,0,2,2,9,4.5,0,0,1,10.5,10.5,22.0%,2020,2
29,Chris Thompson (FA),2,7,3.5,5,0,0,3,4,20,6.7,1,0,1,10.2,10.2,0.0%,2020,2
30,Clyde Edwards-Helaire (KC),10,38,3.8,17,0,0,6,8,32,5.3,0,0,1,10,10,38.1%,2020,2
31,Ronald Jones II (KC),7,23,3.3,7,0,1,2,2,4,2,0,0,1,9.7,9.7,2.5%,2020,2
32,D'Andre Swift (DET),5,12,2.4,5,0,0,5,5,60,12,0,0,1,9.7,9.7,97.7%,2020,2
33,Kerryon Johnson (FA),8,32,4,8,0,1,0,1,0,0,0,0,1,9.2,9.2,0.0%,2020,2
34,Devin Singletary (BUF),10,56,5.6,18,0,0,2,3,20,10,0,0,1,8.6,8.6,91.5%,2020,2
35,Jalen Richard (FA),2,26,13,20,1,1,0,0,0,0,0,0,1,8.6,8.6,1.0%,2020,2
36,Derrick Henry (TEN),25,84,3.4,14,0,0,0,2,0,0,0,0,1,8.4,8.4,98.4%,2020,2
37,Jamaal Williams (DET),8,63,7.9,18,0,0,0,0,0,0,0,0,1,8.3,8.3,88.5%,2020,2
38,Alec Ingold (MIA),0,0,0,0,0,0,2,2,5,2.5,1,0,1,7.5,7.5,0.1%,2020,2
39,Gus Edwards (BAL),10,73,7.3,22,1,0,0,0,0,0,0,0,1,7.3,7.3,34.8%,2020,2
40,Rex Burkhead (HOU),6,2,0.3,3,0,0,4,6,47,11.8,0,0,1,6.9,6.9,9.1%,2020,2
41,Jakob Johnson (LV),0,0,0,0,0,0,1,1,1,1,1,0,1,6.6,6.6,0.0%,2020,2
42,Patrick Ricard (BAL),0,0,0,0,0,0,1,1,1,1,1,0,1,6.6,6.6,0.1%,2020,2
43,J.K. Dobbins (BAL),2,48,24,44,3,0,1,1,13,13,0,0,1,6.6,6.6,83.2%,2020,2
44,Reggie Gilliam (BUF),0,0,0,0,0,0,1,1,1,1,1,0,1,6.6,6.6,0.1%,2020,2
45,Jordan Howard (FA),5,4,0.8,2,0,1,0,0,0,0,0,0,1,6.4,6.4,0.0%,2020,2
46,Frank Gore (FA),21,63,3,13,0,0,0,2,0,0,0,0,1,6.3,6.3,12.1%,2020,2
47,Todd Gurley II (FA),21,61,2.9,8,0,0,0,0,0,0,0,0,1,6.1,6.1,0.1%,2020,2
48,David Johnson (NO),11,34,3.1,9,0,0,2,4,16,8,0,0,1,6,6,0.1%,2020,2
49,Boston Scott (PHI),4,19,4.8,9,0,0,3,3,24,8,0,0,1,5.8,5.8,1.2%,2020,2
50,J.D. McKissic (WAS),8,53,6.6,13,0,0,0,0,0,0,0,0,1,5.3,5.3,8.2%,2020,2
51,Tevin Coleman (SF),14,12,0.9,6,0,0,2,2,28,14,0,0,1,5,5,0.2%,2020,2
52,Giovani Bernard (TB),1,3,3,3,0,0,5,7,22,4.4,0,0,1,5,5,0.2%,2020,2
53,Carlos Hyde (FA),5,22,4.4,9,0,0,2,2,15,7.5,0,0,1,4.7,4.7,0.0%,2020,2
54,Malcolm Brown (LAR),11,47,4.3,19,0,0,0,0,0,0,0,0,1,4.7,4.7,0.1%,2020,2
55,LeSean McCoy (FA),1,-5,-5,0,0,0,5,7,26,5.2,0,0,1,4.6,4.6,2.0%,2020,2
56,Matt Breida (NYG),7,37,5.3,11,0,0,1,2,2,2,0,0,1,4.4,4.4,3.3%,2020,2
57,Latavius Murray (DEN),3,14,4.7,8,0,0,2,2,19,9.5,0,0,1,4.3,4.3,76.1%,2020,2
58,Adrian Peterson (FA),7,41,5.9,25,1,0,0,0,0,0,0,0,1,4.1,4.1,2.1%,2020,2
59,Jordan Wilkins (FA),9,40,4.4,9,0,0,0,0,0,0,0,0,1,4,4,0.1%,2020,2
60,Zack Moss (IND),8,37,4.6,14,0,0,0,0,0,0,0,0,1,3.7,3.7,46.2%,2020,2
61,Brian Hill (FA),3,14,4.7,10,0,0,2,2,11,5.5,0,0,1,3.5,3.5,0.0%,2020,2
62,Ty Montgomery (NE),0,0,0,0,0,0,2,3,25,12.5,0,0,1,3.5,3.5,0.5%,2020,2
63,Tarik Cohen (FA),5,12,2.4,5,0,0,1,1,15,15,0,0,1,3.2,3.2,0.0%,2020,2
64,Saquon Barkley (NYG),4,28,7,18,0,0,0,0,0,0,0,0,1,2.8,2.8,99.7%,2020,2
65,Chase Edmonds (DEN),3,4,1.3,5,0,0,3,4,9,3,0,0,1,2.8,2.8,24.1%,2020,2
66,Kalen Ballage (FA),1,5,5,5,0,0,2,2,12,6,0,0,1,2.7,2.7,0.0%,2020,2
