Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Alvin Kamara (NO),187,932,5,49,13,16,83,107,756,9.1,5,0,15,336.3,22.4,99.3%,2020
2,Derrick Henry (TEN),378,"2,027",5.4,94,30,17,19,31,114,6,0,2,16,323.6,20.2,98.4%,2020
3,Dalvin Cook (MIN),312,"1,557",5,70,12,16,44,54,361,8.2,1,3,14,315.8,22.6,99.9%,2020
4,David Montgomery (CHI),247,"1,070",4.3,80,12,8,54,68,438,8.1,2,1,15,237.8,15.9,95.9%,2020
5,Aaron Jones (GB),201,"1,104",5.5,77,17,9,47,63,355,7.6,2,0,14,235.4,16.8,99.2%,2020
6,Jonathan Taylor (IND),232,"1,169",5,62,15,11,36,40,299,8.3,1,1,15,234.8,15.7,80.5%,2020
7,James Robinson (NYJ),240,"1,070",4.5,47,8,7,49,60,344,7,3,1,14,225.9,16.1,35.9%,2020
8,Josh Jacobs (LV),273,"1,065",3.9,28,3,12,33,45,238,7.2,0,2,15,214.8,14.3,99.4%,2020
9,Nick Chubb (CLE),190,"1,067",5.6,59,20,12,16,18,150,9.4,0,1,12,199.7,16.6,99.9%,2020
10,Kareem Hunt (CLE),198,841,4.2,33,4,6,38,51,304,8,5,0,16,199.5,12.5,71.2%,2020
11,Ezekiel Elliott (DAL),244,979,4,31,4,6,52,71,338,6.5,2,5,15,197.7,13.2,97.4%,2020
12,Antonio Gibson (WAS),170,795,4.7,40,8,11,36,44,247,6.9,0,2,14,184.2,13.2,77.4%,2020
13,Melvin Gordon III (KC),215,986,4.6,65,10,9,32,44,158,4.9,1,4,15,182.4,12.2,27.2%,2020
14,Kenyan Drake (BAL),239,955,4,69,10,10,25,31,137,5.5,0,1,15,179.7,12,22.0%,2020
15,Mike Davis (FA),165,642,3.9,25,2,6,59,70,373,6.3,2,1,15,177,11.8,1.0%,2020
16,Ronald Jones II (KC),192,978,5.1,98,11,7,28,42,165,5.9,1,2,14,172.3,12.3,2.5%,2020
17,Chris Carson (FA),141,681,4.8,29,3,5,37,46,287,7.8,4,0,12,169.3,14.1,0.3%,2020
18,D'Andre Swift (DET),114,521,4.6,54,4,8,46,57,357,7.8,2,2,13,166.8,12.8,97.7%,2020
