Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Ka'imi Fairbairn (HOU),3,3,100,52,0,1,0,0,2,3,3,1,16,16,0.3%,2021,15
2,Chris Boswell (PIT),4,5,80,48,0,1,1,2,0,1,1,1,15,15,10.7%,2021,15
3,Riley Patterson (DET),3,3,100,47,0,0,1,2,0,3,3,1,14,14,1.0%,2021,15
4,Evan McPherson (CIN),3,3,100,58,0,1,0,0,2,0,0,1,13,13,93.5%,2021,15
5,Daniel Carlson (LV),3,3,100,48,0,1,0,2,0,1,1,1,12,12,89.9%,2021,15
6,Matt Gay (LAR),2,2,100,55,0,0,1,0,1,2,2,1,10,10,78.3%,2021,15
7,Greg Zuerlein (NYJ),3,3,100,42,0,2,0,1,0,0,2,1,10,10,17.8%,2021,15
8,Michael Badgley (FA),2,3,66.7,41,0,1,0,1,0,3,3,1,10,10,15.6%,2021,15
9,Matthew Wright (FA),3,3,100,38,0,1,2,0,0,1,1,1,10,10,1.3%,2021,15
10,Brett Maher (FA),3,3,100,42,0,0,2,1,0,0,0,1,10,10,2.0%,2021,15
11,Jake Elliott (PHI),2,2,100,37,0,1,1,0,0,3,3,1,9,9,14.1%,2021,15
12,Younghoe Koo (ATL),2,2,100,48,0,1,0,1,0,1,1,1,8,8,42.3%,2021,15
13,Harrison Butker (KC),2,2,100,33,0,0,2,0,0,2,2,1,8,8,81.3%,2021,15
14,Jason Sanders (MIA),1,1,100,24,0,1,0,0,0,4,4,1,7,7,9.0%,2021,15
15,Mason Crosby (GB),1,1,100,29,0,1,0,0,0,4,4,1,7,7,23.3%,2021,15
16,Randy Bullock (TEN),2,2,100,32,0,1,1,0,0,1,1,1,7,7,2.0%,2021,15
17,Robbie Gould (SF),1,1,100,30,0,0,1,0,0,4,4,1,7,7,32.9%,2021,15
18,Graham Gano (NYG),2,2,100,42,0,0,1,1,0,0,0,1,7,7,34.0%,2021,15
19,Tyler Bass (BUF),1,1,100,26,0,1,0,0,0,4,4,1,7,7,83.0%,2021,15
20,Matt Prater (ARI),2,2,100,29,0,2,0,0,0,0,0,1,6,6,53.5%,2021,15
21,Eddy Pineiro (NYJ),1,1,100,27,0,1,0,0,0,3,3,1,6,6,0.1%,2021,15
22,Justin Tucker (BAL),1,1,100,38,0,0,1,0,0,3,3,1,6,6,99.5%,2021,15
23,Brandon McManus (DEN),1,2,50,54,0,0,0,0,1,1,1,1,6,6,49.4%,2021,15
24,Greg Joseph (MIN),1,1,100,37,0,0,1,0,0,2,2,1,5,5,5.5%,2021,15
25,Nick Folk (NE),1,1,100,25,0,1,0,0,0,2,2,1,5,5,66.2%,2021,15
26,Brian Johnson (WAS),1,1,100,22,0,1,0,0,0,2,2,1,5,5,0.1%,2021,15
27,Jason Myers (SEA),1,1,100,39,0,0,1,0,0,1,1,1,4,4,3.6%,2021,15
28,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,4,4,1,4,4,3.2%,2021,15
29,Cairo Santos (CHI),1,2,50,34,0,0,1,0,0,0,0,1,3,3,0.7%,2021,15
30,Chase McLaughlin (FA),0,1,0,0,0,0,0,0,0,2,2,1,2,2,0.2%,2021,15
35,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2021,15
54,Ryan Succop (TB),0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.1%,2021,15
66,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2021,15
