Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Nick Folk (NE),4,4,100,52,0,1,1,0,2,1,2,1,17,17,66.2%,2021,5
2,Greg Joseph (MIN),4,5,80,55,0,0,2,0,2,1,1,1,17,17,5.5%,2021,5
3,Mason Crosby (GB),4,7,57.1,49,0,1,0,3,0,1,2,1,16,16,23.3%,2021,5
4,Greg Zuerlein (NYJ),3,3,100,38,0,0,3,0,0,5,5,1,14,14,17.8%,2021,5
5,Zane Gonzalez (CAR),3,3,100,50,0,0,0,2,1,1,1,1,14,14,0.5%,2021,5
6,Austin Seibert (DET),3,3,100,52,0,0,1,1,1,0,0,1,12,12,0.1%,2021,5
7,Graham Gano (NYG),2,3,66.7,51,0,0,0,0,2,2,2,1,12,12,34.0%,2021,5
8,Chris Boswell (PIT),2,2,100,48,0,0,0,2,0,3,3,1,11,11,10.7%,2021,5
9,Dustin Hopkins (LAC),3,3,100,45,0,2,0,1,0,1,1,1,11,11,3.2%,2021,5
10,Younghoe Koo (ATL),2,2,100,52,0,0,1,0,1,3,3,1,11,11,42.3%,2021,5
11,Harrison Butker (KC),2,2,100,54,0,0,1,0,1,2,2,1,10,10,81.3%,2021,5
12,Chase McLaughlin (FA),2,2,100,35,0,0,2,0,0,4,4,1,10,10,0.2%,2021,5
13,Cairo Santos (CHI),2,2,100,46,0,0,0,2,0,2,2,1,10,10,0.7%,2021,5
14,Ryan Succop (TB),1,1,100,42,0,0,0,1,0,6,6,1,10,10,16.1%,2021,5
15,Matt Gay (LAR),2,2,100,47,0,0,1,1,0,2,3,1,9,9,78.3%,2021,5
16,Jake Elliott (PHI),2,2,100,58,0,0,1,0,1,1,1,1,9,9,14.1%,2021,5
17,Tyler Bass (BUF),1,1,100,30,0,0,1,0,0,5,5,1,8,8,83.0%,2021,5
18,Rodrigo Blankenship (IND),2,4,50,43,0,0,1,1,0,1,2,1,8,8,7.5%,2021,5
19,Brandon McManus (DEN),2,2,100,39,0,1,1,0,0,1,1,1,7,7,49.4%,2021,5
20,Matt Ammendola (FA),2,2,100,49,0,0,1,1,0,0,1,1,7,7,0.1%,2021,5
21,Randy Bullock (TEN),1,1,100,34,0,0,1,0,0,4,5,1,7,7,2.0%,2021,5
22,Matt Prater (ARI),1,2,50,21,0,1,0,0,0,2,2,1,5,5,53.5%,2021,5
23,Joey Slye (WAS),1,1,100,47,0,0,0,1,0,1,1,1,5,5,0.6%,2021,5
24,Jason Myers (SEA),1,2,50,32,0,0,1,0,0,2,2,1,5,5,3.6%,2021,5
25,Jason Sanders (MIA),1,1,100,23,0,1,0,0,0,2,2,1,5,5,9.0%,2021,5
26,Ka'imi Fairbairn (HOU),1,2,50,33,0,0,1,0,0,1,3,1,4,4,0.3%,2021,5
27,Daniel Carlson (LV),1,1,100,31,0,0,1,0,0,0,0,1,3,3,89.9%,2021,5
28,Tristan Vizcaino (FA),0,0,0,0,0,0,0,0,0,3,5,1,3,3,0.0%,2021,5
29,Justin Tucker (BAL),1,1,100,23,0,1,0,0,0,0,0,1,3,3,99.5%,2021,5
30,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,3,5,1,3,3,0.1%,2021,5
31,Evan McPherson (CIN),0,2,0,0,0,0,0,0,0,2,2,1,2,2,93.5%,2021,5
32,Matthew Wright (FA),0,1,0,0,0,0,0,0,0,1,2,1,1,1,1.3%,2021,5
35,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2021,5
45,Brian Johnson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,5
67,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2021,5
