Pos,Player,Score2022,Score2021,Score2020,Score2019,Score
TE,Travis Kelce (KC),17.663828496103925,14.530147630556112,21.45017755676364,15.101282429154777,17.130915882435485
TE,Mark Andrews (BAL),10.716038503252507,15.468788269082651,10.540519358573665,12.092528999236274,11.955498555041347
TE,George Kittle (SF),10.552238440660329,10.830920811164233,11.61116144462961,14.581509617729168,10.929264892536674
TE,Darren Waller (LV),8.472798767372128,10.658935145171471,14.649212276162373,11.551473340845202,9.790907941374643
TE,T.J. Hockenson (MIN),9.887078009694054,9.574071984624846,8.923673352578756,2.76528884902062,9.356396579681551
TE,Dallas Goedert (PHI),9.713222946309326,8.434465361009483,7.281298581715682,7.083989058433639,9.018879419131217
TE,Zach Ertz (ARI),9.725069744613815,7.627856499734726,4.051875208645076,12.690349953333206,8.781710990233139
TE,Dalton Schultz (DAL),7.450161739959245,9.656398312802965,5.968901340939423,0,7.8746458622576405
TE,Taysom Hill (NO),7.854578979064791,0,0,0,7.854578979064791
TE,Pat Freiermuth (PIT),8.091701174475165,6.591110293754682,0,0,7.650377396455271
TE,Dawson Knox (BUF),6.164102168905099,8.604057267849356,1.987419889339753,1.0539797921657663,6.100916596847662
TE,Evan Engram (JAC),6.663845911058317,2.9996448674109493,6.305938373854551,10.792881493581095,5.918456675552238
TE,Juwan Johnson (NO),5.825617920863122,0,0,0,5.825617920863122
TE,Tyler Higbee (LAR),5.276957441341139,6.9472933957430545,4.654742606967396,7.45627455076119,5.741285801975246
TE,Kyle Pitts (ATL),4.798072385590793,7.95520887137271,0,0,5.726586226059254
TE,Gerald Everett (LAC),6.9166025322034965,4.497541559630917,1.9439628534119486,2.8367777390378848,5.6105820815229155
TE,Greg Dulcich (DEN),5.269847630672806,0,0,0,5.269847630672806
TE,David Njoku (CLE),6.071795409563851,3.589227119886843,0,-0.9647583723268589,4.991609203796644
TE,Hunter Henry (NE),2.6624426243179853,7.922728995414883,7.963526777948084,9.780459649925922,4.863523483735617
TE,Noah Fant (SEA),3.5484144844064263,6.840287969421695,6.872799403337773,3.2945311251437728,4.691127179590246
TE,Logan Thomas (WAS),2.5418465175229703,7.445926384676922,8.17203226869586,0,4.424968490169681
TE,Tyler Conklin (NYJ),4.107216721844917,4.730222223735695,0,0,4.290442639950995
TE,Cole Kmet (CHI),5.232954292963072,3.2197354808114165,-1.2154298354622282,0,4.024261574762788
TE,Mike Gesicki (MIA),2.011645033662564,6.806355401921104,7.567359161336563,4.7429677663098655,3.902460175126964
TE,Hayden Hurst (CIN),4.411234363084335,1.2710007371076764,6.429212040770141,0,3.7975319455501917
TE,Robert Tonyan (GB),3.3785747816898053,1.910814853604166,8.041925199550349,0,3.483457943611189
TE,Irv Smith Jr. (MIN),3.500644868452247,0,4.218945120747726,0.6373687925352343,3.4054137778195694
TE,Daniel Bellinger (NYG),3.3439793241268196,0,0,0,3.3439793241268196
TE,Maxx Williams (ARI),0,3.9599930285758784,0,0,3.2471942834322203
TE,Jelani Woods (IND),3.0757223938619997,0,0,0,3.0757223938619997
TE,Foster Moreau (LV),3.317084663848455,1.7310085673286593,0,0,2.8506196838619826
TE,C.J. Uzomah (NYJ),0,4.151946816496649,0,-0.6757444510669068,2.744679959398919
TE,Austin Hooper (TEN),1.2224739342113686,2.2295952788973983,6.145389560024823,13.192491753298214,2.565046723918564
TE,James O'Shaughnessy (MIN),0,3.819334430703357,-0.967819674119102,5.63912765829026,2.337016447515806
TE,Dan Arnold (JAC),0,3.061626480533412,1.9143997140319182,0,2.241768310542027
TE,Will Dissly (SEA),1.6123417010594037,0,0,8.548351639308482,2.1457208653107576
TE,Isaiah Likely (BAL),2.028924626683722,0,0,0,2.028924626683722
TE,Jordan Akins (HOU),3.179093310253257,-1.4001818903976644,2.4106904313581943,1.4673207647578907,1.8718455949262516
TE,Cade Otton (TB),1.8682691772869997,0,0,0,1.8682691772869997
TE,Trey McBride (ARI),1.8356634440633228,0,0,0,1.8356634440633228
TE,Albert Okwuegbunam (DEN),1.901552468935231,1.0497742893313098,2.890956494135294,0,1.781633873735006
TE,Chigoziem Okonkwo (TEN),1.712918113420673,0,0,0,1.712918113420673
TE,Adam Trautman (NO),0,1.799373518893023,0,0,1.4754862854922788
TE,Colby Parkinson (SEA),0.9392054901227849,0,0,0,0.9392054901227849
TE,Ryan Griffin (CHI),0,0.47852868650103364,0,3.4161823892461287,0.7939531581738856
TE,Mo Alie-Cox (IND),0,0.512760829360056,1.4334374597424824,0,0.6361544769814584
TE,Kyle Rudolph (TB),0,0.02180748396356269,1.3914751154283846,3.016599004891248,0.6056301321954976
TE,Jonnu Smith (NE),-0.21003398355283542,-0.47635557343134505,6.686076080639927,2.6734390213327357,0.5571702756410919
TE,Kylen Granson (IND),0.3811972815071413,0,0,0,0.3811972815071413
TE,Anthony Firkser (ATL),0,0.20444610534672952,0.5822290039418826,0,0.25615051716979914
TE,Tyler Kroft (SF),0,0.12772088573109894,0,0,0.10473112629950113
TE,Durham Smythe (MIA),0,0.047025649686933235,0,0,0.03856103274328525
TE,Cameron Brate (TB),-0.5330408219115342,0.9500664498580917,0,1.2073488398671604,-0.024441995585214565
TE,Harrison Bryant (CLE),0.03737067929037963,0,-0.6485149288669895,0,-0.06064237411530842
TE,Geoff Swaim (TEN),0,-0.5005639052097369,0,-1.1785263060065336,-0.5031357946865016
TE,Brevin Jordan (HOU),-2.0052811449416024,2.854797424141706,0,0,-0.5759320377742013
TE,Tanner Hudson (CIN),-0.7296467868027051,0,0,0,-0.7296467868027051
