Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
66,Logan Paulsen (FA),9,9,91,10.1,19,0,1,0,0,0,0,15,24.1,1.6,0.0%,2018
253,Logan Paulsen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
4,Logan Thomas (WAS),72,110,670,9.3,30,0,6,3,5,0,0,16,176.6,11,63.2%,2020
44,Logan Thomas (WAS),18,25,196,10.9,35,0,3,0,0,0,1,5,53.6,10.7,63.2%,2021
50,Logan Thomas (WAS),16,28,173,10.8,17,0,1,0,0,0,0,16,39.3,2.5,63.2%,2019
71,Logan Thomas (WAS),12,17,77,6.4,24,1,0,0,0,0,0,12,20.3,1.7,63.2%,2018
83,Luke Farrell (JAC),7,11,56,8,21,0,0,0,0,0,0,9,12.6,1.4,0.0%,2021
47,Luke Stocker (FA),15,21,165,11,31,2,2,1,0,0,0,16,43.5,2.7,0.0%,2018
89,Luke Stocker (FA),8,14,53,6.6,18,0,0,0,0,0,0,15,13.3,0.9,0.0%,2019
80,Luke Stocker (FA),7,11,63,9,25,0,0,0,0,0,0,16,13.3,0.8,0.0%,2020
107,Luke Stocker (FA),2,2,12,6,7,0,0,0,0,0,0,6,3.2,0.5,0.0%,2021
70,Luke Willson (FA),13,19,87,6.7,13,0,0,0,0,0,0,14,21.7,1.6,0.0%,2018
83,Luke Willson (FA),8,10,79,9.9,17,0,0,0,0,0,0,9,15.9,1.8,0.0%,2019
108,Luke Willson (FA),1,3,12,12,12,0,0,0,0,0,0,8,2.2,0.3,0.0%,2020
53,Marcedes Lewis (GB),23,28,214,9.3,23,0,0,0,0,0,0,13,44.4,3.4,0.6%,2021
56,Marcedes Lewis (GB),10,17,107,10.7,36,0,3,0,0,0,0,15,38.7,2.6,0.6%,2020
51,Marcedes Lewis (GB),15,19,156,10.4,25,2,1,0,0,0,0,16,36.6,2.3,0.6%,2019
101,Marcedes Lewis (GB),3,4,39,13,30,1,0,0,0,0,0,16,6.9,0.4,0.6%,2018
114,Marcus Baugh (FA),1,1,2,2,2,0,0,0,0,0,0,8,1.2,0.2,0.0%,2020
1,Mark Andrews (BAL),107,153,"1,361",12.7,43,0,9,1,0,0,0,17,301.1,17.7,99.8%,2021
5,Mark Andrews (BAL),64,98,852,13.3,51,16,10,0,0,0,1,15,207.2,13.8,99.8%,2019
6,Mark Andrews (BAL),58,88,701,12.1,39,0,7,0,0,0,0,14,170.1,12.2,99.8%,2020
17,Mark Andrews (BAL),34,50,552,16.2,74,8,3,0,0,0,0,16,107.2,6.7,99.8%,2018
287,Mason Schreck (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2018
296,Mason Schreck (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
271,Mason Schreck (FA),0,1,0,0,0,0,0,0,0,0,0,14,0,0,0.0%,2020
113,Matt Flanagan (FA),1,2,14,14,14,0,0,0,0,0,0,3,2.4,0.8,0.0%,2018
38,Matt LaCosse (FA),24,37,250,10.4,44,1,1,0,0,0,0,15,55,3.7,0.0%,2018
58,Matt LaCosse (FA),13,19,131,10.1,24,3,1,0,0,0,0,12,32.1,2.7,0.0%,2019
92,Matt Lengel (FA),3,8,17,5.7,9,0,1,0,0,0,0,11,10.7,1,0.0%,2018
306,Matt Lengel (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
170,Matt Sokol (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
175,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
145,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2021
55,Maxx Williams (ARI),16,17,193,12.1,34,0,1,0,0,0,0,5,41.3,8.3,0.7%,2021
47,Maxx Williams (ARI),15,19,202,13.5,28,5,1,0,0,0,0,16,41.2,2.6,0.7%,2019
55,Maxx Williams (ARI),16,17,143,8.9,25,3,1,3,8,0,0,13,37.1,2.9,0.7%,2018
68,Maxx Williams (ARI),8,10,102,12.8,42,0,1,0,0,0,0,9,24.2,2.7,0.7%,2020
56,Michael Roberts (FA),9,20,100,11.1,29,1,3,0,0,0,0,8,37,4.6,0.0%,2018
9,Mike Gesicki (MIA),73,112,780,10.7,40,0,2,0,0,0,0,17,165,9.7,89.3%,2021
7,Mike Gesicki (MIA),53,85,703,13.3,70,0,6,0,0,0,0,15,159.3,10.6,89.3%,2020
12,Mike Gesicki (MIA),51,89,570,11.2,34,7,5,0,0,0,1,16,136,8.5,89.3%,2019
51,Mike Gesicki (MIA),22,32,202,9.2,27,1,0,0,0,0,1,16,40.2,2.5,89.3%,2018
215,Miller Forristall (CLE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
275,Mitchell Loewen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
290,Mitchell Loewen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
103,Mitchell Wilcox (CIN),3,5,16,5.3,8,0,0,0,0,0,0,4,4.6,1.2,0.1%,2021
29,Mo Alie-Cox (IND),31,39,394,12.7,45,0,2,0,0,0,1,15,80.4,5.4,1.8%,2020
26,Mo Alie-Cox (IND),24,45,316,13.2,37,0,4,0,0,0,0,17,79.6,4.7,1.8%,2021
61,Mo Alie-Cox (IND),7,14,133,19,34,4,2,0,0,0,0,9,32.3,3.6,1.8%,2018
79,Mo Alie-Cox (IND),8,11,93,11.6,21,1,0,0,0,0,0,16,17.3,1.1,1.8%,2019
52,MyCole Pruitt (FA),14,19,145,10.4,22,0,3,0,0,0,0,13,48.5,3.7,0.0%,2021
65,MyCole Pruitt (FA),9,11,102,11.3,27,1,1,0,0,0,0,15,25.2,1.7,0.0%,2018
74,MyCole Pruitt (FA),5,8,49,9.8,22,0,2,0,0,0,0,11,21.9,2,0.0%,2020
72,MyCole Pruitt (FA),6,8,90,15,42,2,1,0,0,0,0,16,21,1.3,0.0%,2019
168,Nate Becker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020
91,Neal Sterling (FA),6,8,47,7.8,12,0,0,0,0,0,0,5,10.7,2.1,0.0%,2018
