Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Wil Lutz (NO),4,4,100,37,0,0,4,0,0,2,2,1,14,14,6.7%,2022,6
2,Ryan Succop (TB),4,4,100,54,0,2,1,0,1,0,0,1,14,14,33.6%,2022,6
3,Jason Myers (SEA),4,4,100,39,0,1,3,0,0,1,1,1,13,13,54.2%,2022,6
4,Brandon McManus (DEN),3,3,100,51,0,1,0,1,1,1,1,1,13,13,34.8%,2022,6
5,Dustin Hopkins (LAC),4,4,100,39,0,0,4,0,0,1,1,1,13,13,2.6%,2022,6
6,Cade York (CLE),3,3,100,51,0,0,1,1,1,0,0,1,12,12,8.3%,2022,6
7,Harrison Butker (KC),2,3,66.7,62,0,0,0,1,1,2,2,1,11,11,89.1%,2022,6
8,Jake Elliott (PHI),2,2,100,51,0,0,1,0,1,2,2,1,10,10,27.6%,2022,6
9,Chris Boswell (PIT),2,2,100,55,0,1,0,0,1,2,2,1,10,10,16.2%,2022,6
10,Chase McLaughlin (IND),2,2,100,42,0,1,0,1,0,2,2,1,9,9,7.7%,2022,6
11,Greg Zuerlein (NYJ),2,3,66.7,32,0,1,1,0,0,3,3,1,9,9,13.3%,2022,6
12,Evan McPherson (CIN),1,1,100,52,0,0,0,0,1,3,3,1,8,8,85.1%,2022,6
13,Nick Folk (NE),1,2,50,19,1,0,0,0,0,5,5,1,8,8,71.6%,2022,6
14,Justin Tucker (BAL),2,3,66.7,34,0,1,1,0,0,2,2,1,8,8,98.9%,2022,6
15,Graham Gano (NYG),1,1,100,34,0,0,1,0,0,3,3,1,6,6,69.0%,2022,6
16,Joey Slye (WAS),2,3,66.7,38,0,1,1,0,0,0,0,1,6,6,1.9%,2022,6
17,Matt Gay (LAR),1,1,100,21,0,1,0,0,0,3,3,1,6,6,41.5%,2022,6
18,Tyler Bass (BUF),1,1,100,39,0,0,1,0,0,3,3,1,6,6,92.4%,2022,6
19,Eddy Pineiro (CAR),1,1,100,42,0,0,0,1,0,1,1,1,5,5,4.6%,2022,6
20,Jason Sanders (MIA),1,2,50,44,0,0,0,1,0,1,1,1,5,5,13.7%,2022,6
21,Brett Maher (DAL),1,2,50,30,0,0,1,0,0,2,2,1,5,5,79.4%,2022,6
22,Greg Joseph (MIN),1,1,100,34,0,0,1,0,0,1,2,1,4,4,28.6%,2022,6
23,Mason Crosby (GB),1,2,50,29,0,1,0,0,0,1,1,1,4,4,4.5%,2022,6
24,Younghoe Koo (ATL),0,0,0,0,0,0,0,0,0,4,4,1,4,4,42.7%,2022,6
25,Riley Patterson (JAC),0,0,0,0,0,0,0,0,0,3,3,1,3,3,6.0%,2022,6
26,Matt Ammendola (GB),1,1,100,23,0,1,0,0,0,0,1,1,3,3,0.1%,2022,6
27,Robbie Gould (SF),0,0,0,0,0,0,0,0,0,2,2,1,2,2,43.1%,2022,6
28,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,1,1,1,1,1,12.0%,2022,6
