Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Joey Slye (WAS),4,4,100,58,0,0,1,1,2,2,2,1,19,19,1.9%,2022,10
2,Eddy Pineiro (CAR),4,4,100,49,0,0,1,3,0,1,2,1,16,16,4.6%,2022,10
3,Tyler Bass (BUF),3,3,100,45,0,1,1,1,0,3,3,1,13,13,92.4%,2022,10
4,Cameron Dicker (LAC),3,3,100,47,0,1,0,2,0,1,1,1,12,12,38.2%,2022,10
5,Ka'imi Fairbairn (HOU),3,3,100,46,0,0,2,1,0,1,1,1,11,11,1.9%,2022,10
6,Tristan Vizcaino (NE),2,2,100,46,0,0,1,1,0,3,3,1,10,10,0.0%,2022,10
7,Robbie Gould (SF),3,3,100,26,0,3,0,0,0,1,2,1,10,10,43.1%,2022,10
8,Chase McLaughlin (IND),2,3,66.7,48,0,0,0,2,0,1,1,1,9,9,7.7%,2022,10
9,Greg Joseph (MIN),2,2,100,33,0,1,1,0,0,3,4,1,9,9,28.6%,2022,10
10,Jason Sanders (MIA),2,2,100,39,0,0,2,0,0,3,5,1,9,9,13.7%,2022,10
11,Matthew Wright (KC),2,4,50,33,0,0,2,0,0,2,2,1,8,8,3.0%,2022,10
12,Michael Badgley (DET),1,1,100,25,0,1,0,0,0,4,4,1,7,7,27.8%,2022,10
13,Mason Crosby (GB),1,2,50,28,0,1,0,0,0,4,4,1,7,7,4.5%,2022,10
14,Graham Gano (NYG),1,1,100,49,0,0,0,1,0,3,3,1,7,7,69.0%,2022,10
15,Jason Myers (SEA),1,1,100,55,0,0,0,0,1,1,1,1,6,6,54.2%,2022,10
16,Cairo Santos (CHI),1,1,100,33,0,0,1,0,0,3,4,1,6,6,12.0%,2022,10
17,Cade York (CLE),1,1,100,37,0,0,1,0,0,2,2,1,5,5,8.3%,2022,10
18,Randy Bullock (TEN),1,1,100,35,0,0,1,0,0,2,2,1,5,5,1.5%,2022,10
19,Riley Patterson (JAC),1,3,33.3,35,0,0,1,0,0,2,2,1,5,5,6.0%,2022,10
20,Matt Gay (LAR),1,1,100,36,0,0,1,0,0,2,2,1,5,5,41.5%,2022,10
21,Wil Lutz (NO),1,1,100,44,0,0,0,1,0,1,1,1,5,5,6.7%,2022,10
22,Brett Maher (DAL),0,0,0,0,0,0,0,0,0,4,4,1,4,4,79.4%,2022,10
23,Brandon McManus (DEN),1,1,100,39,0,0,1,0,0,1,1,1,4,4,34.8%,2022,10
24,Harrison Butker (KC),0,0,0,0,0,0,0,0,0,3,4,1,3,3,89.1%,2022,10
25,Jake Elliott (PHI),0,0,0,0,0,0,0,0,0,3,3,1,3,3,27.6%,2022,10
26,Younghoe Koo (ATL),1,1,100,33,0,0,1,0,0,0,2,1,3,3,42.7%,2022,10
27,Ryan Succop (TB),0,1,0,0,0,0,0,0,0,3,3,1,3,3,33.6%,2022,10
28,Daniel Carlson (LV),0,0,0,0,0,0,0,0,0,2,2,1,2,2,91.4%,2022,10
29,Taylor Bertolet (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2022,10
37,Ramiz Ahmed (GB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,10
