Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
7,Austin Seibert (FA),2,2,100,48,0,0,1,1,0,4,4,1,11,11,0.2%,2022,2
19,Austin Seibert (FA),1,3,33.3,40,0,0,0,1,0,3,3,1,7,7,0.2%,2022,3
23,Austin Seibert (FA),0,0,0,0,0,0,0,0,0,5,5,1,5,5,0.2%,2022,1
6,Brandon McManus (DEN),3,4,75,52,0,0,0,2,1,1,1,1,14,14,34.8%,2022,11
6,Brandon McManus (DEN),3,4,75,52,0,0,0,1,2,0,0,1,14,14,34.8%,2022,13
4,Brandon McManus (DEN),3,3,100,51,0,1,0,1,1,1,1,1,13,13,34.8%,2022,6
5,Brandon McManus (DEN),3,3,100,50,0,2,0,0,1,1,1,1,12,12,34.8%,2022,2
7,Brandon McManus (DEN),3,4,75,40,0,1,1,1,0,1,1,1,11,11,34.8%,2022,1
8,Brandon McManus (DEN),3,4,75,45,0,0,1,2,0,0,0,1,11,11,34.8%,2022,5
14,Brandon McManus (DEN),2,2,100,54,0,0,0,1,1,0,0,1,9,9,34.8%,2022,16
12,Brandon McManus (DEN),1,2,50,52,0,0,0,0,1,3,3,1,8,8,34.8%,2022,15
17,Brandon McManus (DEN),1,1,100,49,0,0,0,1,0,3,3,1,7,7,34.8%,2022,17
17,Brandon McManus (DEN),1,1,100,49,0,0,0,1,0,3,3,1,7,7,34.8%,2022,18
22,Brandon McManus (DEN),1,2,50,55,0,0,0,0,1,0,0,1,5,5,34.8%,2022,3
31,Brandon McManus (DEN),1,1,100,28,0,1,0,0,0,2,3,1,5,5,34.8%,2022,4
22,Brandon McManus (DEN),1,2,50,44,0,0,0,1,0,0,1,1,4,4,34.8%,2022,7
23,Brandon McManus (DEN),1,1,100,39,0,0,1,0,0,1,1,1,4,4,34.8%,2022,10
28,Brandon McManus (DEN),1,2,50,27,0,1,0,0,0,1,1,1,4,4,34.8%,2022,12
22,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,4,4,1,4,4,34.8%,2022,14
27,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,3,3,1,3,3,34.8%,2022,8
2,Brett Maher (DAL),4,4,100,60,0,1,0,0,3,4,4,1,22,22,79.4%,2022,11
2,Brett Maher (DAL),4,4,100,48,0,2,0,2,0,4,4,1,18,18,79.4%,2022,16
2,Brett Maher (DAL),4,4,100,53,0,2,0,1,1,1,2,1,16,16,79.4%,2022,4
4,Brett Maher (DAL),2,2,100,54,0,0,0,0,2,2,2,1,12,12,79.4%,2022,2
