Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
137,Kenny Stills (FA),11,19,144,13.1,24,0,1,0,0,0,0,10,31.4,3.1,0.0%,2020
159,Kenny Stills (FA),6,23,68,11.3,22,0,1,1,1,0,0,7,18.9,2.7,0.0%,2021
198,Keon Hatcher (FA),1,2,8,8,8,0,0,0,0,0,0,3,1.8,0.6,0.0%,2018
513,Keon Hatcher (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
162,Kevin White (NO),4,8,92,23,54,2,0,0,0,0,0,9,13.2,1.5,0.0%,2018
200,Kevin White (NO),1,5,38,38,38,0,0,0,0,0,0,4,4.8,1.2,0.0%,2021
449,Kevin White (NO),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
142,KhaDarel Hodge (ATL),13,27,157,12.1,42,0,0,0,0,0,0,12,30.7,2.6,0.2%,2021
142,KhaDarel Hodge (ATL),11,17,180,16.4,42,0,0,0,0,0,0,9,29,3.2,0.2%,2020
162,KhaDarel Hodge (ATL),4,10,76,19,41,1,0,0,0,0,0,16,11.6,0.7,0.2%,2019
185,KhaDarel Hodge (ATL),2,3,17,8.5,14,0,0,0,0,0,0,14,3.7,0.3,0.2%,2018
216,Kirk Merritt (NO),1,3,13,13,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,2021
217,Kirk Merritt (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
86,KJ Hamler (DEN),30,56,381,12.7,49,0,3,9,40,0,0,13,90.1,6.9,1.0%,2020
172,KJ Hamler (DEN),5,10,74,14.8,28,0,0,0,0,0,0,3,12.4,4.1,1.0%,2021
171,KJ Hill Jr. (FA),7,11,73,10.4,25,0,0,0,0,0,1,15,12.3,0.8,0.0%,2020
194,KJ Hill Jr. (FA),3,3,30,10,19,0,0,0,0,0,0,6,6,1,0.0%,2021
209,Krishawn Hogan (FA),1,1,4,4,4,0,0,0,0,0,0,8,1.4,0.2,0.0%,2019
156,Kristian Wilkerson (NE),4,8,42,10.5,20,0,2,0,0,0,0,1,20.2,20.2,0.0%,2021
265,Kristian Wilkerson (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
500,Lance Lenoir Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2018
501,Lance Lenoir Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
289,Landen Akers (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021
