Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
28,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,34.8%,2019,7
2,Brett Maher (DAL),3,3,100,63,0,2,0,0,1,4,4,1,15,15,79.4%,2019,7
4,Brett Maher (DAL),3,4,75,52,0,1,1,0,1,4,4,1,15,15,79.4%,2019,9
2,Brett Maher (DAL),3,4,75,62,0,0,1,0,2,1,1,1,14,14,79.4%,2019,6
9,Brett Maher (DAL),3,4,75,46,0,2,0,1,0,0,0,1,10,10,79.4%,2019,12
9,Brett Maher (DAL),2,2,100,34,0,0,2,0,0,3,3,1,9,9,79.4%,2019,11
14,Brett Maher (DAL),1,1,100,25,0,1,0,0,0,4,4,1,7,7,79.4%,2019,2
14,Brett Maher (DAL),1,2,50,28,0,1,0,0,0,4,4,1,7,7,79.4%,2019,3
21,Brett Maher (DAL),1,3,33.3,36,0,0,1,0,0,3,3,1,6,6,79.4%,2019,5
19,Brett Maher (DAL),1,2,50,23,0,1,0,0,0,3,3,1,6,6,79.4%,2019,10
20,Brett Maher (DAL),1,2,50,31,0,0,1,0,0,3,3,1,6,6,79.4%,2019,14
20,Brett Maher (DAL),0,0,0,0,0,0,0,0,0,5,5,1,5,5,79.4%,2019,1
25,Brett Maher (DAL),1,1,100,28,0,1,0,0,0,1,1,1,4,4,79.4%,2019,4
31,Brett Maher (DAL),0,2,0,0,0,0,0,0,0,1,1,1,1,1,79.4%,2019,13
6,Cairo Santos (CHI),2,2,100,53,0,0,1,0,1,5,5,1,13,13,12.0%,2019,1
15,Cairo Santos (CHI),1,1,100,45,0,0,0,1,0,3,3,1,7,7,12.0%,2019,4
18,Cairo Santos (CHI),1,2,50,49,0,0,0,1,0,2,2,1,6,6,12.0%,2019,2
32,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,1,1,1,1,1,12.0%,2019,3
28,Cairo Santos (CHI),0,4,0,0,0,0,0,0,0,1,1,1,1,1,12.0%,2019,5
44,Caleb Sturgis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
2,Chase McLaughlin (IND),3,3,100,48,0,2,0,1,0,4,4,1,14,14,7.7%,2019,12
5,Chase McLaughlin (IND),3,4,75,47,0,0,1,2,0,1,1,1,12,12,7.7%,2019,10
8,Chase McLaughlin (IND),2,3,66.7,50,1,0,0,0,1,3,3,1,11,11,7.7%,2019,14
9,Chase McLaughlin (IND),2,2,100,50,0,1,0,0,1,2,2,1,10,10,7.7%,2019,7
13,Chase McLaughlin (IND),2,2,100,50,0,1,0,0,1,2,2,1,10,10,7.7%,2019,17
13,Chase McLaughlin (IND),2,3,66.7,45,0,0,1,1,0,1,1,1,8,8,7.7%,2019,5
16,Chase McLaughlin (IND),1,1,100,35,0,0,1,0,0,5,5,1,8,8,7.7%,2019,16
10,Chase McLaughlin (IND),1,1,100,43,0,0,0,1,0,3,3,1,7,7,7.7%,2019,11
19,Chase McLaughlin (IND),1,2,50,38,0,0,1,0,0,2,2,1,5,5,7.7%,2019,6
23,Chase McLaughlin (IND),1,2,50,20,0,1,0,0,0,2,2,1,5,5,7.7%,2019,8
31,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,1,1,1,1,1,7.7%,2019,15
3,Chris Boswell (PIT),4,4,100,51,0,2,1,0,1,2,2,1,16,16,16.2%,2019,9
6,Chris Boswell (PIT),3,3,100,41,0,1,1,1,0,2,2,1,12,12,16.2%,2019,5
6,Chris Boswell (PIT),2,3,66.7,42,0,0,0,2,0,3,3,1,11,11,16.2%,2019,8
5,Chris Boswell (PIT),3,3,100,47,0,2,0,1,0,1,1,1,11,11,16.2%,2019,12
9,Chris Boswell (PIT),3,3,100,37,0,1,2,0,0,2,2,1,11,11,16.2%,2019,14
11,Chris Boswell (PIT),2,2,100,49,0,1,0,1,0,3,3,1,10,10,16.2%,2019,4
10,Chris Boswell (PIT),2,2,100,41,0,0,1,1,0,2,2,1,9,9,16.2%,2019,2
10,Chris Boswell (PIT),2,2,100,46,0,1,0,1,0,2,2,1,9,9,16.2%,2019,3
14,Chris Boswell (PIT),2,2,100,39,0,1,1,0,0,2,2,1,8,8,16.2%,2019,13
15,Chris Boswell (PIT),1,1,100,20,0,1,0,0,0,3,3,1,6,6,16.2%,2019,6
21,Chris Boswell (PIT),1,1,100,33,0,0,1,0,0,2,2,1,5,5,16.2%,2019,10
22,Chris Boswell (PIT),1,1,100,49,0,0,0,1,0,1,1,1,5,5,16.2%,2019,15
27,Chris Boswell (PIT),1,1,100,49,0,0,0,1,0,1,1,1,5,5,16.2%,2019,16
27,Chris Boswell (PIT),1,1,100,26,0,1,0,0,0,1,1,1,4,4,16.2%,2019,17
27,Chris Boswell (PIT),1,1,100,19,1,0,0,0,0,0,0,1,3,3,16.2%,2019,1
26,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,1,1,1,1,1,16.2%,2019,11
4,Cody Parkey (FA),2,2,100,51,0,0,0,1,1,3,3,1,12,12,0.0%,2019,8
16,Cody Parkey (FA),1,1,100,45,0,0,0,1,0,2,3,1,6,6,0.0%,2019,7
40,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
31,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,6
1,Dan Bailey (FA),4,4,100,48,0,0,2,2,0,2,2,1,16,16,0.0%,2019,5
1,Dan Bailey (FA),4,4,100,50,0,2,0,1,1,1,1,1,16,16,0.0%,2019,8
2,Dan Bailey (FA),4,4,100,44,0,2,1,1,0,3,4,1,16,16,0.0%,2019,15
7,Dan Bailey (FA),4,4,100,39,0,0,4,0,0,1,1,1,13,13,0.0%,2019,17
2,Dan Bailey (FA),2,2,100,50,0,1,0,0,1,4,4,1,12,12,0.0%,2019,3
13,Dan Bailey (FA),2,2,100,50,0,1,0,0,1,2,2,1,10,10,0.0%,2019,14
10,Dan Bailey (FA),1,1,100,39,0,0,1,0,0,5,5,1,8,8,0.0%,2019,6
14,Dan Bailey (FA),2,2,100,27,0,2,0,0,0,2,2,1,8,8,0.0%,2019,10
21,Dan Bailey (FA),1,1,100,47,0,0,0,1,0,3,4,1,7,7,0.0%,2019,13
17,Dan Bailey (FA),0,1,0,0,0,0,0,0,0,6,6,1,6,6,0.0%,2019,7
23,Dan Bailey (FA),1,1,100,29,0,1,0,0,0,2,3,1,5,5,0.0%,2019,9
26,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.0%,2019,1
22,Dan Bailey (FA),1,2,50,31,0,0,1,0,0,1,2,1,4,4,0.0%,2019,2
29,Dan Bailey (FA),1,1,100,23,0,1,0,0,0,1,1,1,4,4,0.0%,2019,16
21,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.0%,2019,11
31,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
7,Daniel Carlson (LV),3,4,75,34,0,1,2,0,0,1,1,1,10,10,91.4%,2019,15
10,Daniel Carlson (LV),2,3,66.7,40,0,1,0,1,0,2,3,1,9,9,91.4%,2019,10
14,Daniel Carlson (LV),3,4,75,33,0,2,1,0,0,0,0,1,9,9,91.4%,2019,17
14,Daniel Carlson (LV),1,1,100,26,0,1,0,0,0,4,4,1,7,7,91.4%,2019,4
16,Daniel Carlson (LV),1,1,100,41,0,0,0,1,0,3,3,1,7,7,91.4%,2019,5
14,Daniel Carlson (LV),1,1,100,45,0,0,0,1,0,3,3,1,7,7,91.4%,2019,7
17,Daniel Carlson (LV),1,1,100,44,0,0,0,1,0,3,3,1,7,7,91.4%,2019,8
15,Daniel Carlson (LV),1,2,50,32,0,0,1,0,0,4,4,1,7,7,91.4%,2019,9
20,Daniel Carlson (LV),1,1,100,48,0,0,0,1,0,3,3,1,7,7,91.4%,2019,16
17,Daniel Carlson (LV),1,1,100,29,0,1,0,0,0,3,3,1,6,6,91.4%,2019,1
14,Daniel Carlson (LV),1,1,100,20,0,1,0,0,0,2,2,1,5,5,91.4%,2019,11
25,Daniel Carlson (LV),1,1,100,29,0,1,0,0,0,1,1,1,4,4,91.4%,2019,2
24,Daniel Carlson (LV),1,2,50,48,0,0,0,1,0,0,0,1,4,4,91.4%,2019,12
29,Daniel Carlson (LV),1,2,50,34,0,0,1,0,0,0,1,1,3,3,91.4%,2019,13
31,Daniel Carlson (LV),0,0,0,0,0,0,0,0,0,3,3,1,3,3,91.4%,2019,14
31,Daniel Carlson (LV),0,1,0,0,0,0,0,0,0,2,2,1,2,2,91.4%,2019,3
1,Dustin Hopkins (LAC),4,4,100,42,0,1,2,1,0,1,1,1,14,14,2.6%,2019,12
6,Dustin Hopkins (LAC),3,4,75,42,0,1,1,1,0,2,2,1,12,12,2.6%,2019,13
4,Dustin Hopkins (LAC),2,2,100,53,0,0,0,1,1,3,3,1,12,12,2.6%,2019,15
11,Dustin Hopkins (LAC),2,2,100,48,0,0,0,2,0,3,3,1,11,11,2.6%,2019,1
10,Dustin Hopkins (LAC),3,3,100,42,0,1,1,1,0,1,1,1,11,11,2.6%,2019,17
9,Dustin Hopkins (LAC),3,3,100,43,0,1,1,1,0,0,0,1,10,10,2.6%,2019,8
11,Dustin Hopkins (LAC),3,3,100,39,0,1,2,0,0,0,0,1,9,9,2.6%,2019,9
21,Dustin Hopkins (LAC),1,2,50,21,0,1,0,0,0,2,2,1,5,5,2.6%,2019,6
26,Dustin Hopkins (LAC),1,1,100,52,0,0,0,0,1,0,1,1,5,5,2.6%,2019,14
22,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,5,5,1,5,5,2.6%,2019,16
18,Dustin Hopkins (LAC),1,2,50,44,0,0,0,1,0,0,0,1,4,4,2.6%,2019,11
28,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,3,3,1,3,3,2.6%,2019,2
26,Dustin Hopkins (LAC),1,2,50,35,0,0,1,0,0,0,0,1,3,3,2.6%,2019,3
27,Dustin Hopkins (LAC),1,1,100,21,0,1,0,0,0,0,0,1,3,3,2.6%,2019,4
29,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,1,1,1,1,1,2.6%,2019,5
30,Dustin Hopkins (LAC),0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6%,2019,7
2,Eddy Pineiro (CAR),3,3,100,53,0,0,0,1,2,1,1,1,15,15,4.6%,2019,2
6,Eddy Pineiro (CAR),4,4,100,34,0,2,2,0,0,1,1,1,13,13,4.6%,2019,17
10,Eddy Pineiro (CAR),3,3,100,38,0,1,2,0,0,1,1,1,10,10,4.6%,2019,4
11,Eddy Pineiro (CAR),3,5,60,25,1,2,0,0,0,1,1,1,10,10,4.6%,2019,8
16,Eddy Pineiro (CAR),1,2,50,38,0,0,1,0,0,4,4,1,7,7,4.6%,2019,3
16,Eddy Pineiro (CAR),2,2,100,26,0,2,0,0,0,1,2,1,7,7,4.6%,2019,12
19,Eddy Pineiro (CAR),1,1,100,36,0,0,1,0,0,4,4,1,7,7,4.6%,2019,14
15,Eddy Pineiro (CAR),2,2,100,30,0,1,1,0,0,1,1,1,7,7,4.6%,2019,15
19,Eddy Pineiro (CAR),1,1,100,46,0,0,0,1,0,2,2,1,6,6,4.6%,2019,7
23,Eddy Pineiro (CAR),1,1,100,30,0,0,1,0,0,3,3,1,6,6,4.6%,2019,13
32,Eddy Pineiro (CAR),1,1,100,46,0,0,0,1,0,0,0,1,4,4,4.6%,2019,16
28,Eddy Pineiro (CAR),1,1,100,38,0,0,1,0,0,0,0,1,3,3,4.6%,2019,1
26,Eddy Pineiro (CAR),0,0,0,0,0,0,0,0,0,3,3,1,3,3,4.6%,2019,5
27,Eddy Pineiro (CAR),0,0,0,0,0,0,0,0,0,2,2,1,2,2,4.6%,2019,9
24,Eddy Pineiro (CAR),0,0,0,0,0,0,0,0,0,2,3,1,2,2,4.6%,2019,10
