Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Justin Jefferson (MIN),124,179,"1,771",14.3,64,48,8,4,24,1,0,16,298.8,18.7,100.0%,2022
2,Tyreek Hill (MIA),117,165,"1,687",14.4,64,45,7,7,32,1,0,16,278.4,17.4,100.0%,2022
3,Davante Adams (LV),95,171,"1,443",15.2,60,46,14,3,-1,0,0,16,275.7,17.2,100.0%,2022
4,Stefon Diggs (BUF),103,146,"1,351",13.1,53,32,10,1,-3,0,0,16,246.3,15.4,100.0%,2022
5,A.J. Brown (PHI),84,135,"1,401",16.7,78,41,11,0,0,0,2,16,244.1,15.3,99.9%,2022
6,CeeDee Lamb (DAL),102,149,"1,307",12.8,39,30,8,10,47,0,0,16,234.4,14.7,99.9%,2022
7,Jaylen Waddle (MIA),70,112,"1,312",18.7,84,41,8,2,17,0,1,16,213.9,13.4,99.4%,2022
8,Amon-Ra St. Brown (DET),100,137,"1,112",11.1,49,15,6,9,95,0,0,15,206.7,13.8,99.3%,2022
9,Amari Cooper (CLE),76,129,"1,109",14.6,55,29,9,0,0,0,0,16,201.9,12.6,96.3%,2022
10,DeVonta Smith (PHI),88,128,"1,129",12.8,45,30,7,0,0,0,1,16,196.9,12.3,95.1%,2022
11,Mike Evans (TB),77,127,"1,124",14.6,63,34,6,0,0,0,0,15,186.9,12.5,98.6%,2022
12,Tee Higgins (CIN),74,103,"1,035",14,59,24,7,0,0,0,0,14,184.5,13.2,99.2%,2022
13,Tyler Lockett (SEA),80,110,979,12.2,40,21,8,0,0,0,2,15,181.9,12.1,91.8%,2022
14,Christian Kirk (JAC),78,125,"1,009",12.9,49,24,7,5,11,0,1,16,181,11.3,95.2%,2022
15,Brandon Aiyuk (SF),74,109,956,12.9,54,21,8,2,23,0,1,16,180.9,11.3,91.8%,2022
16,Ja'Marr Chase (CIN),79,121,960,12.2,60,20,8,5,8,0,2,12,180.3,15,100.0%,2022
17,DK Metcalf (SEA),87,133,"1,008",11.6,54,19,6,0,0,0,2,16,176.3,11,98.6%,2022
18,Terry McLaurin (WAS),74,114,"1,117",15.1,51,30,4,7,29,0,0,16,175.6,11,97.6%,2022
19,DJ Moore (CAR),62,114,878,14.2,62,27,7,10,53,0,0,16,166.1,10.4,94.0%,2022
20,Chris Godwin (TB),98,135,968,9.9,44,13,3,3,5,0,1,14,164.3,11.7,96.3%,2022
21,Cooper Kupp (LAR),75,98,812,10.8,75,18,6,9,52,1,1,9,163.9,18.2,77.5%,2022
22,Garrett Wilson (NYJ),74,130,"1,014",13.7,60,25,4,4,4,0,1,16,160.8,10.1,91.4%,2022
23,Michael Pittman Jr. (IND),96,136,895,9.3,28,7,3,2,30,0,1,15,156.5,10.4,96.4%,2022
24,Zay Jones (JAC),78,115,802,10.3,59,10,5,4,18,0,0,15,153,10.2,71.5%,2022
25,Chris Olave (NO),67,107,982,14.7,53,24,3,0,0,0,1,14,149.7,10.7,89.0%,2022
26,Jerry Jeudy (DEN),62,94,818,13.2,67,22,6,1,1,0,0,14,148.9,10.6,91.1%,2022
27,Curtis Samuel (WAS),63,91,658,10.4,49,13,4,37,191,1,1,16,144.4,9,58.3%,2022
28,Gabe Davis (BUF),45,83,797,17.7,98,20,7,0,0,0,1,14,142.2,10.2,93.5%,2022
29,JuJu Smith-Schuster (KC),76,99,898,11.8,53,17,3,0,0,0,2,15,141.8,9.5,94.1%,2022
30,Mike Williams (LAC),59,88,863,14.6,55,20,4,0,0,0,0,12,139.8,11.7,96.0%,2022
