Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
71,Darius Slayton (NYG),1,3,18,18,18,0,0,0,0,0,0,1,2.3,2.3,52.5%,2022,6
72,Kendrick Bourne (NE),1,1,17,17,17,0,0,0,0,0,0,1,2.2,2.2,1.6%,2022,6
73,DJ Moore (CAR),3,7,7,2.3,5,0,0,0,0,0,0,1,2.2,2.2,94.0%,2022,6
74,Michael Woods II (CLE),1,2,15,15,15,0,0,0,0,0,0,1,2,2,0.0%,2022,6
75,Khalil Shakir (BUF),1,2,14,14,14,0,0,0,0,0,0,1,1.9,1.9,0.3%,2022,6
76,Devin Duvernay (BAL),1,5,14,14,14,0,0,0,0,0,0,1,1.9,1.9,28.0%,2022,6
77,Keith Kirkwood (NO),1,1,14,14,14,0,0,0,0,0,0,1,1.9,1.9,0.0%,2022,6
78,Isaiah McKenzie (BUF),2,5,9,4.5,5,0,0,0,0,0,0,1,1.9,1.9,30.3%,2022,6
79,Amari Rodgers (HOU),1,1,14,14,14,0,0,0,0,0,0,1,1.9,1.9,0.4%,2022,6
80,David Bell (CLE),1,2,13,13,13,0,0,0,0,0,0,1,1.8,1.8,0.7%,2022,6
81,A.J. Green (ARI),2,4,7,3.5,5,0,0,0,0,0,0,1,1.7,1.7,1.7%,2022,6
82,Curtis Samuel (WAS),2,5,6,3,3,0,0,0,0,0,0,1,1.6,1.6,58.3%,2022,6
83,Noah Brown (DAL),1,3,10,10,10,0,0,0,0,0,0,1,1.5,1.5,2.4%,2022,6
84,Garrett Wilson (NYJ),1,5,8,8,8,0,0,0,0,0,0,1,1.3,1.3,91.4%,2022,6
85,Kendall Hinton (DEN),1,1,8,8,8,0,0,0,0,0,0,1,1.3,1.3,3.8%,2022,6
86,David Sills V (NYG),1,2,8,8,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2022,6
87,Randall Cobb (GB),1,1,8,8,8,0,0,0,0,0,0,1,1.3,1.3,4.9%,2022,6
88,Trent Sherfield (MIA),1,4,6,6,6,0,0,0,0,0,0,1,1.1,1.1,1.3%,2022,6
89,Cam Sims (WAS),1,2,6,6,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2022,6
90,Dax Milne (WAS),1,1,5,5,5,0,0,0,0,0,0,1,1,1,0.0%,2022,6
91,Tylan Wallace (BAL),1,1,4,4,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,6
92,Tutu Atwell (LAR),0,0,0,0,0,0,0,1,9,0,0,1,0.9,0.9,2.2%,2022,6
93,Michael Bandy (LAC),1,2,4,4,4,0,0,0,0,0,0,1,0.9,0.9,0.1%,2022,6
94,Velus Jones Jr. (CHI),1,1,10,10,10,0,0,1,8,0,1,1,0.3,0.3,0.5%,2022,6
95,Quez Watkins (PHI),1,1,0,0,0,0,0,1,-3,0,0,1,0.2,0.2,1.2%,2022,6
96,Equanimeous St. Brown (CHI),0,0,0,0,0,0,0,1,1,0,0,1,0.1,0.1,0.3%,2022,6
118,Tyrie Cleveland (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
128,Shi Smith (CAR),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
129,Anthony Schwartz (CLE),0,3,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
135,Elijah Moore (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.1%,2022,6
136,Dyami Brown (WAS),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
144,KhaDarel Hodge (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
147,Marquez Valdes-Scantling (KC),0,3,0,0,0,0,0,0,0,0,0,1,0,0,43.5%,2022,6
149,Keke Coutee (IND),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
156,Ray-Ray McCloud III (SF),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2022,6
160,Justin Watson (KC),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9%,2022,6
161,Jalen Reagor (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
