Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,David Johnson (FA),21,98,4.7,11,0,1,7,9,85,12.1,1,0,1,37.3,37.3,0.8%,2018,10
2,Christian McCaffrey (CAR),14,77,5.5,21,1,1,5,5,61,12.2,2,0,1,36.8,36.8,99.8%,2018,10
3,Ezekiel Elliott (DAL),19,151,7.9,35,2,1,6,7,36,6,1,0,1,36.7,36.7,96.8%,2018,10
4,Nick Chubb (CLE),20,176,8.8,92,2,1,3,3,33,11,1,0,1,35.9,35.9,99.4%,2018,10
5,Aaron Jones (GB),15,145,9.7,67,1,2,3,5,27,9,0,0,1,32.2,32.2,99.5%,2018,10
6,Matt Breida (NYG),17,101,5.9,23,2,1,3,4,31,10.3,1,0,1,28.2,28.2,1.2%,2018,10
7,Leonard Fournette (TB),24,53,2.2,11,0,1,5,5,56,11.2,1,0,1,27.9,27.9,99.7%,2018,10
8,Melvin Gordon III (DEN),18,93,5.2,15,0,0,5,6,72,14.4,1,0,1,27.5,27.5,85.3%,2018,10
9,Alvin Kamara (NO),12,56,4.7,14,0,2,4,5,46,11.5,0,0,1,26.2,26.2,99.8%,2018,10
10,Mark Ingram II (NO),13,104,8,33,1,0,3,3,58,19.3,1,0,1,25.2,25.2,5.6%,2018,10
11,Todd Gurley II (FA),16,120,7.5,17,0,1,3,4,40,13.3,0,0,1,25,25,0.2%,2018,10
12,Kerryon Johnson (FA),14,51,3.6,10,0,1,6,6,38,6.3,1,1,1,24.9,24.9,0.1%,2018,10
13,LeSean McCoy (FA),26,113,4.3,28,2,2,1,1,5,5,0,0,1,24.8,24.8,2.0%,2018,10
14,Mike Davis (BAL),11,58,5.3,12,0,0,4,6,22,5.5,1,0,1,18,18,1.9%,2018,10
15,Derrick Henry (TEN),11,58,5.3,14,0,2,0,0,0,0,0,0,1,17.8,17.8,99.8%,2018,10
16,Rashaad Penny (SEA),12,108,9,38,2,1,0,0,0,0,0,0,1,16.8,16.8,88.3%,2018,10
17,Tarik Cohen (FA),7,15,2.1,5,0,1,6,7,29,4.8,0,0,1,16.4,16.4,2.2%,2018,10
18,Jacquizz Rodgers (FA),1,0,0,0,0,0,8,8,102,12.8,0,1,1,16.2,16.2,0.0%,2018,10
19,Duke Johnson Jr. (BUF),3,15,5,9,0,0,4,4,31,7.8,1,0,1,14.6,14.6,4.4%,2018,10
20,James Conner (ARI),13,65,5,15,0,1,1,1,8,8,0,0,1,14.3,14.3,98.7%,2018,10
21,Saquon Barkley (NYG),20,67,3.4,18,0,0,4,5,33,8.3,0,0,1,14,14,98.7%,2018,10
22,Frank Gore (FA),13,90,6.9,39,1,0,2,3,12,6,0,0,1,12.2,12.2,12.2%,2018,10
23,Doug Martin (FA),15,61,4.1,16,0,0,3,3,31,10.3,0,0,1,12.2,12.2,0.0%,2018,10
24,Theo Riddick (FA),0,0,0,0,0,0,6,7,60,10,0,0,1,12,12,0.0%,2018,10
25,Jaylen Samuels (ARI),5,7,1.4,5,0,0,3,4,22,7.3,1,0,1,11.9,11.9,0.1%,2018,10
26,Isaiah Crowell (FA),7,19,2.7,18,0,1,2,2,18,9,0,0,1,11.7,11.7,0.1%,2018,10
27,Kareem Hunt (CLE),16,71,4.4,18,0,0,2,2,25,12.5,0,0,1,11.6,11.6,91.2%,2018,10
28,T.J. Yeldon (FA),3,12,4,9,0,0,5,6,51,10.2,0,0,1,11.3,11.3,0.0%,2018,10
29,Jalen Richard (FA),3,7,2.3,6,0,0,5,6,52,10.4,0,0,1,10.9,10.9,1.0%,2018,10
30,Joe Mixon (CIN),11,61,5.5,14,0,0,2,2,24,12,0,0,1,10.5,10.5,99.8%,2018,10
31,Tevin Coleman (NYJ),11,44,4,18,0,0,3,5,19,6.3,0,0,1,9.3,9.3,1.0%,2018,10
32,Adrian Peterson (FA),19,68,3.6,18,0,0,2,2,1,0.5,0,0,1,8.9,8.9,2.1%,2018,10
33,Dion Lewis (FA),20,57,2.9,12,0,0,2,2,11,5.5,0,0,1,8.8,8.8,2.0%,2018,10
34,Elijah McGuire (FA),6,30,5,13,0,0,3,6,27,9,0,0,1,8.7,8.7,0.0%,2018,10
35,Spencer Ware (FA),2,6,3,3,0,1,1,1,7,7,0,0,1,8.3,8.3,0.0%,2018,10
36,Marlon Mack (HOU),12,29,2.4,7,0,0,2,2,9,4.5,0,0,1,7.8,7.8,29.5%,2018,10
37,James White (NE),1,-5,-5,0,0,0,5,8,31,6.2,0,0,1,7.6,7.6,5.2%,2018,10
