Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
64,Corey Davis (NYJ),2,4,28,14,23,1,0,0,0,0,0,1,4.8,4.8,55.8%,2019,5
87,Corey Davis (NYJ),1,2,23,23,23,1,0,0,0,0,0,1,3.3,3.3,55.8%,2019,13
86,Corey Davis (NYJ),2,6,9,4.5,8,0,0,0,0,0,0,1,2.9,2.9,55.8%,2019,8
440,Corey Davis (NYJ),0,3,0,0,0,0,0,0,0,0,0,1,0,0,55.8%,2019,1
7,Courtland Sutton (DEN),6,9,62,10.3,27,1,2,0,0,0,0,1,24.2,24.2,92.4%,2019,4
6,Courtland Sutton (DEN),4,5,74,18.5,33,2,2,0,0,0,0,1,23.4,23.4,92.4%,2019,13
14,Courtland Sutton (DEN),4,7,92,23,70,1,1,0,0,0,0,1,19.2,19.2,92.4%,2019,5
22,Courtland Sutton (DEN),7,8,120,17.1,30,3,0,0,0,0,0,1,19,19,92.4%,2019,1
13,Courtland Sutton (DEN),5,9,113,22.6,48,2,0,2,10,0,0,1,18.8,18.8,92.4%,2019,11
15,Courtland Sutton (DEN),5,8,56,11.2,21,1,1,1,7,0,0,1,17.3,17.3,92.4%,2019,9
19,Courtland Sutton (DEN),6,8,87,14.5,41,1,0,0,0,0,0,1,14.7,14.7,92.4%,2019,7
30,Courtland Sutton (DEN),5,7,87,17.4,52,1,0,0,0,0,0,1,13.7,13.7,92.4%,2019,3
38,Courtland Sutton (DEN),4,10,79,19.8,33,2,0,0,0,0,0,1,11.9,11.9,92.4%,2019,15
27,Courtland Sutton (DEN),4,8,76,19,41,1,0,0,0,0,0,1,11.6,11.6,92.4%,2019,6
42,Courtland Sutton (DEN),3,5,72,24,33,2,0,0,0,0,0,1,10.2,10.2,92.4%,2019,8
44,Courtland Sutton (DEN),4,8,52,13,19,0,0,0,0,0,0,1,9.2,9.2,92.4%,2019,17
51,Courtland Sutton (DEN),5,10,41,8.2,15,0,0,0,0,0,0,1,9.1,9.1,92.4%,2019,16
50,Courtland Sutton (DEN),5,7,34,6.8,11,0,0,0,0,0,0,1,8.4,8.4,92.4%,2019,14
61,Courtland Sutton (DEN),4,7,40,10,16,0,0,0,0,0,0,1,8,8,92.4%,2019,2
76,Courtland Sutton (DEN),1,8,27,27,27,1,0,0,0,0,0,1,3.7,3.7,92.4%,2019,12
5,Curtis Samuel (WAS),4,6,70,17.5,30,2,1,1,8,1,0,1,23.8,23.8,6.5%,2019,6
23,Curtis Samuel (WAS),4,7,65,16.3,33,1,1,0,0,0,0,1,16.5,16.5,6.5%,2019,13
19,Curtis Samuel (WAS),3,6,64,21.3,32,2,1,1,10,0,0,1,16.4,16.4,6.5%,2019,9
24,Curtis Samuel (WAS),5,7,31,6.2,12,0,1,4,23,0,0,1,16.4,16.4,6.5%,2019,15
23,Curtis Samuel (WAS),5,7,53,10.6,15,0,1,0,0,0,0,1,16.3,16.3,6.5%,2019,3
31,Curtis Samuel (WAS),5,13,91,18.2,44,2,0,1,2,0,0,1,14.3,14.3,6.5%,2019,2
24,Curtis Samuel (WAS),4,8,35,8.8,15,0,1,0,0,0,0,1,13.5,13.5,6.5%,2019,10
52,Curtis Samuel (WAS),4,11,46,11.5,20,1,0,0,0,0,0,1,8.6,8.6,6.5%,2019,8
51,Curtis Samuel (WAS),3,6,19,6.3,7,0,0,2,25,0,0,1,7.4,7.4,6.5%,2019,5
57,Curtis Samuel (WAS),4,6,25,6.3,14,0,0,0,0,0,0,1,6.5,6.5,6.5%,2019,11
58,Curtis Samuel (WAS),3,7,32,10.7,12,0,0,1,1,0,0,1,6.3,6.3,6.5%,2019,4
70,Curtis Samuel (WAS),3,4,32,10.7,16,0,0,0,0,0,0,1,6.2,6.2,6.5%,2019,1
66,Curtis Samuel (WAS),2,4,25,12.5,13,0,0,3,17,0,0,1,6.2,6.2,6.5%,2019,14
55,Curtis Samuel (WAS),1,4,9,9,9,0,0,4,40,0,0,1,5.9,5.9,6.5%,2019,12
71,Curtis Samuel (WAS),2,5,17,8.5,12,0,0,2,4,0,0,1,4.1,4.1,6.5%,2019,16
