Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Michael Thomas (NO),149,185,"1,725",11.6,49,17,9,1,-9,0,0,16,374.6,23.4,93.7%,2019
2,Chris Godwin (TB),86,121,"1,333",15.5,71,25,9,1,8,0,0,14,276.1,19.7,94.4%,2019
3,Julio Jones (FA),99,157,"1,394",14.1,54,21,6,2,-3,0,0,15,274.1,18.3,14.2%,2019
4,Cooper Kupp (LAR),94,134,"1,161",12.4,66,21,10,2,4,0,0,16,270.5,16.9,99.9%,2019
5,DeAndre Hopkins (ARI),104,150,"1,165",11.2,43,16,7,2,18,0,0,15,269.5,18,96.4%,2019
6,Keenan Allen (LAC),104,149,"1,199",11.5,45,15,6,3,16,0,0,16,261.5,16.3,99.4%,2019
7,Julian Edelman (FA),100,153,"1,117",11.2,44,13,6,8,27,0,1,16,256.3,16,13.1%,2019
8,Allen Robinson II (LAR),98,154,"1,147",11.7,49,15,7,1,2,0,0,16,254.9,15.9,90.6%,2019
9,Kenny Golladay (NYG),65,116,"1,190",18.3,75,22,11,0,0,0,1,16,248,15.5,58.2%,2019
10,Amari Cooper (CLE),79,119,"1,189",15.1,53,17,8,1,6,0,0,16,246.5,15.4,95.6%,2019
11,DeVante Parker (NE),72,128,"1,202",16.7,51,21,9,0,0,0,0,16,246.2,15.4,55.0%,2019
12,Jarvis Landry (FA),83,138,"1,174",14.1,65,20,6,1,10,0,0,16,237.4,14.8,66.0%,2019
13,Tyler Lockett (SEA),82,110,"1,057",12.9,44,15,8,4,-5,0,0,16,235.2,14.7,92.2%,2019
14,Robert Woods (TEN),90,139,"1,134",12.6,48,14,2,17,115,1,0,15,232.9,15.5,86.5%,2019
15,Mike Evans (TB),67,118,"1,157",17.3,67,17,8,0,0,0,0,13,232.7,17.9,99.1%,2019
16,DJ Moore (CAR),87,135,"1,175",13.5,52,13,4,6,40,0,1,15,230.5,15.4,97.6%,2019
17,D.J. Chark Jr. (DET),73,118,"1,008",13.8,69,17,8,2,20,0,0,15,225.8,15.1,64.9%,2019
