Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
102,Eric Saubert (DEN),2,3,21,10.5,11,0,0,0,0,0,0,2,4.1,2.1,0.0%,2019
103,Codey McElroy (TB),1,1,30,30,30,1,0,0,0,0,0,1,4,4,0.1%,2019
104,Isaac Nauta (FA),2,3,13,6.5,10,0,0,0,0,0,0,6,3.3,0.6,0.0%,2019
105,Scott Simonson (FA),2,2,11,5.5,10,0,0,0,0,0,0,6,3.1,0.5,0.0%,2019
106,Levine Toilolo (FA),2,2,10,5,8,0,0,0,0,0,0,13,3,0.2,0.0%,2019
107,Sean Culkin (FA),1,2,12,12,12,0,0,0,0,0,0,4,2.2,0.6,0.0%,2019
108,Antony Auclair (HOU),1,3,11,11,11,0,0,0,0,0,0,8,2.1,0.3,0.1%,2019
109,Chris Manhertz (JAC),1,1,11,11,11,0,0,0,0,0,0,15,2.1,0.1,0.1%,2019
110,Ben Koyack (FA),1,3,9,9,9,0,0,0,0,0,0,12,1.9,0.2,0.0%,2019
111,Jordan Thomas (DET),1,3,8,8,8,0,0,0,0,0,0,6,1.8,0.3,0.0%,2019
112,Chris Herndon IV (FA),1,2,7,7,7,0,0,0,0,0,0,2,1.7,0.9,0.0%,2019
113,Dalton Schultz (DAL),1,2,6,6,6,0,0,0,0,0,0,16,1.6,0.1,96.2%,2019
114,Charles Jones (FA),1,1,5,5,5,0,0,0,0,0,0,4,1.5,0.4,0.0%,2019
115,Tyrone Swoopes (FA),1,1,5,5,5,0,0,0,0,0,0,6,1.5,0.3,0.0%,2019
116,Darrell Daniels (FA),1,3,4,4,4,0,0,0,0,0,0,11,1.4,0.1,0.0%,2019
117,Zach Gentry (PIT),1,1,4,4,4,0,0,0,0,0,0,4,1.4,0.4,0.1%,2019
118,Xavier Grimble (FA),1,3,3,3,3,0,0,0,0,0,0,3,1.3,0.4,0.0%,2019
119,Eric Tomlinson (DEN),1,1,1,1,1,0,0,0,0,0,0,8,1.1,0.1,0.1%,2019
139,Kendall Blanton (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019
140,Garrett Dickerson (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2019
141,J.J. Arcega-Whiteside (PHI),10,22,169,16.9,30,4,1,0,0,0,0,16,0,0,0.1%,2019
144,Brandon Dillon (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
147,Jace Sternberger (PIT),0,1,0,0,0,0,0,0,0,0,0,6,0,0,0.1%,2019
149,Carson Meier (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
152,James Looney (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
153,Jordan Franks (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
154,Donnie Ernsberger (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
175,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
253,Logan Paulsen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
254,Rob Gronkowski (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,88.1%,2019
255,Jordan Reed (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0%,2019
256,Dion Sims (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
257,Kelvin Benjamin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
258,Jordan Matthews (SF),4,12,33,8.3,10,0,0,0,0,0,0,3,0,0,0.0%,2019
260,Garrett Celek (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2019
265,Antonio Gates (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019
267,Clark Harris (CIN),0,0,0,0,0,0,0,0,0,0,0,16,0,0,1.0%,2019
268,Ed Dickson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
269,Jermaine Gresham (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
273,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
274,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
275,Cole Wick (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
276,Alan Cross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
278,Bronson Kaufusi (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
279,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.2%,2019
280,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
281,Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
282,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
283,Kevin McDermott (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
284,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
285,Jeff Driskel (HOU),1,1,6,6,6,0,0,22,151,1,0,4,0,0,0.0%,2019
286,David Morgan II (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
287,Stephen Anderson (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
288,Jerell Adams (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
289,David Grinnage (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
290,Mitchell Loewen (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
291,Taysom Hill (NO),19,22,234,12.3,45,5,6,27,156,1,0,16,0,0,2.7%,2019
294,Jason Vander Laan (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
295,Jake Butt (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
296,Mason Schreck (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
297,Jason Croom (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
298,Evan Baylis (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2019
299,Richard Rodgers (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1%,2019
300,Erik Swoope (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
301,Khari Lee (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
302,Brian Parker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
303,Neal Sterling (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
304,Jerome Cunningham (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
305,Kyle Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.0%,2019
306,Matt Lengel (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
