Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
38,Cooper Kupp (LAR),8,9,73,9.1,15,0,0,0,0,0,0,1,11.3,11.3,77.5%,2020,13
30,Cooper Kupp (LAR),8,9,66,8.3,12,0,0,0,0,0,0,1,10.6,10.6,77.5%,2020,16
34,Cooper Kupp (LAR),5,6,81,16.2,24,2,0,2,19,0,1,1,10.5,10.5,77.5%,2020,2
39,Cooper Kupp (LAR),5,8,66,13.2,49,3,0,0,0,0,0,1,9.1,9.1,77.5%,2020,5
45,Cooper Kupp (LAR),6,6,43,7.2,13,0,0,1,16,0,0,1,8.9,8.9,77.5%,2020,7
37,Cooper Kupp (LAR),5,7,50,10,31,2,0,0,0,0,0,1,7.5,7.5,77.5%,2020,10
61,Cooper Kupp (LAR),5,5,39,7.8,16,0,0,0,0,0,0,1,6.4,6.4,77.5%,2020,15
61,Cooper Kupp (LAR),4,5,40,10,15,0,0,0,0,0,0,1,6,6,77.5%,2020,1
60,Cooper Kupp (LAR),2,5,41,20.5,33,2,0,0,0,0,0,1,5.1,5.1,77.5%,2020,12
73,Cooper Kupp (LAR),3,9,11,3.7,7,0,0,0,0,0,0,1,2.6,2.6,77.5%,2020,6
1,Corey Davis (NYJ),11,12,182,16.5,43,4,1,0,0,0,0,1,29.7,29.7,16.1%,2020,13
5,Corey Davis (NYJ),8,10,128,16,27,3,1,0,0,0,0,1,22.8,22.8,16.1%,2020,8
6,Corey Davis (NYJ),4,6,110,27.5,75,4,1,0,0,0,0,1,19,19,16.1%,2020,15
23,Corey Davis (NYJ),5,7,113,22.6,50,5,0,0,0,0,0,1,13.8,13.8,16.1%,2020,11
20,Corey Davis (NYJ),7,8,101,14.4,23,2,0,0,0,0,0,1,13.6,13.6,16.1%,2020,1
31,Corey Davis (NYJ),6,10,35,5.8,7,0,1,0,0,0,0,1,12.5,12.5,16.1%,2020,7
28,Corey Davis (NYJ),3,5,36,12,17,0,1,0,0,0,0,1,11.1,11.1,16.1%,2020,2
42,Corey Davis (NYJ),5,6,69,13.8,38,2,0,0,0,0,0,1,9.4,9.4,16.1%,2020,3
30,Corey Davis (NYJ),5,6,67,13.4,20,1,0,0,0,0,0,1,9.2,9.2,16.1%,2020,10
36,Corey Davis (NYJ),3,3,70,23.3,37,3,0,0,0,0,0,1,8.5,8.5,16.1%,2020,12
58,Corey Davis (NYJ),5,11,39,7.8,19,0,0,0,0,0,0,1,6.4,6.4,16.1%,2020,17
89,Corey Davis (NYJ),3,3,34,11.3,19,0,0,0,0,0,1,1,2.9,2.9,16.1%,2020,14
136,Corey Davis (NYJ),0,3,0,0,0,0,0,0,0,0,0,1,0,0,16.1%,2020,9
154,Corey Davis (NYJ),0,2,0,0,0,0,0,0,0,0,0,1,0,0,16.1%,2020,16
50,Courtland Sutton (DEN),3,6,66,22,45,4,0,0,0,0,0,1,8.1,8.1,78.2%,2020,2
7,Curtis Samuel (WAS),9,9,105,11.7,28,2,1,3,13,0,0,1,22.3,22.3,58.3%,2020,9
6,Curtis Samuel (WAS),4,5,31,7.8,29,1,1,3,23,1,0,1,19.4,19.4,58.3%,2020,8
12,Curtis Samuel (WAS),5,5,106,21.2,44,4,0,7,52,0,0,1,18.3,18.3,58.3%,2020,16
10,Curtis Samuel (WAS),8,10,70,8.8,17,0,1,1,4,0,0,1,17.4,17.4,58.3%,2020,11
19,Curtis Samuel (WAS),7,11,118,16.9,33,4,0,3,3,0,0,1,15.6,15.6,58.3%,2020,17
22,Curtis Samuel (WAS),6,6,48,8,22,1,0,1,5,1,0,1,14.3,14.3,58.3%,2020,7
23,Curtis Samuel (WAS),7,9,68,9.7,19,0,0,2,22,0,0,1,12.5,12.5,58.3%,2020,14
32,Curtis Samuel (WAS),5,5,72,14.4,35,2,0,1,5,0,0,1,10.2,10.2,58.3%,2020,12
41,Curtis Samuel (WAS),5,5,36,7.2,17,0,0,4,28,0,0,1,8.9,8.9,58.3%,2020,5
51,Curtis Samuel (WAS),4,4,45,11.3,24,1,0,4,7,0,0,1,7.2,7.2,58.3%,2020,3
52,Curtis Samuel (WAS),5,8,38,7.6,19,0,0,1,5,0,0,1,6.8,6.8,58.3%,2020,1
58,Curtis Samuel (WAS),4,9,42,10.5,16,0,0,2,6,0,0,1,6.8,6.8,58.3%,2020,15
56,Curtis Samuel (WAS),3,4,51,17,24,1,0,2,-3,0,0,1,6.3,6.3,58.3%,2020,4
79,Curtis Samuel (WAS),2,2,13,6.5,10,0,0,4,26,0,0,1,4.9,4.9,58.3%,2020,2
73,Curtis Samuel (WAS),3,5,8,2.7,6,0,0,3,4,0,0,1,2.7,2.7,58.3%,2020,10
154,Cyril Grayson Jr. (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,2
129,Cyril Grayson Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,5
141,Cyril Grayson Jr. (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,6
17,DaeSean Hamilton (FA),4,5,82,20.5,40,3,1,0,0,0,0,1,16.2,16.2,0.0%,2020,8
32,DaeSean Hamilton (FA),5,9,77,15.4,25,1,0,0,0,0,0,1,10.2,10.2,0.0%,2020,16
29,DaeSean Hamilton (FA),4,6,33,8.3,13,0,1,0,0,0,1,1,9.3,9.3,0.0%,2020,10
73,DaeSean Hamilton (FA),2,3,26,13,13,0,0,0,0,0,0,1,3.6,3.6,0.0%,2020,7
83,DaeSean Hamilton (FA),2,6,18,9,11,0,0,0,0,0,0,1,2.8,2.8,0.0%,2020,17
95,DaeSean Hamilton (FA),1,3,18,18,18,0,0,0,0,0,0,1,2.3,2.3,0.0%,2020,1
86,DaeSean Hamilton (FA),2,2,12,6,9,0,0,0,0,0,0,1,2.2,2.2,0.0%,2020,9
102,DaeSean Hamilton (FA),1,1,13,13,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2020,14
100,DaeSean Hamilton (FA),1,3,9,9,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2020,4
115,DaeSean Hamilton (FA),1,3,5,5,5,0,0,0,0,0,0,1,1,1,0.0%,2020,2
131,DaeSean Hamilton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,3
114,DaeSean Hamilton (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,6
113,DaeSean Hamilton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,11
121,DaeSean Hamilton (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,12
120,DaeSean Hamilton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,13
126,DaeSean Hamilton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,15
4,Damiere Byrd (ATL),6,7,132,22,42,5,1,1,11,0,0,1,23.3,23.3,0.1%,2020,11
40,Damiere Byrd (ATL),5,10,80,16,30,3,0,0,0,0,0,1,10.5,10.5,0.1%,2020,4
38,Damiere Byrd (ATL),6,9,72,12,20,1,0,0,0,0,0,1,10.2,10.2,0.1%,2020,2
43,Damiere Byrd (ATL),5,9,65,13,31,2,0,0,0,0,0,1,9,9,0.1%,2020,9
53,Damiere Byrd (ATL),5,8,48,9.6,25,1,0,0,0,0,0,1,7.3,7.3,0.1%,2020,14
57,Damiere Byrd (ATL),3,4,39,13,22,1,0,0,0,0,0,1,5.4,5.4,0.1%,2020,8
54,Damiere Byrd (ATL),3,4,38,12.7,19,0,0,0,0,0,0,1,5.3,5.3,0.1%,2020,6
