Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Calvin Ridley (JAC),10,14,163,16.3,33,4,1,0,0,0,0,1,27.3,27.3,2.4%,2020,15
2,DeAndre Hopkins (ARI),9,11,169,18.8,45,7,1,1,1,0,1,1,25.5,25.5,93.7%,2020,15
3,Zach Pascal (PHI),5,6,79,15.8,26,2,2,0,0,0,0,1,22.4,22.4,0.1%,2020,15
4,Marvin Jones Jr. (JAC),10,12,112,11.2,39,3,1,0,0,0,0,1,22.2,22.2,12.8%,2020,15
5,Stefon Diggs (BUF),11,13,147,13.4,55,4,0,0,0,0,0,1,20.2,20.2,100.0%,2020,15
6,Corey Davis (NYJ),4,6,110,27.5,75,4,1,0,0,0,0,1,19,19,16.1%,2020,15
7,Robert Woods (TEN),6,7,56,9.3,16,0,1,1,40,0,0,1,18.6,18.6,41.8%,2020,15
8,Brandon Aiyuk (SF),9,13,73,8.1,26,1,1,0,0,0,0,1,17.8,17.8,91.8%,2020,15
9,Antonio Brown (FA),5,7,93,18.6,46,4,1,0,0,0,0,1,17.8,17.8,0.4%,2020,15
10,CeeDee Lamb (DAL),5,7,85,17,45,4,0,0,0,0,0,1,17,17,99.9%,2020,15
11,Kendrick Bourne (NE),4,4,86,21.5,49,3,1,0,0,0,0,1,16.6,16.6,1.6%,2020,15
12,DJ Moore (CAR),6,8,131,21.8,40,6,0,1,1,0,0,1,16.2,16.2,94.0%,2020,15
13,Diontae Johnson (PIT),8,13,59,7.4,23,1,1,0,0,0,0,1,15.9,15.9,86.8%,2020,15
14,Jarvis Landry (NO),7,8,61,8.7,22,1,1,0,0,0,0,1,15.6,15.6,19.0%,2020,15
15,Greg Ward (PHI),4,5,15,3.8,12,0,2,0,0,0,0,1,15.5,15.5,0.0%,2020,15
16,Russell Gage (TB),5,10,68,13.6,27,1,1,0,0,0,0,1,15.3,15.3,19.1%,2020,15
17,Cole Beasley (BUF),8,10,112,14,27,3,0,0,0,0,0,1,15.2,15.2,0.9%,2020,15
18,Darnell Mooney (CHI),4,5,49,12.3,22,1,1,1,16,0,0,1,14.5,14.5,35.1%,2020,15
19,Tyreek Hill (MIA),6,10,53,8.8,19,0,1,1,1,0,0,1,14.4,14.4,100.0%,2020,15
20,Justin Jefferson (MIN),8,11,104,13,26,2,0,0,0,0,0,1,14.4,14.4,100.0%,2020,15
21,Mike Evans (TB),6,7,110,18.3,32,4,0,0,0,0,0,1,14,14,98.6%,2020,15
22,Tyron Johnson (CIN),3,5,61,20.3,26,1,1,0,0,0,0,1,13.6,13.6,0.0%,2020,15
23,A.J. Brown (PHI),5,6,44,8.8,14,0,1,0,0,0,0,1,12.9,12.9,99.9%,2020,15
24,Marquise Brown (ARI),6,7,98,16.3,44,4,0,0,0,0,0,1,12.8,12.8,85.3%,2020,15
25,Jakobi Meyers (NE),7,10,111,15.9,35,3,0,0,0,0,1,1,12.6,12.6,68.9%,2020,15
26,Chad Hansen (FA),2,3,55,27.5,38,2,1,0,0,0,0,1,12.5,12.5,0.0%,2020,15
27,Keke Coutee (IND),5,7,53,10.6,15,0,1,0,0,0,1,1,11.8,11.8,0.0%,2020,15
28,Chris Godwin (TB),4,5,36,9,13,0,1,0,0,0,0,1,11.6,11.6,96.3%,2020,15
29,Jalen Guyton (LAC),4,6,91,22.8,53,4,0,1,4,0,0,1,11.5,11.5,0.1%,2020,15
30,Quez Watkins (PHI),3,4,40,13.3,32,2,1,0,0,0,0,1,11.5,11.5,1.2%,2020,15
31,Terry McLaurin (WAS),7,12,77,11,30,2,0,0,0,0,0,1,11.2,11.2,97.6%,2020,15
32,Larry Fitzgerald (FA),3,4,35,11.7,15,0,1,0,0,0,0,1,11,11,0.2%,2020,15
33,Allen Robinson II (LAR),4,5,83,20.8,35,3,0,0,0,0,0,1,10.3,10.3,33.8%,2020,15
34,Michael Gallup (DAL),3,4,26,8.7,12,0,1,0,0,0,0,1,10.1,10.1,61.9%,2020,15
35,Lil'Jordan Humphrey (FA),2,4,29,14.5,17,0,1,0,0,0,0,1,9.9,9.9,0.0%,2020,15
36,Rashard Higgins (CAR),4,5,76,19,22,2,0,0,0,0,0,1,9.6,9.6,0.1%,2020,15
37,Jamison Crowder (BUF),6,8,66,11,24,1,0,0,0,0,0,1,9.6,9.6,1.3%,2020,15
38,Emmanuel Sanders (FA),4,5,76,19,51,4,0,0,0,0,0,1,9.6,9.6,0.0%,2020,15
39,Darius Slayton (NYG),4,9,74,18.5,35,3,0,0,0,0,0,1,9.4,9.4,52.5%,2020,15
40,Mecole Hardman (KC),3,9,22,7.3,9,0,1,1,-5,0,0,1,9.2,9.2,26.3%,2020,15
41,T.Y. Hilton (DAL),4,6,71,17.8,41,3,0,0,0,0,0,1,9.1,9.1,2.7%,2020,15
42,Brandin Cooks (HOU),6,7,59,9.8,16,0,0,0,0,0,0,1,8.9,8.9,66.0%,2020,15
43,Jake Kumerow (BUF),1,1,22,22,22,1,1,0,0,0,0,1,8.7,8.7,0.0%,2020,15
44,Allen Lazard (GB),5,6,56,11.2,22,1,0,0,0,0,0,1,8.1,8.1,85.5%,2020,15
45,Adam Thielen (MIN),2,3,11,5.5,8,0,1,0,0,0,0,1,8.1,8.1,89.3%,2020,15
46,Sammy Watkins (BAL),4,6,60,15,23,2,0,0,0,0,0,1,8,8,2.3%,2020,15
47,Chris Conley (TEN),1,3,13,13,13,0,1,0,0,0,0,1,7.8,7.8,0.1%,2020,15
