Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
3,Adam Vinatieri (FA),3,4,75,51,0,1,1,0,1,2,2,1,13,13,0.2%,2018,1
4,Adam Vinatieri (FA),3,3,100,44,0,1,0,2,0,2,2,1,13,13,0.2%,2018,15
5,Adam Vinatieri (FA),2,2,100,53,0,1,0,0,1,3,4,1,11,11,0.2%,2018,17
9,Adam Vinatieri (FA),3,3,100,35,0,1,2,0,0,1,1,1,10,10,0.2%,2018,3
14,Adam Vinatieri (FA),2,2,100,44,0,0,0,2,0,2,2,1,10,10,0.2%,2018,4
11,Adam Vinatieri (FA),2,2,100,31,0,1,1,0,0,4,4,1,10,10,0.2%,2018,6
7,Adam Vinatieri (FA),2,2,100,26,0,2,0,0,0,4,4,1,10,10,0.2%,2018,8
7,Adam Vinatieri (FA),2,3,66.7,46,0,0,1,1,0,3,3,1,10,10,0.2%,2018,12
17,Adam Vinatieri (FA),1,2,50,54,0,0,0,0,1,3,3,1,8,8,0.2%,2018,5
15,Adam Vinatieri (FA),1,1,100,22,0,1,0,0,0,5,5,1,8,8,0.2%,2018,11
12,Adam Vinatieri (FA),1,1,100,54,0,0,0,0,1,3,3,1,8,8,0.2%,2018,14
22,Adam Vinatieri (FA),1,1,100,36,0,0,1,0,0,2,4,1,5,5,0.2%,2018,7
28,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.2%,2018,16
29,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.2%,2018,2
23,Adam Vinatieri (FA),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.2%,2018,10
41,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2018,13
4,Aldrick Rosas (DET),3,3,100,57,0,0,1,1,1,3,3,1,15,15,0.1%,2018,13
3,Aldrick Rosas (DET),3,3,100,53,0,0,1,1,1,2,2,1,14,14,0.1%,2018,5
3,Aldrick Rosas (DET),3,3,100,51,0,2,0,0,1,1,1,1,12,12,0.1%,2018,12
11,Aldrick Rosas (DET),3,3,100,44,0,1,1,1,0,0,0,1,10,10,0.1%,2018,1
7,Aldrick Rosas (DET),2,2,100,44,0,0,1,1,0,3,3,1,10,10,0.1%,2018,3
11,Aldrick Rosas (DET),1,1,100,52,0,0,0,0,1,5,5,1,10,10,0.1%,2018,11
8,Aldrick Rosas (DET),2,2,100,35,0,1,1,0,0,4,5,1,10,10,0.1%,2018,14
8,Aldrick Rosas (DET),2,2,100,40,0,1,0,1,0,3,3,1,10,10,0.1%,2018,16
10,Aldrick Rosas (DET),2,2,100,48,0,0,1,1,0,3,3,1,10,10,0.1%,2018,17
13,Aldrick Rosas (DET),2,2,100,31,0,1,1,0,0,3,3,1,9,9,0.1%,2018,10
20,Aldrick Rosas (DET),2,2,100,38,0,1,1,0,0,1,1,1,7,7,0.1%,2018,2
20,Aldrick Rosas (DET),2,3,66.7,33,0,1,1,0,0,1,1,1,7,7,0.1%,2018,6
15,Aldrick Rosas (DET),2,2,100,37,0,1,1,0,0,1,1,1,7,7,0.1%,2018,8
19,Aldrick Rosas (DET),2,2,100,36,0,0,2,0,0,0,0,1,6,6,0.1%,2018,7
27,Aldrick Rosas (DET),1,1,100,33,0,0,1,0,0,1,1,1,4,4,0.1%,2018,4
36,Aldrick Rosas (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018,15
2,Brandon McManus (DEN),2,2,100,53,0,0,0,0,2,3,3,1,13,13,49.4%,2018,1
9,Brandon McManus (DEN),3,3,100,46,0,0,1,2,0,2,2,1,13,13,49.4%,2018,4
9,Brandon McManus (DEN),3,3,100,44,0,1,0,2,0,1,1,1,12,12,49.4%,2018,15
5,Brandon McManus (DEN),1,1,100,41,0,0,0,1,0,6,6,1,10,10,49.4%,2018,7
13,Brandon McManus (DEN),2,2,100,39,0,0,2,0,0,2,2,1,8,8,49.4%,2018,2
19,Brandon McManus (DEN),2,2,100,28,0,2,0,0,0,2,2,1,8,8,49.4%,2018,6
14,Brandon McManus (DEN),1,1,100,41,0,0,0,1,0,3,3,1,7,7,49.4%,2018,12
13,Brandon McManus (DEN),1,3,33.3,44,0,0,0,1,0,2,2,1,6,6,49.4%,2018,9
20,Brandon McManus (DEN),1,2,50,29,0,1,0,0,0,3,3,1,6,6,49.4%,2018,13
22,Brandon McManus (DEN),1,2,50,36,0,0,1,0,0,2,2,1,5,5,49.4%,2018,8
18,Brandon McManus (DEN),1,1,100,34,0,0,1,0,0,2,2,1,5,5,49.4%,2018,11
27,Brandon McManus (DEN),1,1,100,30,0,0,1,0,0,1,1,1,4,4,49.4%,2018,5
28,Brandon McManus (DEN),1,1,100,28,0,1,0,0,0,0,0,1,3,3,49.4%,2018,17
30,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,49.4%,2018,3
27,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,49.4%,2018,14
31,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,2,2,1,2,2,49.4%,2018,16
3,Brett Maher (FA),4,4,100,55,0,0,1,1,2,4,4,1,21,21,2.0%,2018,6
4,Brett Maher (FA),4,4,100,43,0,1,2,1,0,2,2,1,15,15,2.0%,2018,4
2,Brett Maher (FA),3,3,100,50,0,1,0,1,1,1,2,1,13,13,2.0%,2018,11
2,Brett Maher (FA),3,4,75,62,0,2,0,0,1,2,2,1,13,13,2.0%,2018,14
7,Brett Maher (FA),3,3,100,48,0,1,0,2,0,1,1,1,12,12,2.0%,2018,5
7,Brett Maher (FA),2,2,100,59,0,1,0,0,1,3,3,1,11,11,2.0%,2018,16
10,Brett Maher (FA),2,2,100,50,0,0,1,0,1,1,1,1,9,9,2.0%,2018,3
12,Brett Maher (FA),2,3,66.7,31,0,1,1,0,0,3,3,1,9,9,2.0%,2018,10
12,Brett Maher (FA),2,2,100,37,0,1,1,0,0,2,2,1,8,8,2.0%,2018,2
14,Brett Maher (FA),2,2,100,46,0,1,0,1,0,1,1,1,8,8,2.0%,2018,13
13,Brett Maher (FA),1,1,100,28,0,1,0,0,0,4,4,1,7,7,2.0%,2018,12
18,Brett Maher (FA),1,2,50,47,0,0,0,1,0,2,2,1,6,6,2.0%,2018,7
26,Brett Maher (FA),0,1,0,0,0,0,0,0,0,4,4,1,4,4,2.0%,2018,17
25,Brett Maher (FA),0,1,0,0,0,0,0,0,0,2,2,1,2,2,2.0%,2018,9
69,Brett Maher (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0%,2018,1
69,Brett Maher (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0%,2018,15
10,Cairo Santos (CHI),3,4,75,39,0,2,1,0,0,2,2,1,11,11,0.7%,2018,6
8,Cairo Santos (CHI),2,2,100,41,0,0,1,1,0,3,3,1,10,10,0.7%,2018,12
12,Cairo Santos (CHI),2,2,100,39,1,0,1,0,0,3,4,1,9,9,0.7%,2018,5
9,Cairo Santos (CHI),2,3,66.7,45,0,0,1,1,0,2,2,1,9,9,0.7%,2018,16
11,Cairo Santos (CHI),2,2,100,45,0,0,1,1,0,2,2,1,9,9,0.7%,2018,17
19,Cairo Santos (CHI),1,1,100,35,0,0,1,0,0,3,3,1,6,6,0.7%,2018,13
16,Cairo Santos (CHI),2,2,100,28,0,2,0,0,0,0,0,1,6,6,0.7%,2018,15
20,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,5,5,1,5,5,0.7%,2018,11
28,Cairo Santos (CHI),0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.7%,2018,14
15,Caleb Sturgis (FA),3,4,75,48,0,2,0,1,0,0,2,1,10,10,0.0%,2018,4
16,Caleb Sturgis (FA),2,3,66.7,49,0,0,1,1,0,2,3,1,9,9,0.0%,2018,5
21,Caleb Sturgis (FA),2,3,66.7,45,0,0,1,1,0,0,0,1,7,7,0.0%,2018,1
19,Caleb Sturgis (FA),1,1,100,24,0,1,0,0,0,4,4,1,7,7,0.0%,2018,2
25,Caleb Sturgis (FA),1,1,100,26,0,1,0,0,0,2,3,1,5,5,0.0%,2018,3
26,Caleb Sturgis (FA),0,1,0,0,0,0,0,0,0,1,3,1,1,1,0.0%,2018,9
5,Chandler Catanzaro (FA),2,3,66.7,36,0,0,2,0,0,6,6,1,12,12,0.0%,2018,1
7,Chandler Catanzaro (FA),2,2,100,51,0,1,0,0,1,3,4,1,11,11,0.0%,2018,17
6,Chandler Catanzaro (FA),2,3,66.7,59,0,0,1,0,1,2,3,1,10,10,0.0%,2018,7
12,Chandler Catanzaro (FA),2,2,100,28,0,2,0,0,0,3,3,1,9,9,0.0%,2018,3
10,Chandler Catanzaro (FA),2,2,100,38,0,1,1,0,0,2,3,1,8,8,0.0%,2018,8
13,Chandler Catanzaro (FA),2,2,100,34,0,0,2,0,0,2,2,1,8,8,0.0%,2018,14
22,Chandler Catanzaro (FA),1,1,100,50,0,0,0,0,1,1,1,1,6,6,0.0%,2018,16
22,Chandler Catanzaro (FA),1,1,100,35,0,0,1,0,0,2,3,1,5,5,0.0%,2018,6
28,Chandler Catanzaro (FA),1,1,100,30,0,0,1,0,0,1,1,1,4,4,0.0%,2018,4
20,Chandler Catanzaro (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.0%,2018,9
28,Chandler Catanzaro (FA),0,0,0,0,0,0,0,0,0,3,4,1,3,3,0.0%,2018,2
25,Chandler Catanzaro (FA),1,3,33.3,33,0,0,1,0,0,0,0,1,3,3,0.0%,2018,10
29,Chandler Catanzaro (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2018,15
6,Chris Boswell (PIT),1,1,100,50,0,0,0,0,1,7,7,1,12,12,10.7%,2018,10
6,Chris Boswell (PIT),1,2,50,41,0,0,0,1,0,2,2,1,10.1,10.1,10.7%,2018,12
13,Chris Boswell (PIT),2,2,100,49,0,0,1,1,0,2,2,1,9,9,10.7%,2018,16
17,Chris Boswell (PIT),2,2,100,24,0,2,0,0,0,2,2,1,8,8,10.7%,2018,6
13,Chris Boswell (PIT),1,1,100,42,0,0,0,1,0,4,4,1,8,8,10.7%,2018,8
16,Chris Boswell (PIT),1,1,100,48,0,0,0,1,0,3,4,1,7,7,10.7%,2018,13
21,Chris Boswell (PIT),1,2,50,38,0,0,1,0,0,3,4,1,6,6,10.7%,2018,3
25,Chris Boswell (PIT),2,2,100,39,0,0,2,0,0,0,0,1,6,6,10.7%,2018,4
18,Chris Boswell (PIT),1,2,50,48,0,0,0,1,0,2,2,1,6,6,10.7%,2018,15
24,Chris Boswell (PIT),0,0,0,0,0,0,0,0,0,5,6,1,5,5,10.7%,2018,5
19,Chris Boswell (PIT),1,1,100,29,0,1,0,0,0,2,3,1,5,5,10.7%,2018,9
30,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,3,3,1,3,3,10.7%,2018,1
27,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,3,4,1,3,3,10.7%,2018,2
25,Chris Boswell (PIT),0,2,0,0,0,0,0,0,0,3,3,1,3,3,10.7%,2018,14
24,Chris Boswell (PIT),0,0,0,0,0,0,0,0,0,2,2,1,2,2,10.7%,2018,11
3,Cody Parkey (FA),2,2,100,50,0,0,0,1,1,6,6,1,15,15,0.1%,2018,4
5,Cody Parkey (FA),3,4,75,43,0,1,0,2,0,1,1,1,12,12,0.1%,2018,3
1,Cody Parkey (FA),2,2,100,45,0,1,0,1,0,5,5,1,12,12,0.1%,2018,9
8,Cody Parkey (FA),3,3,100,33,0,1,2,0,0,2,2,1,11,11,0.1%,2018,1
10,Cody Parkey (FA),3,3,100,48,0,0,1,2,0,0,0,1,11,11,0.1%,2018,11
12,Cody Parkey (FA),2,2,100,36,0,1,1,0,0,3,3,1,9,9,0.1%,2018,13
11,Cody Parkey (FA),1,1,100,46,0,0,0,1,0,4,4,1,8,8,0.1%,2018,7
18,Cody Parkey (FA),2,3,66.7,39,0,0,2,0,0,1,1,1,7,7,0.1%,2018,14
22,Cody Parkey (FA),1,1,100,25,0,1,0,0,0,3,3,1,6,6,0.1%,2018,2
18,Cody Parkey (FA),1,2,50,32,0,0,1,0,0,3,3,1,6,6,0.1%,2018,8
20,Cody Parkey (FA),1,1,100,40,0,0,0,1,0,2,2,1,6,6,0.1%,2018,12
17,Cody Parkey (FA),1,1,100,24,0,1,0,0,0,3,3,1,6,6,0.1%,2018,15
21,Cody Parkey (FA),1,1,100,42,0,0,0,1,0,1,2,1,5,5,0.1%,2018,17
25,Cody Parkey (FA),0,1,0,0,0,0,0,0,0,4,4,1,4,4,0.1%,2018,6
28,Cody Parkey (FA),0,2,0,0,0,0,0,0,0,2,4,1,2,2,0.1%,2018,10
30,Cody Parkey (FA),0,1,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2018,16
3,Dan Bailey (FA),3,4,75,43,0,2,0,1,0,4,4,1,14,14,0.0%,2018,7
6,Dan Bailey (FA),3,5,60,52,0,1,1,0,1,2,2,1,13,13,0.0%,2018,5
11,Dan Bailey (FA),3,3,100,40,0,0,2,1,0,2,2,1,12,12,0.0%,2018,4
10,Dan Bailey (FA),2,2,100,36,0,0,2,0,0,5,5,1,11,11,0.0%,2018,15
12,Dan Bailey (FA),2,2,100,48,0,0,1,1,0,3,3,1,10,10,0.0%,2018,6
11,Dan Bailey (FA),2,2,100,29,0,2,0,0,0,3,3,1,9,9,0.0%,2018,16
16,Dan Bailey (FA),1,1,100,39,0,0,1,0,0,3,3,1,6,6,0.0%,2018,9
16,Dan Bailey (FA),2,2,100,36,0,0,2,0,0,0,0,1,6,6,0.0%,2018,11
17,Dan Bailey (FA),1,3,33.3,37,0,0,1,0,0,3,3,1,6,6,0.0%,2018,12
20,Dan Bailey (FA),1,1,100,45,0,0,0,1,0,1,1,1,5,5,0.0%,2018,17
26,Dan Bailey (FA),1,2,50,39,0,0,1,0,0,1,1,1,4,4,0.0%,2018,13
27,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.0%,2018,8
30,Dan Bailey (FA),0,1,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2018,14
78,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,3
5,Daniel Carlson (LV),3,3,100,50,0,1,0,1,1,1,1,1,13,13,89.9%,2018,15
9,Daniel Carlson (LV),3,3,100,49,0,1,1,1,0,2,2,1,12,12,89.9%,2018,11
7,Daniel Carlson (LV),2,2,100,50,0,0,0,1,1,3,3,1,12,12,89.9%,2018,13
6,Daniel Carlson (LV),2,2,100,45,0,0,0,2,0,3,3,1,11,11,89.9%,2018,16
19,Daniel Carlson (LV),1,1,100,48,0,0,0,1,0,3,3,1,7,7,89.9%,2018,1
15,Daniel Carlson (LV),2,2,100,46,0,0,1,1,0,0,0,1,7,7,89.9%,2018,10
17,Daniel Carlson (LV),1,1,100,44,0,0,0,1,0,3,3,1,7,7,89.9%,2018,14
19,Daniel Carlson (LV),1,1,100,42,0,0,0,1,0,2,2,1,6,6,89.9%,2018,12
24,Daniel Carlson (LV),1,1,100,50,0,0,0,0,1,0,0,1,5,5,89.9%,2018,17
23,Daniel Carlson (LV),0,0,0,0,0,0,0,0,0,4,4,1,4,4,89.9%,2018,8
25,Daniel Carlson (LV),0,3,0,0,0,0,0,0,0,3,3,1,3,3,89.9%,2018,2
23,Daniel Carlson (LV),1,2,50,37,0,0,1,0,0,0,0,1,3,3,89.9%,2018,9
7,Dustin Hopkins (LAC),3,3,100,56,0,1,0,1,1,2,2,1,14,14,3.2%,2018,6
1,Dustin Hopkins (LAC),3,3,100,50,0,0,0,2,1,1,1,1,14,14,3.2%,2018,16
7,Dustin Hopkins (LAC),3,3,100,43,0,1,0,2,0,1,1,1,12,12,3.2%,2018,10
3,Dustin Hopkins (LAC),3,4,75,49,0,1,0,2,0,0,0,1,11,11,3.2%,2018,2
11,Dustin Hopkins (LAC),3,3,100,46,0,0,2,1,0,1,1,1,11,11,3.2%,2018,15
8,Dustin Hopkins (LAC),2,3,66.7,53,0,0,1,0,1,2,2,1,10,10,3.2%,2018,8
11,Dustin Hopkins (LAC),2,2,100,53,0,0,1,0,1,1,1,1,9,9,3.2%,2018,5
11,Dustin Hopkins (LAC),2,2,100,47,0,0,0,2,0,1,1,1,9,9,3.2%,2018,13
10,Dustin Hopkins (LAC),2,2,100,25,0,2,0,0,0,2,2,1,8,8,3.2%,2018,7
17,Dustin Hopkins (LAC),1,1,100,35,0,0,1,0,0,4,4,1,7,7,3.2%,2018,3
22,Dustin Hopkins (LAC),1,1,100,31,0,0,1,0,0,3,3,1,6,6,3.2%,2018,1
22,Dustin Hopkins (LAC),1,1,100,31,0,0,1,0,0,2,3,1,5,5,3.2%,2018,12
23,Dustin Hopkins (LAC),0,1,0,0,0,0,0,0,0,3,3,1,3,3,3.2%,2018,11
24,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,2,2,1,2,2,3.2%,2018,9
69,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2%,2018,14
69,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2%,2018,17
1,Giorgio Tavecchio (FA),3,3,100,56,0,0,0,1,2,2,2,1,16,16,1.0%,2018,7
9,Giorgio Tavecchio (FA),1,1,100,27,0,1,0,0,0,5,5,1,8,8,1.0%,2018,9
21,Giorgio Tavecchio (FA),1,1,100,40,0,0,0,1,0,1,1,1,5,5,1.0%,2018,10
1,Graham Gano (NYG),4,4,100,63,0,0,1,2,1,3,3,1,19,19,34.0%,2018,5
3,Graham Gano (NYG),3,3,100,54,0,0,1,1,1,3,3,1,15,15,34.0%,2018,8
