Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Cooper Kupp (LAR),10,13,156,15.6,59,6,2,0,0,0,0,1,32.6,32.6,77.5%,2021,7
2,Ja'Marr Chase (CIN),8,10,201,25.1,82,7,1,0,0,0,0,1,30.1,30.1,100.0%,2021,7
3,Mike Evans (TB),6,10,76,12.7,46,3,3,0,0,0,0,1,28.6,28.6,98.6%,2021,7
4,A.J. Brown (PHI),8,9,133,16.6,46,5,1,0,0,0,0,1,23.3,23.3,99.9%,2021,7
5,Terry McLaurin (WAS),7,12,122,17.4,40,4,1,0,0,0,0,1,21.7,21.7,97.6%,2021,7
6,Chris Godwin (TB),8,11,111,13.9,34,3,1,0,0,0,0,1,21.1,21.1,96.3%,2021,7
7,Michael Pittman Jr. (IND),4,4,105,26.3,57,5,1,0,0,0,0,1,18.5,18.5,96.4%,2021,7
8,Deebo Samuel (SF),7,11,100,14.3,29,2,1,0,0,0,1,1,17.5,17.5,93.9%,2021,7
9,DK Metcalf (SEA),2,5,96,48,84,4,1,0,0,0,0,1,16.6,16.6,98.6%,2021,7
10,Davante Adams (LV),6,7,76,12.7,26,1,1,0,0,0,0,1,16.6,16.6,100.0%,2021,7
11,Marquise Brown (ARI),5,14,80,16,39,2,1,0,0,0,0,1,16.5,16.5,85.3%,2021,7
12,DeAndre Hopkins (ARI),7,9,53,7.6,15,0,1,0,0,0,0,1,14.8,14.8,93.7%,2021,7
13,Russell Gage (TB),4,6,67,16.8,49,3,1,0,0,0,0,1,14.7,14.7,19.1%,2021,7
14,Kalif Raymond (DET),6,8,115,19.2,37,3,0,1,1,0,0,1,14.6,14.6,2.2%,2021,7
15,Allen Lazard (GB),5,6,60,12,19,0,1,0,0,0,0,1,14.5,14.5,85.5%,2021,7
16,Kendrick Bourne (NE),4,4,68,17,46,3,0,0,0,0,0,1,13.8,13.8,1.6%,2021,7
17,Dante Pettis (CHI),5,5,39,7.8,27,1,1,0,0,0,0,1,13,13,0.1%,2021,7
18,Christian Kirk (JAC),4,5,50,12.5,19,0,1,0,0,0,0,1,13,13,95.2%,2021,7
19,Corey Davis (NYJ),4,6,47,11.8,22,1,1,0,0,0,0,1,12.7,12.7,16.1%,2021,7
20,Van Jefferson (LAR),4,7,43,10.8,22,1,1,0,0,0,0,1,12.3,12.3,21.0%,2021,7
21,Nelson Agholor (NE),2,5,51,25.5,26,2,1,0,0,0,0,1,12.1,12.1,3.3%,2021,7
22,Robert Woods (TEN),6,6,70,11.7,22,1,0,0,0,0,0,1,12,12,41.8%,2021,7
23,Jaylen Waddle (MIA),7,8,83,11.9,19,0,0,0,0,0,0,1,11.8,11.8,99.4%,2021,7
24,Bryan Edwards (FA),3,4,43,14.3,24,1,1,0,0,0,0,1,11.8,11.8,0.2%,2021,7
