Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Justin Jefferson (MIN),11,14,182,16.5,48,5,1,1,4,0,0,1,30.1,30.1,100.0%,2021,13
2,Diontae Johnson (PIT),8,11,105,13.1,29,2,2,0,0,0,0,1,26.5,26.5,86.8%,2021,13
3,Tee Higgins (CIN),9,14,138,15.3,29,3,1,0,0,0,0,1,24.3,24.3,99.2%,2021,13
4,Cooper Kupp (LAR),8,10,129,16.1,43,4,1,0,0,0,0,1,22.9,22.9,77.5%,2021,13
5,Chris Godwin (TB),15,17,143,9.5,36,3,0,1,9,0,0,1,22.7,22.7,96.3%,2021,13
6,Keenan Allen (LAC),5,8,34,6.8,10,0,2,0,0,0,0,1,19.9,19.9,98.9%,2021,13
7,Amon-Ra St. Brown (DET),10,12,86,8.6,14,0,1,1,2,0,0,1,19.8,19.8,99.3%,2021,13
8,Deonte Harty (NO),4,8,96,24,70,4,1,1,3,0,0,1,17.9,17.9,0.0%,2021,13
9,Elijah Moore (NYJ),6,12,77,12.8,29,1,1,1,9,0,0,1,17.6,17.6,36.1%,2021,13
10,Jalen Guyton (LAC),4,4,90,22.5,44,5,1,1,-1,0,0,1,16.9,16.9,0.1%,2021,13
11,Russell Gage (TB),11,12,130,11.8,19,0,0,0,0,0,1,1,16.5,16.5,19.1%,2021,13
12,Tyler Lockett (SEA),7,8,68,9.7,16,0,1,0,0,0,0,1,16.3,16.3,91.8%,2021,13
13,CeeDee Lamb (DAL),7,13,89,12.7,25,3,0,1,33,0,0,1,15.7,15.7,99.9%,2021,13
14,Jakeem Grant Sr. (CLE),5,7,62,12.4,34,2,1,0,0,0,0,1,14.7,14.7,0.0%,2021,13
15,Hunter Renfrow (LV),9,10,102,11.3,28,1,0,0,0,0,0,1,14.7,14.7,25.7%,2021,13
16,Michael Pittman Jr. (IND),6,8,77,12.8,17,0,0,2,33,0,0,1,14,14,96.4%,2021,13
17,Mike Williams (LAC),5,7,110,22,47,6,0,0,0,0,0,1,13.5,13.5,96.0%,2021,13
18,Jaylen Waddle (MIA),9,11,90,10,25,1,0,0,0,0,0,1,13.5,13.5,99.4%,2021,13
19,Mike Evans (TB),7,10,99,14.1,36,2,0,0,0,0,0,1,13.4,13.4,98.6%,2021,13
20,Van Jefferson (LAR),6,8,41,6.8,19,0,1,0,0,0,0,1,13.1,13.1,21.0%,2021,13
21,K.J. Osborn (MIN),4,7,47,11.8,21,1,1,0,0,0,0,1,12.7,12.7,9.5%,2021,13
22,Michael Gallup (DAL),5,9,36,7.2,17,0,1,0,0,0,0,1,12.1,12.1,61.9%,2021,13
23,Lil'Jordan Humphrey (FA),2,2,49,24.5,25,2,1,0,0,0,0,1,11.9,11.9,0.0%,2021,13
24,Sammy Watkins (BAL),4,6,39,9.8,15,0,1,0,0,0,0,1,11.9,11.9,2.3%,2021,13
25,Dee Eskridge (SEA),3,3,35,11.7,17,0,1,0,0,0,0,1,11,11,0.3%,2021,13
26,Tyler Boyd (CIN),5,7,85,17,32,3,0,0,0,0,0,1,11,11,71.8%,2021,13
27,DeAndre Hopkins (ARI),2,2,32,16,20,1,1,0,0,0,0,1,10.2,10.2,93.7%,2021,13
28,Gabe Davis (BUF),2,4,30,15,16,0,1,0,0,0,0,1,10,10,93.5%,2021,13
29,Odell Beckham Jr. (FA),2,5,28,14,27,1,1,0,0,0,0,1,9.8,9.8,14.7%,2021,13
30,Jerry Jeudy (DEN),4,6,77,19.3,36,2,0,0,0,0,0,1,9.7,9.7,91.1%,2021,13
31,Josh Reynolds (DET),4,7,69,17.3,28,2,0,0,0,0,0,1,8.9,8.9,6.1%,2021,13
32,DeVante Parker (NE),5,5,62,12.4,17,0,0,0,0,0,0,1,8.7,8.7,12.1%,2021,13
33,DK Metcalf (SEA),5,8,60,12,33,2,0,0,0,0,0,1,8.5,8.5,98.6%,2021,13
34,Laquon Treadwell (SEA),4,5,62,15.5,28,1,0,0,0,0,0,1,8.2,8.2,0.0%,2021,13
35,Jamison Crowder (BUF),4,6,62,15.5,19,0,0,0,0,0,0,1,8.2,8.2,1.3%,2021,13
36,Marquise Brown (ARI),5,7,55,11,22,1,0,0,0,0,0,1,8,8,85.3%,2021,13
37,Ja'Marr Chase (CIN),5,8,52,10.4,14,0,0,0,0,0,0,1,7.7,7.7,100.0%,2021,13
38,Quez Watkins (PHI),3,3,60,20,28,2,0,0,0,0,0,1,7.5,7.5,1.2%,2021,13
39,Stefon Diggs (BUF),4,7,51,12.8,26,1,0,0,0,0,0,1,7.1,7.1,100.0%,2021,13
40,Brandon Aiyuk (SF),3,6,55,18.3,21,1,0,0,0,0,0,1,7,7,91.8%,2021,13
41,Mack Hollins (LV),1,1,5,5,5,0,1,0,0,0,0,1,7,7,22.5%,2021,13
42,Brandin Cooks (HOU),3,6,38,12.7,14,0,0,1,16,0,0,1,6.9,6.9,66.0%,2021,13
43,Isaiah Ford (FA),1,1,2,2,2,0,1,0,0,0,0,1,6.7,6.7,0.0%,2021,13
44,Ashton Dulin (IND),1,1,2,2,2,0,1,0,0,0,0,1,6.7,6.7,0.1%,2021,13
45,Chase Claypool (CHI),2,3,52,26,40,3,0,1,2,0,0,1,6.4,6.4,44.9%,2021,13
46,Olamide Zaccheaus (ATL),3,5,44,14.7,30,2,0,1,2,0,0,1,6.1,6.1,0.8%,2021,13
47,Adam Humphries (FA),4,5,38,9.5,12,0,0,0,0,0,0,1,5.8,5.8,1.0%,2021,13
48,Darnell Mooney (CHI),5,7,27,5.4,12,0,0,0,0,0,0,1,5.2,5.2,35.1%,2021,13
49,Kenny Golladay (NYG),3,5,37,12.3,20,1,0,0,0,0,0,1,5.2,5.2,6.8%,2021,13
50,Amari Cooper (CLE),2,2,41,20.5,41,3,0,0,0,0,0,1,5.1,5.1,96.3%,2021,13
51,Damiere Byrd (ATL),3,7,36,12,19,0,0,0,0,0,0,1,5.1,5.1,0.1%,2021,13
52,Albert Wilson (LV),4,8,26,6.5,13,0,0,0,0,0,0,1,4.6,4.6,0.0%,2021,13
53,Laviska Shenault Jr. (CAR),3,5,30,10,17,0,0,3,1,0,0,1,4.6,4.6,0.8%,2021,13
54,Bryan Edwards (FA),3,5,30,10,18,0,0,0,0,0,0,1,4.5,4.5,0.2%,2021,13
55,Kalif Raymond (DET),2,2,33,16.5,24,1,0,0,0,0,0,1,4.3,4.3,2.2%,2021,13
56,Ben Skowronek (LAR),1,2,35,35,35,2,0,0,0,0,0,1,4,4,3.2%,2021,13
57,Terry McLaurin (WAS),3,5,22,7.3,13,0,0,0,0,0,0,1,3.7,3.7,97.6%,2021,13
58,Emmanuel Sanders (FA),3,6,22,7.3,19,0,0,0,0,0,0,1,3.7,3.7,0.0%,2021,13
59,Zay Jones (JAC),3,5,21,7,13,0,0,0,0,0,0,1,3.6,3.6,71.5%,2021,13
60,Freddie Swain (DEN),3,3,18,6,7,0,0,0,0,0,0,1,3.3,3.3,0.0%,2021,13
61,Tyreek Hill (MIA),2,5,22,11,13,0,0,0,0,0,0,1,3.2,3.2,100.0%,2021,13
62,T.Y. Hilton (DAL),2,2,22,11,14,0,0,0,0,0,0,1,3.2,3.2,2.7%,2021,13
63,Pharoh Cooper (ARI),2,3,21,10.5,15,0,0,0,0,0,0,1,3.1,3.1,0.0%,2021,13
64,Devin Duvernay (BAL),2,3,21,10.5,18,0,0,0,0,0,0,1,3.1,3.1,28.0%,2021,13
65,Demarcus Robinson (BAL),2,2,21,10.5,12,0,0,0,0,0,0,1,3.1,3.1,12.7%,2021,13
66,Trent Sherfield (MIA),2,5,16,8,9,0,0,0,0,0,0,1,2.6,2.6,1.3%,2021,13
67,Courtland Sutton (DEN),2,6,15,7.5,10,0,0,0,0,0,0,1,2.5,2.5,78.2%,2021,13
68,Tajae Sharpe (FA),3,5,10,3.3,4,0,0,0,0,0,0,1,2.5,2.5,0.0%,2021,13
69,Corey Davis (NYJ),2,3,15,7.5,10,0,0,0,0,0,0,1,2.5,2.5,16.1%,2021,13
70,Tre'Quan Smith (NO),2,7,15,7.5,9,0,0,0,0,0,0,1,2.5,2.5,0.5%,2021,13
71,DeVonta Smith (PHI),2,4,15,7.5,13,0,0,0,0,0,0,1,2.5,2.5,95.1%,2021,13
