Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,207,WR,K.J. Osborn (MIN),WR60,Depth,6.288,6.488,0,0,6.347,5,31.736
NA,209,WR,Hunter Renfrow (LV),WR61,Depth,2.598,15.574,5.167,7.361,6.337,5,31.686
NA,210,WR,Corey Davis (NYJ),WR62,Depth,4.388,9.23,11.786,3.875,6.313,5,31.564
NA,212,WR,Treylon Burks (TEN),WR63,Depth,6.263,0,0,0,6.263,5,31.314
NA,214,WR,Cedrick Wilson Jr. (MIA),WR64,Depth,0,7.616,0,0,6.245,5,31.225
NA,218,WR,George Pickens (PIT),WR65,Depth,6.135,0,0,0,6.135,5,30.674
NA,219,WR,Richie James Jr. (NYG),WR66,Depth,6.956,0,1.206,0,6.135,5,30.673
NA,221,WR,Mack Hollins (LV),WR67,Depth,6.063,0,0,0,6.063,5,30.316
NA,227,WR,Nico Collins (HOU),WR68,Depth,7.678,1.895,0,0,5.977,5,29.884
NA,230,WR,Rashid Shaheed (NO),WR69,Depth,5.957,0,0,0,5.957,5,29.783
NA,233,WR,Joshua Palmer (LAC),WR70,Depth,7.387,2.067,0,0,5.822,5,29.111
NA,238,WR,Jarvis Landry (NO),WR71,Depth,2.378,9.811,11.156,13.751,5.682,5,28.412
NA,240,WR,Tim Patrick (DEN),WR72,Depth,0,7.573,8.419,0.099,5.617,5,28.087
NA,241,WR,Chase Claypool (CHI),WR73,Depth,2.968,9.638,11.375,0,5.608,5,28.04
NA,248,WR,Julio Jones (TB),WR74,Depth,3.075,4.487,14.793,18.813,5.387,5,26.935
NA,254,WR,Rashod Bateman (BAL),WR75,Depth,5.131,5.762,0,0,5.317,5,26.585
NA,255,WR,T.Y. Hilton (DAL),WR76,Depth,4.936,3.612,8.998,10.486,5.289,5,26.444
NA,256,WR,DeVante Parker (NE),WR77,Depth,2.264,8.633,10.366,14.598,5.283,5,26.417
NA,258,WR,Darius Slayton (NYG),WR78,Depth,6.647,1.1,5.455,9.185,5.268,5,26.34
NA,263,WR,Van Jefferson (LAR),WR79,Depth,4.251,7.333,0,0,5.157,5,25.787
NA,265,WR,Kenny Golladay (NYG),WR80,Depth,0,2.727,10.468,15.242,5.106,5,25.529
NA,268,WR,Wan'Dale Robinson (NYG),WR81,Depth,5.076,0,0,0,5.076,5,25.379
NA,274,WR,Romeo Doubs (GB),WR82,Depth,4.719,0,0,0,4.719,5,23.594
NA,281,WR,Josh Reynolds (DET),WR83,Depth,5.37,3.727,4.38,-0.74,4.555,5,22.774
NA,288,WR,Elijah Moore (NYJ),WR84,Depth,1.636,10.938,0,0,4.372,5,21.859
NA,292,WR,Chris Moore (HOU),WR85,Depth,4.255,0,0,0,4.255,5,21.275
NA,298,WR,Marquez Valdes-Scantling (KC),WR86,Depth,3.887,4.366,5.365,1.063,4.014,5,20.068
NA,299,WR,Parris Campbell (IND),WR87,Depth,5.58,0.757,0,1.237,3.999,5,19.996
NA,302,WR,Trenton Irwin (CIN),WR88,Depth,3.769,0,0,0,3.769,5,18.845
NA,305,WR,Randall Cobb (GB),WR89,Depth,2.236,4.975,7.444,7.965,3.728,5,18.64
NA,309,WR,Dante Pettis (CHI),WR90,Depth,0,4.311,0,0,3.535,5,17.677
NA,310,WR,Devin Duvernay (BAL),WR91,Depth,4.734,0.553,0,0,3.505,5,17.523
NA,312,WR,Deonte Harty (NO),WR92,Depth,0,5.615,0.606,0,3.431,5,17.155
NA,313,WR,Quintez Cephus (DET),WR93,Depth,0,5.499,0.671,0,3.378,5,16.891
NA,315,WR,Greg Dortch (ARI),WR94,Depth,3.363,0,0,0,3.363,5,16.813
NA,316,WR,Laviska Shenault Jr. (CAR),WR95,Depth,1.613,5.115,9.464,0,3.361,5,16.805
NA,319,WR,Byron Pringle (CHI),WR96,Depth,0,4.035,0,0,3.309,5,16.543
NA,320,WR,Kalif Raymond (DET),WR97,Depth,2.437,5.145,0,0,3.234,5,16.168
NA,322,WR,Alec Pierce (IND),WR98,Depth,3.178,0,0,0,3.178,5,15.888
NA,325,WR,Isaiah McKenzie (BUF),WR99,Depth,3.422,0,0,-0.877,3.091,5,15.455
NA,326,WR,Kadarius Toney (KC),WR100,Depth,1.995,5.351,0,0,2.982,5,14.909
NA,328,WR,Kendrick Bourne (NE),WR101,Depth,0.477,7.874,5.463,1.799,2.891,5,14.456
NA,330,WR,Robbie Anderson (ARI),WR102,Depth,-0.495,5.449,14.143,7.73,2.866,5,14.33
NA,331,WR,Tre'Quan Smith (NO),WR103,Depth,1.472,5.645,4.04,0,2.84,5,14.2
NA,332,WR,Antoine Wesley (ARI),WR104,Depth,0,3.46,0,0,2.837,5,14.185
NA,337,WR,Braxton Berrios (NYJ),WR105,Depth,0,3.897,1.963,0,2.743,5,13.713
NA,341,WR,Zach Pascal (PHI),WR106,Depth,0,2.066,5.02,5.348,2.636,5,13.18
NA,342,WR,Nelson Agholor (NE),WR107,Depth,0.993,3.186,9.508,5.732,2.63,5,13.148
NA,346,WR,Tyquan Thornton (NE),WR108,Depth,2.543,0,0,0,2.543,5,12.713
NA,347,WR,Jamison Crowder (BUF),WR109,Depth,-1.578,6.446,12.947,10.707,2.495,5,12.474
NA,351,WR,Keelan Cole Sr. (LV),WR110,Depth,0,1.114,6.969,0,2.285,5,11.425
NA,358,WR,Noah Brown (DAL),WR111,Depth,3.537,-1.742,0,0,1.985,5,9.923
NA,360,WR,Damiere Byrd (ATL),WR112,Depth,0,1.763,3.335,3.035,1.898,5,9.491
NA,361,WR,Jamal Agnew (JAC),WR113,Depth,0,2.313,0,0,1.897,5,9.483
NA,365,WR,DeAndre Carter (LAC),WR114,Depth,2.328,0.793,0,0,1.877,5,9.385
NA,367,WR,Marquise Goodwin (SEA),WR115,Depth,2.891,-0.717,0,0,1.83,5,9.148
NA,368,WR,Ben Skowronek (LAR),WR116,Depth,1.819,0,0,0,1.819,5,9.096
NA,369,WR,Demarcus Robinson (BAL),WR117,Depth,2.263,0.023,3.282,1.616,1.773,5,8.863
NA,371,WR,Sammy Watkins (BAL),WR118,Depth,0.112,3.079,5.744,5.981,1.71,5,8.552
NA,374,WR,A.J. Green (ARI),WR119,Depth,-1.125,7.396,4.012,0,1.658,5,8.288
NA,377,WR,Rashard Higgins (CAR),WR120,Depth,0,0.243,6.164,0,1.586,5,7.93
NA,378,WR,Jalen Guyton (LAC),WR121,Depth,0,1.988,1.794,0,1.585,5,7.923
NA,383,WR,Nick Westbrook-Ikhine (TEN),WR122,Depth,0.623,3.434,0,0,1.45,5,7.25
NA,389,WR,Marquez Callaway (NO),WR123,Depth,-0.533,5.756,0,0,1.317,5,6.585
NA,391,WR,Jalen Reagor (MIN),WR124,Depth,0,0.045,5.461,0,1.306,5,6.528
NA,392,WR,Chris Conley (TEN),WR125,Depth,0,-0.008,2.726,7.085,1.281,5,6.405
NA,395,WR,Anthony Miller (PIT),WR126,Depth,0,0.172,3.112,4.994,1.238,5,6.19
NA,397,WR,Jauan Jennings (SF),WR127,Depth,0.846,2.014,0,0,1.189,5,5.947
NA,398,WR,Olamide Zaccheaus (ATL),WR128,Depth,1.092,1.611,0.552,0,1.172,5,5.858
NA,403,WR,Terrace Marshall Jr. (CAR),WR129,Depth,2.298,-2.322,0,0,0.94,5,4.698
NA,404,WR,Quez Watkins (PHI),WR130,Depth,0.174,2.769,0,0,0.937,5,4.687
NA,405,WR,Preston Williams (CAR),WR131,Depth,0,-2.319,5.728,9.214,0.93,5,4.651
NA,408,WR,Trent Sherfield (MIA),WR132,Depth,0.602,0,0,0,0.602,5,3.012
NA,412,WR,Freddie Swain (DEN),WR133,Depth,0,0.636,0,0,0.521,5,2.607
NA,413,WR,Albert Wilson (LV),WR134,Depth,0,0.154,0,2.983,0.513,5,2.565
NA,414,WR,Breshad Perriman (TB),WR135,Depth,-1.57,2.561,4.599,6.634,0.49,5,2.45
NA,415,WR,James Proche II (BAL),WR136,Depth,0,0.568,0,0,0.466,5,2.33
NA,419,WR,KJ Hamler (DEN),WR137,Depth,0,-0.755,3.276,0,0.325,5,1.627
NA,420,WR,Kendall Hinton (DEN),WR138,Depth,0.311,0,0,0,0.311,5,1.555
NA,421,WR,Dez Fitzpatrick (TEN),WR139,Depth,0,0.291,0,0,0.239,5,1.193
NA,423,WR,Tutu Atwell (LAR),WR140,Depth,0.138,0,0,0,0.138,5,0.689
NA,424,WR,Laquon Treadwell (SEA),WR141,Depth,-1.198,3.28,0,0,0.119,5,0.595
NA,429,WR,Tyler Johnson (TB),WR142,Depth,0,-0.053,0,0,-0.044,5,-0.218
NA,430,WR,Samori Toure (GB),WR143,Depth,-0.052,0,0,0,-0.052,5,-0.259
NA,432,WR,Shi Smith (CAR),WR144,Depth,-0.122,0,0,0,-0.122,5,-0.61
NA,435,WR,Ray-Ray McCloud III (SF),WR145,Depth,0,-0.368,0,0,-0.301,5,-1.507
NA,436,WR,Marcus Johnson (NYG),WR146,Depth,0,-0.795,-1.248,2.329,-0.425,5,-2.124
NA,437,WR,Brandon Johnson (DEN),WR147,Depth,-0.469,0,0,0,-0.469,5,-2.344
NA,440,WR,Equanimeous St. Brown (CHI),WR148,Depth,-0.611,0,0,0,-0.611,5,-3.057
NA,446,WR,Scotty Miller (TB),WR149,Depth,-1.363,0,2.445,-0.712,-0.812,5,-4.059
NA,449,WR,Phillip Dorsett II (HOU),WR150,Depth,-1.531,-1.007,0,3.261,-1.12,5,-5.598
NA,450,WR,Dee Eskridge (SEA),WR151,Depth,0,-1.485,0,0,-1.218,5,-6.088
NA,451,WR,Denzel Mims (NYJ),WR152,Depth,-2.125,0,3.321,0,-1.346,5,-6.732
NA,453,WR,Kyle Philips (TEN),WR153,Depth,-1.487,0,0,0,-1.487,5,-7.436
NA,454,WR,Steven Sims Jr. (PIT),WR154,Depth,-2.216,0,0.223,3.033,-1.541,5,-7.704
NA,455,WR,Trinity Benson (DET),WR155,Depth,0,-1.932,0,0,-1.585,5,-7.923
NA,456,WR,Collin Johnson (NYG),WR156,Depth,0,-2.209,0,0,-1.811,5,-9.056
NA,458,WR,Dyami Brown (WAS),WR157,Depth,0,-2.529,0,0,-2.074,5,-10.369
NA,459,WR,Juwann Winfree (GB),WR158,Depth,0,-2.54,0,0,-2.083,5,-10.414
NA,460,WR,Racey McMath (TEN),WR159,Depth,-2.098,0,0,0,-2.098,5,-10.491
NA,461,WR,Michael Bandy (LAC),WR160,Depth,-2.491,0,0,0,-2.491,5,-12.454
