Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,282,RB,Boston Scott (PHI),RB61,Depth,0,6.775,2.61,5.248,4.545,5,22.726
NA,283,RB,D'Ernest Johnson (CLE),RB62,Depth,0,5.505,0,0,4.514,5,22.572
NA,286,RB,Chuba Hubbard (CAR),RB63,Depth,3.284,7.11,0,0,4.409,5,22.047
NA,287,RB,Dontrell Hilliard (TEN),RB64,Depth,3.255,7.1,0,0,4.385,5,21.927
NA,290,RB,Brandon Bolden (LV),RB65,Depth,0,5.266,0,0,4.318,5,21.59
NA,304,RB,Gus Edwards (BAL),RB66,Depth,3.516,0,5.728,2.463,3.74,5,18.701
NA,307,RB,Mark Ingram II (NO),RB67,Depth,1.997,6.051,1.084,17.199,3.679,5,18.397
NA,317,RB,Derrick Gore (NO),RB68,Depth,0,4.088,0,0,3.352,5,16.761
NA,321,RB,Tevin Coleman (SF),RB69,Depth,3.585,1.531,0,7.282,3.22,5,16.099
NA,323,RB,Jaylen Warren (PIT),RB70,Depth,3.174,0,0,0,3.174,5,15.868
NA,324,RB,Giovani Bernard (TB),RB71,Depth,0,2.476,8.737,1.049,3.167,5,15.837
NA,327,RB,James Cook (BUF),RB72,Depth,2.928,0,0,0,2.928,5,14.64
NA,334,RB,Rex Burkhead (HOU),RB73,Depth,1.032,4.152,8.48,5.198,2.765,5,13.826
NA,336,RB,Nyheim Hines (BUF),RB74,Depth,0.759,3.418,11.744,5.339,2.752,5,13.758
NA,338,RB,Darrel Williams (ARI),RB75,Depth,-0.111,10.827,-0.861,2.28,2.668,5,13.34
NA,344,RB,Eno Benjamin (NO),RB76,Depth,4.14,-1.102,0,0,2.598,5,12.991
NA,348,RB,Kenneth Gainwell (PHI),RB77,Depth,1.209,5.307,0,0,2.415,5,12.073
NA,349,RB,Zack Moss (IND),RB78,Depth,0.218,6.306,5.667,0,2.394,5,11.968
NA,352,RB,Ke'Shawn Vaughn (TB),RB79,Depth,0,2.728,0,0,2.237,5,11.185
NA,353,RB,Deon Jackson (IND),RB80,Depth,2.172,0,0,0,2.172,5,10.859
NA,355,RB,Alexander Mattison (MIN),RB81,Depth,0.464,5.47,3.303,2.075,2.08,5,10.399
NA,359,RB,JaMycal Hasty (JAC),RB82,Depth,2.97,0.462,-0.234,0,1.973,5,9.863
NA,366,RB,Salvon Ahmed (MIA),RB83,Depth,0,-0.816,9.995,0,1.864,5,9.318
NA,373,RB,Craig Reynolds (DET),RB84,Depth,0.622,4.24,0,0,1.686,5,8.431
NA,375,RB,Sony Michel (FA),RB85,Depth,-2.073,7.391,6.015,8.871,1.649,5,8.244
NA,379,RB,Phillip Lindsay (FA),RB86,Depth,1.485,-1.293,3.626,12.644,1.563,5,7.814
