Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,267,RB,Samaje Perine (CIN),RB61,Depth,5.492,0.883,-0.582,0,3.64,5,18.199
NA,270,RB,Chuba Hubbard (CAR),RB62,Depth,2.585,5.932,0,0,3.569,5,17.846
NA,273,RB,Malik Davis (DAL),RB63,Depth,3.506,0,0,0,3.506,5,17.532
NA,274,RB,D'Ernest Johnson (CLE),RB64,Depth,0,4.256,0,0,3.49,5,17.451
NA,288,RB,Dontrell Hilliard (TEN),RB65,Depth,1.759,5.871,0,0,2.968,5,14.841
NA,293,RB,Brandon Bolden (LV),RB66,Depth,0,3.428,0,0,2.811,5,14.056
NA,294,RB,Derrick Gore (NO),RB67,Depth,0,3.36,0,0,2.755,5,13.775
NA,298,RB,Tevin Coleman (SF),RB68,Depth,3.321,0.316,0,6.241,2.648,5,13.24
NA,302,RB,Mark Ingram II (NO),RB69,Depth,0.988,4.205,0.599,16.095,2.509,5,12.544
NA,312,RB,James Cook (BUF),RB70,Depth,2.131,0,0,0,2.131,5,10.654
NA,316,RB,Ke'Shawn Vaughn (TB),RB71,Depth,0,2.488,0,0,2.041,5,10.203
NA,321,RB,Giovani Bernard (TB),RB72,Depth,0,1.251,6.763,-0.644,1.961,5,9.807
NA,322,RB,Darrel Williams (ARI),RB73,Depth,-0.388,8.906,-1.931,1.55,1.878,5,9.39
NA,325,RB,Jaylen Warren (PIT),RB74,Depth,1.862,0,0,0,1.862,5,9.311
NA,330,RB,Eno Benjamin (NO),RB75,Depth,3.093,-1.4,0,0,1.772,5,8.859
NA,334,RB,Kenneth Gainwell (PHI),RB76,Depth,0.588,3.962,0,0,1.58,5,7.902
NA,337,RB,Zack Moss (IND),RB77,Depth,-0.274,4.627,4.962,0,1.567,5,7.834
NA,344,RB,Nyheim Hines (BUF),RB78,Depth,-0.298,1.905,8.656,3.42,1.334,5,6.671
NA,345,RB,Salvon Ahmed (MIA),RB79,Depth,0,-1.324,8.874,0,1.303,5,6.517
NA,347,RB,Rex Burkhead (HOU),RB80,Depth,-0.74,3.085,7.272,4.404,1.275,5,6.375
NA,353,RB,Deon Jackson (IND),RB81,Depth,1.184,0,0,0,1.184,5,5.921
NA,354,RB,Alexander Mattison (MIN),RB82,Depth,-0.296,3.975,2.7,1.548,1.164,5,5.818
NA,358,RB,Jermar Jefferson (DET),RB83,Depth,0,1.164,0,0,0.954,5,4.77
NA,359,RB,Sony Michel (FA),RB84,Depth,-2.749,6.382,5.767,8.39,0.942,5,4.71
NA,363,RB,Trey Sermon (PHI),RB85,Depth,0,1.007,0,0,0.825,5,4.127
NA,367,RB,Ty'Son Williams (ARI),RB86,Depth,0,0.868,0,0,0.712,5,3.56
NA,369,RB,Royce Freeman (HOU),RB87,Depth,1.463,-2.337,0,5.968,0.657,5,3.286
NA,370,RB,Craig Reynolds (DET),RB88,Depth,-0.646,3.734,0,0,0.642,5,3.209
NA,373,RB,JaMycal Hasty (JAC),RB89,Depth,1.59,-1.095,-0.985,0,0.612,5,3.062
NA,377,RB,Phillip Lindsay (FA),RB90,Depth,0.046,-1.412,3.065,11.209,0.542,5,2.709
NA,378,RB,David Johnson (NO),RB91,Depth,-3.318,2.534,14.731,8.143,0.523,5,2.614
NA,379,RB,Ty Johnson (NYJ),RB92,Depth,-0.823,4.247,0.047,-1.305,0.507,5,2.537
NA,385,RB,Joshua Kelley (LAC),RB93,Depth,1.49,-3.042,1.519,0,0.301,5,1.504
NA,389,RB,Chris Evans (CIN),RB94,Depth,0,0.306,0,0,0.251,5,1.256
NA,393,RB,Marlon Mack (DEN),RB95,Depth,0,-2.332,0,13.065,0.193,5,0.963
NA,394,RB,Ameer Abdullah (LV),RB96,Depth,0,0.225,0,0,0.184,5,0.921
NA,399,RB,Malcolm Brown (LAR),RB97,Depth,0,-0.953,2.616,0.029,0.051,5,0.254
NA,401,RB,Austin Walter (LV),RB98,Depth,0,0.04,0,0,0.033,5,0.163
NA,411,RB,Jeremy McNichols (PIT),RB99,Depth,0,0.58,-2.585,0,-0.266,5,-1.329
NA,413,RB,Justin Jackson (DET),RB100,Depth,-1.622,1.276,3.453,-0.197,-0.319,5,-1.593
NA,414,RB,Kyle Juszczyk (SF),RB101,Depth,0,-0.408,0,0,-0.334,5,-1.671
NA,416,RB,Matt Breida (NYG),RB102,Depth,-1.785,2.064,-1.292,4.517,-0.458,5,-2.29
NA,418,RB,J.J. Taylor (NE),RB103,Depth,0,-0.576,0,0,-0.473,5,-2.363
NA,424,RB,Caleb Huntley (ATL),RB104,Depth,-0.613,0,0,0,-0.613,5,-3.066
NA,428,RB,Darrynton Evans (CHI),RB105,Depth,-0.769,0,0,0,-0.769,5,-3.845
NA,430,RB,Jaret Patterson (WAS),RB106,Depth,0,-0.991,0,0,-0.813,5,-4.063
NA,431,RB,Patrick Taylor Jr. (GB),RB107,Depth,0,-1.022,0,0,-0.838,5,-4.189
