Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Daniel Jones (NYG),28,41,68.3,322,7.9,4,0,3,4,13,0,1,1,28.2,28.2,64.1%,2019,8
2,Deshaun Watson (CLE),27,39,69.2,279,7.2,3,0,3,10,46,0,0,1,27.8,27.8,64.4%,2019,8
3,Aaron Rodgers (GB),23,33,69.7,305,9.2,3,0,5,6,29,0,0,1,27.1,27.1,83.7%,2019,8
4,Drew Brees (FA),34,43,79.1,373,8.7,3,1,0,0,0,0,0,1,25.9,25.9,35.7%,2019,8
5,Matthew Stafford (LAR),25,32,78.1,342,10.7,3,1,4,2,-3,0,0,1,24.4,24.4,28.1%,2019,8
6,Gardner Minshew II (PHI),22,34,64.7,279,8.2,3,0,2,8,28,0,1,1,24,24,36.5%,2019,8
7,Derek Carr (LV),18,30,60,285,9.5,3,0,0,0,0,0,0,1,23.4,23.4,54.7%,2019,8
8,Jared Goff (DET),17,31,54.8,372,12,2,0,0,0,0,0,0,1,22.9,22.9,77.6%,2019,8
9,Matt Schaub (FA),39,52,75,460,8.8,1,1,2,0,0,0,1,1,21.4,21.4,0.0%,2019,8
10,Jameis Winston (NO),21,43,48.8,301,7,2,2,3,8,53,0,2,1,21.3,21.3,5.5%,2019,8
11,Ryan Tannehill (TEN),21,33,63.6,193,5.8,3,0,3,4,-3,0,0,1,19.4,19.4,18.6%,2019,8
12,Matt Moore (FA),24,36,66.7,267,7.4,2,0,2,1,3,0,0,1,19,19,0.0%,2019,8
13,Tom Brady (TB),20,36,55.6,259,7.2,2,0,3,0,0,0,0,1,18.4,18.4,87.4%,2019,8
14,Andy Dalton (NO),32,52,61.5,329,6.3,1,0,5,1,4,0,0,1,17.7,17.7,10.5%,2019,8
15,Josh Allen (BUF),16,34,47.1,169,5,2,0,4,8,45,0,1,1,17.3,17.3,100.0%,2019,8
16,Mason Rudolph (PIT),20,36,55.6,251,7,2,1,2,0,0,0,0,1,17,17,0.0%,2019,8
17,Russell Wilson (DEN),14,20,70,182,9.1,2,0,2,4,4,0,0,1,15.7,15.7,45.7%,2019,8
18,Sam Darnold (CAR),21,30,70,218,7.3,2,3,8,1,-1,0,0,1,15.6,15.6,5.3%,2019,8
19,Carson Wentz (WAS),17,24,70.8,172,7.2,1,0,3,8,35,0,0,1,14.4,14.4,8.4%,2019,8
20,Jimmy Garoppolo (SF),18,22,81.8,175,8,2,1,3,0,0,0,0,1,14,14,13.5%,2019,8
21,Taysom Hill (NO),0,0,0,0,0,0,0,0,0,0,0,0,1,13.8,13.8,49.2%,2019,8
22,Ryan Fitzpatrick (FA),21,34,61.8,190,5.6,2,2,4,5,17,0,1,1,13.3,13.3,0.0%,2019,8
23,Baker Mayfield (LAR),20,31,64.5,194,6.3,1,1,5,1,18,0,0,1,12.6,12.6,8.3%,2019,8
24,Kirk Cousins (MIN),23,26,88.5,285,11,0,0,3,2,2,0,0,1,11.6,11.6,92.3%,2019,8
25,Philip Rivers (FA),19,29,65.5,201,6.9,1,1,1,0,0,0,0,1,11,11,20.6%,2019,8
26,Kyler Murray (ARI),19,33,57.6,220,6.7,0,0,3,2,13,0,0,1,10.1,10.1,53.7%,2019,8
27,Jacoby Brissett (CLE),15,25,60,202,8.1,0,0,4,6,34,0,1,1,9.5,9.5,3.8%,2019,8
28,Mitch Trubisky (PIT),23,35,65.7,253,7.2,0,1,4,4,10,0,1,1,8.1,8.1,0.8%,2019,8
29,Joe Flacco (NYJ),20,32,62.5,174,5.4,0,0,3,1,9,0,0,1,7.9,7.9,0.9%,2019,8
30,Kyle Allen (HOU),19,37,51.4,158,4.3,0,3,7,0,0,0,0,1,3.3,3.3,0.2%,2019,8
31,Case Keenum (BUF),12,16,75,130,8.1,0,0,2,0,0,0,1,1,3.2,3.2,0.7%,2019,8
32,Dwayne Haskins (FA),3,5,60,33,6.6,0,1,2,0,0,0,0,1,0.3,0.3,0.1%,2019,8
33,Brett Hundley (BAL),0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0%,2019,8
34,Teddy Bridgewater (MIA),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,5.4%,2019,8
35,Nick Mullens (MIN),0,0,0,0,0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.0%,2019,8
