Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Denver Broncos (DEN),6,3,2,3,2,0,0,1,32,32,44.1%,2018,7
2,Los Angeles Rams (LAR),7,2,2,2,0,1,0,1,21,21,69.6%,2018,7
3,Indianapolis Colts (IND),2,3,2,2,0,0,0,1,19,19,57.4%,2018,7
4,New England Patriots (NE),2,2,0,0,0,0,2,1,17,17,46.6%,2018,7
5,Washington Commanders (WAS),4,0,2,3,1,0,0,1,15,15,40.4%,2018,7
6,Houston Texans (HOU),4,1,2,3,0,0,0,1,14,14,3.8%,2018,7
7,Kansas City Chiefs (KC),2,1,0,1,1,0,0,1,14,14,41.6%,2018,7
8,Cleveland Browns (CLE),4,2,2,2,0,1,0,1,14,14,21.9%,2018,7
9,Minnesota Vikings (MIN),3,3,1,0,0,0,0,1,12,12,12.2%,2018,7
10,Tampa Bay Buccaneers (TB),5,0,1,1,0,0,0,1,7,7,95.4%,2018,7
11,Carolina Panthers (CAR),4,0,1,2,0,0,0,1,7,7,6.1%,2018,7
12,Chicago Bears (CHI),1,1,2,1,0,0,0,1,7,7,2.9%,2018,7
13,Los Angeles Chargers (LAC),2,1,0,0,0,0,0,1,5,5,52.5%,2018,7
14,New York Giants (NYG),3,0,1,1,0,0,0,1,5,5,1.8%,2018,7
15,Atlanta Falcons (ATL),4,0,0,0,0,0,0,1,5,5,0.5%,2018,7
16,Detroit Lions (DET),4,0,0,0,0,0,0,1,4,4,1.1%,2018,7
17,Tennessee Titans (TEN),2,0,0,0,0,0,0,1,3,3,8.1%,2018,7
18,Arizona Cardinals (ARI),2,1,0,0,0,0,0,1,3,3,14.4%,2018,7
19,Baltimore Ravens (BAL),1,0,1,0,0,0,0,1,3,3,44.1%,2018,7
20,Jacksonville Jaguars (JAC),1,0,0,0,0,0,0,1,2,2,1.0%,2018,7
21,Philadelphia Eagles (PHI),2,0,0,0,0,0,0,1,2,2,40.7%,2018,7
22,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,2,2,73.8%,2018,7
23,New Orleans Saints (NO),1,0,0,0,0,0,0,1,1,1,80.6%,2018,7
28,Cincinnati Bengals (CIN),2,1,0,0,0,0,0,1,0,0,22.4%,2018,7
29,Miami Dolphins (MIA),1,0,0,2,0,0,0,1,0,0,58.2%,2018,7
30,San Francisco 49ers (SF),1,0,0,0,0,0,0,1,-2,-2,83.9%,2018,7
31,Buffalo Bills (BUF),0,0,0,0,0,1,0,1,-2,-2,99.6%,2018,7
32,New York Jets (NYJ),1,0,0,0,0,0,0,1,-3,-3,2.0%,2018,7
