Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Los Angeles Rams (LAR),3,3,2,2,2,0,0,1,21,21,69.6%,2018,11
2,Chicago Bears (CHI),2,2,1,1,1,0,0,1,15,15,2.9%,2018,11
3,Houston Texans (HOU),5,2,0,1,1,0,0,1,15,15,3.8%,2018,11
4,New Orleans Saints (NO),3,3,0,0,0,0,0,1,13,13,80.6%,2018,11
5,Indianapolis Colts (IND),5,2,0,1,0,0,0,1,13,13,57.4%,2018,11
6,New York Giants (NYG),1,4,0,1,1,0,0,1,11,11,1.8%,2018,11
7,Kansas City Chiefs (KC),5,0,2,3,1,0,0,1,11,11,41.6%,2018,11
8,Washington Commanders (WAS),3,2,1,2,0,0,0,1,10,10,40.4%,2018,11
9,Jacksonville Jaguars (JAC),2,3,0,0,0,0,0,1,9,9,1.0%,2018,11
10,Pittsburgh Steelers (PIT),6,0,1,2,0,0,0,1,9,9,23.6%,2018,11
11,Minnesota Vikings (MIN),1,2,1,1,0,0,0,1,8,8,12.2%,2018,11
12,Denver Broncos (DEN),3,2,0,0,0,0,0,1,7,7,44.1%,2018,11
13,Detroit Lions (DET),3,1,0,0,0,0,0,1,6,6,1.1%,2018,11
14,Dallas Cowboys (DAL),3,1,0,0,0,0,0,1,6,6,73.8%,2018,11
15,Green Bay Packers (GB),3,0,1,2,0,0,0,1,5,5,75.5%,2018,11
16,Las Vegas Raiders (LV),1,2,0,0,0,0,0,1,5,5,6.4%,2018,11
17,Seattle Seahawks (SEA),5,0,0,0,0,0,0,1,5,5,5.1%,2018,11
18,Arizona Cardinals (ARI),4,0,0,0,0,0,0,1,4,4,14.4%,2018,11
19,Cincinnati Bengals (CIN),2,1,0,0,0,0,0,1,4,4,22.4%,2018,11
20,Tampa Bay Buccaneers (TB),4,0,0,1,0,0,0,1,3,3,95.4%,2018,11
21,Atlanta Falcons (ATL),2,0,0,1,0,0,0,1,2,2,0.5%,2018,11
22,Carolina Panthers (CAR),1,0,0,0,0,0,0,1,2,2,6.1%,2018,11
23,Baltimore Ravens (BAL),1,0,0,0,0,0,0,1,1,1,44.1%,2018,11
27,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,1,0,0,52.5%,2018,11
31,Philadelphia Eagles (PHI),0,0,0,0,0,0,0,1,-4,-4,40.7%,2018,11
32,Tennessee Titans (TEN),0,0,0,1,0,0,0,1,-4,-4,8.1%,2018,11
