Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Houston Texans (HOU),0,3,1,1,1,0,0,1,18,18,3.8%,2018,13
2,New York Giants (NYG),5,2,1,2,1,0,0,1,17,17,1.8%,2018,13
3,Jacksonville Jaguars (JAC),3,1,1,1,0,0,0,1,17,17,1.0%,2018,13
4,Seattle Seahawks (SEA),3,1,2,1,1,0,0,1,16,16,5.1%,2018,13
5,Baltimore Ravens (BAL),3,0,1,2,1,0,0,1,15,15,44.1%,2018,13
6,New Orleans Saints (NO),7,0,2,3,0,0,0,1,15,15,80.6%,2018,13
7,Denver Broncos (DEN),4,1,2,1,0,0,0,1,14,14,44.1%,2018,13
8,Tampa Bay Buccaneers (TB),4,4,0,0,0,0,0,1,13,13,95.4%,2018,13
9,Indianapolis Colts (IND),3,0,1,2,0,0,0,1,12,12,57.4%,2018,13
10,New York Jets (NYJ),3,1,0,1,1,0,0,1,11,11,2.0%,2018,13
11,Atlanta Falcons (ATL),2,0,1,3,1,0,0,1,11,11,0.5%,2018,13
12,New England Patriots (NE),2,2,0,0,0,0,0,1,10,10,46.6%,2018,13
13,Philadelphia Eagles (PHI),3,1,0,2,0,0,0,1,9,9,40.7%,2018,13
14,Miami Dolphins (MIA),2,2,1,1,0,0,0,1,9,9,58.2%,2018,13
15,Los Angeles Rams (LAR),4,1,1,1,0,0,0,1,9,9,69.6%,2018,13
16,Kansas City Chiefs (KC),3,0,3,4,0,0,0,1,8,8,41.6%,2018,13
17,Dallas Cowboys (DAL),2,1,0,2,0,0,0,1,8,8,73.8%,2018,13
18,Carolina Panthers (CAR),4,0,1,0,0,0,0,1,6,6,6.1%,2018,13
19,Detroit Lions (DET),2,1,1,1,0,0,0,1,5,5,1.1%,2018,13
20,Tennessee Titans (TEN),2,1,0,0,0,0,0,1,5,5,8.1%,2018,13
21,Chicago Bears (CHI),3,1,0,0,0,0,0,1,5,5,2.9%,2018,13
22,Buffalo Bills (BUF),3,1,0,0,0,0,0,1,5,5,99.6%,2018,13
23,Cleveland Browns (CLE),4,0,0,1,0,0,0,1,4,4,21.9%,2018,13
24,Cincinnati Bengals (CIN),2,0,1,1,0,0,0,1,4,4,22.4%,2018,13
25,Green Bay Packers (GB),2,0,0,1,0,0,0,1,3,3,75.5%,2018,13
26,Arizona Cardinals (ARI),1,0,0,0,0,0,0,1,2,2,14.4%,2018,13
27,Los Angeles Chargers (LAC),1,1,0,0,0,0,1,1,2,2,52.5%,2018,13
28,Minnesota Vikings (MIN),0,1,0,0,0,0,0,1,2,2,12.2%,2018,13
29,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,1,1,23.6%,2018,13
30,Washington Commanders (WAS),0,1,0,2,0,0,0,1,1,1,40.4%,2018,13
31,San Francisco 49ers (SF),3,0,0,0,0,0,0,1,-1,-1,83.9%,2018,13
32,Las Vegas Raiders (LV),0,0,1,1,0,0,0,1,-2,-2,6.4%,2018,13
