Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Derrick Henry (TEN),20,143,7.2,76,0,3,2,3,13,6.5,0,0,1,35.6,35.6,99.8%,2021,6
2,Leonard Fournette (TB),22,81,3.7,20,0,2,6,6,46,7.7,0,0,1,30.7,30.7,99.7%,2021,6
3,Jonathan Taylor (IND),14,145,10.4,83,0,2,1,2,13,13,0,0,1,28.8,28.8,99.9%,2021,6
4,Joe Mixon (CIN),18,94,5.2,18,0,0,5,6,59,11.8,1,0,1,26.3,26.3,99.8%,2021,6
5,Darrell Henderson Jr. (LAR),21,78,3.7,10,0,1,2,3,29,14.5,1,0,1,24.7,24.7,59.8%,2021,6
6,Najee Harris (PIT),24,81,3.4,10,0,0,6,7,46,7.7,1,0,1,24.7,24.7,99.8%,2021,6
7,Darrel Williams (KC),21,62,3,11,0,2,3,4,27,9,0,0,1,23.9,23.9,1.7%,2021,6
8,Dalvin Cook (MIN),29,140,4.8,23,0,1,2,2,3,1.5,0,0,1,22.3,22.3,99.9%,2021,6
9,Kenyan Drake (LV),4,34,8.5,18,0,1,2,2,39,19.5,1,0,1,21.3,21.3,24.7%,2021,6
10,Aaron Jones (GB),13,76,5.8,28,0,0,4,4,34,8.5,1,0,1,21,21,99.5%,2021,6
11,Khalil Herbert (CHI),19,97,5.1,25,0,1,2,3,15,7.5,0,0,1,19.2,19.2,11.4%,2021,6
12,James Robinson (JAC),17,73,4.3,24,0,1,3,4,28,9.3,0,0,1,19.1,19.1,81.2%,2021,6
13,J.D. McKissic (WAS),8,45,5.6,11,0,0,8,10,65,8.1,0,0,1,19,19,65.5%,2021,6
14,Ezekiel Elliott (DAL),17,69,4.1,21,0,0,7,9,50,7.1,0,0,1,18.9,18.9,96.8%,2021,6
15,Damien Harris (NE),18,101,5.6,21,0,1,1,1,7,7,0,0,1,17.8,17.8,91.9%,2021,6
16,D'Andre Swift (DET),13,24,1.8,9,0,1,5,7,43,8.6,0,0,1,17.7,17.7,99.5%,2021,6
17,Alex Collins (FA),20,101,5.1,21,0,1,1,1,-3,-3,0,0,1,16.8,16.8,9.6%,2021,6
18,Chris Evans (CIN),4,18,4.5,6,0,0,3,3,49,16.3,1,0,1,15.7,15.7,1.2%,2021,6
19,Rhamondre Stevenson (NE),5,23,4.6,11,0,1,3,3,39,13,0,0,1,15.2,15.2,84.2%,2021,6
20,Josh Jacobs (LV),16,53,3.3,6,0,1,1,1,29,29,0,0,1,15.2,15.2,98.3%,2021,6
21,Latavius Murray (FA),9,44,4.9,14,0,1,2,2,12,6,0,0,1,13.6,13.6,0.8%,2021,6
22,Chuba Hubbard (CAR),16,61,3.8,9,0,1,1,3,4,4,0,0,1,13.5,13.5,7.1%,2021,6
23,Devonta Freeman (FA),9,53,5.9,16,0,1,0,2,0,0,0,0,1,11.3,11.3,0.8%,2021,6
24,Devontae Booker (FA),12,41,3.4,14,0,0,4,4,28,7,0,0,1,10.9,10.9,0.5%,2021,6
25,Kareem Hunt (CLE),14,66,4.7,17,0,0,3,3,12,4,0,0,1,10.8,10.8,91.2%,2021,6
26,Melvin Gordon III (DEN),10,50,5,10,0,0,3,3,23,7.7,0,0,1,10.3,10.3,85.3%,2021,6
27,Mark Ingram II (NO),18,73,4.1,24,0,0,2,2,8,4,0,0,1,10.1,10.1,5.6%,2021,6
28,DeeJay Dallas (SEA),4,17,4.3,10,0,0,5,5,33,6.6,0,0,1,10,10,0.6%,2021,6
29,Javonte Williams (DEN),11,53,4.8,30,0,0,3,3,15,5,0,0,1,9.8,9.8,99.4%,2021,6
30,Austin Ekeler (LAC),6,7,1.2,5,0,0,4,7,48,12,0,0,1,9.5,9.5,99.9%,2021,6
31,Devin Singletary (BUF),5,27,5.4,14,0,0,5,5,16,3.2,0,0,1,9.3,9.3,92.8%,2021,6
32,Tony Pollard (DAL),10,41,4.1,9,0,0,3,3,22,7.3,0,0,1,9.3,9.3,90.4%,2021,6
33,Miles Sanders (PHI),9,56,6.2,23,0,0,2,4,10,5,0,0,1,8.6,8.6,91.9%,2021,6
34,Elijhaa Penny (NYG),3,15,5,6,0,1,1,2,1,1,0,0,1,8.6,8.6,0.0%,2021,6
35,James Conner (ARI),16,71,4.4,16,0,0,1,1,0,0,0,0,1,8.1,8.1,98.7%,2021,6
36,Chase Edmonds (MIA),4,46,11.5,40,0,0,3,4,4,1.3,0,0,1,8,8,90.2%,2021,6
37,Le'Veon Bell (FA),8,18,2.3,7,0,1,0,0,0,0,0,0,1,7.8,7.8,0.3%,2021,6
38,Phillip Lindsay (MIA),7,39,5.6,35,0,0,2,2,15,7.5,0,0,1,7.4,7.4,0.7%,2021,6
39,Travis Homer (SEA),2,27,13.5,26,0,0,1,1,27,27,0,0,1,6.4,6.4,0.2%,2021,6
40,Zack Moss (BUF),8,24,3,7,0,0,2,4,15,7.5,0,0,1,5.9,5.9,4.8%,2021,6
41,AJ Dillon (GB),11,59,5.4,36,0,0,0,0,0,0,0,0,1,5.9,5.9,89.0%,2021,6
42,Salvon Ahmed (MIA),7,22,3.1,5,0,0,1,2,15,15,0,0,1,4.7,4.7,0.3%,2021,6
43,Antonio Gibson (WAS),10,44,4.4,15,0,0,2,3,0,0,0,1,1,4.4,4.4,98.3%,2021,6
44,Sony Michel (MIA),9,42,4.7,15,0,0,0,0,0,0,0,0,1,4.2,4.2,31.3%,2021,6
45,Malcolm Brown (MIA),5,24,4.8,16,0,0,1,1,7,7,0,0,1,4.1,4.1,0.1%,2021,6
46,Ronald Jones II (KC),5,20,4,9,0,0,1,1,9,9,0,0,1,3.9,3.9,86.4%,2021,6
47,Demetric Felton Jr. (CLE),0,0,0,0,0,0,2,2,14,7,0,0,1,3.4,3.4,0.3%,2021,6
48,Myles Gaskin (MIA),5,9,1.8,4,0,0,2,6,5,2.5,0,0,1,3.4,3.4,23.6%,2021,6
49,Nyheim Hines (IND),4,13,3.3,7,0,0,1,2,9,9,0,0,1,3.2,3.2,51.7%,2021,6
50,C.J. Ham (MIN),1,30,30,30,0,0,0,0,0,0,0,0,1,3,3,0.2%,2021,6
51,Jerick McKinnon (FA),3,10,3.3,5,0,0,1,4,5,5,0,0,1,2.5,2.5,28.6%,2021,6
52,Giovani Bernard (TB),0,0,0,0,0,0,2,2,4,2,0,0,1,2.4,2.4,0.9%,2021,6
53,Jamaal Williams (DET),4,11,2.8,6,0,0,1,2,-2,-2,0,0,1,1.9,1.9,47.8%,2021,6
54,D'Ernest Johnson (CLE),1,2,2,2,0,0,1,1,7,7,0,0,1,1.9,1.9,16.7%,2021,6
55,Justin Jackson (FA),0,0,0,0,0,0,1,1,7,7,0,0,1,1.7,1.7,0.8%,2021,6
