Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
82,Mekhi Sargent (JAC),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2021,3
93,Reggie Gilliam (BUF),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0%,2021,3
118,Trenton Cannon (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2021,3
119,Jordan Wilkins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
132,Kylin Hill (GB),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3%,2021,3
139,DeeJay Dallas (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2021,3
142,Cullen Gillaspia (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,3
158,Nick Ralston (DAL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
161,Tory Carter (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,3
203,Jason Cabinda (DET),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
205,Khalil Herbert (CHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.4%,2021,3
213,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2021,3
232,Patrick Ricard (BAL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
236,Justin Jackson (FA),2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8%,2021,3
241,Corey Clement (FA),3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1.0%,2021,3
248,Damien Williams (ATL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9%,2021,3
252,Ty Montgomery (NE),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
256,Keith Smith (ATL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
