Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Zach Ertz (ARI),14,16,145,10.4,23,2,2,0,0,0,0,1,40.5,40.5,92.4%,2018,10
2,Eric Ebron (FA),3,3,69,23,53,1,2,1,2,1,0,1,28.1,28.1,0.1%,2018,10
3,Austin Hooper (TEN),10,11,56,5.6,10,0,1,0,0,0,0,1,21.6,21.6,12.8%,2018,10
4,George Kittle (SF),9,10,83,9.2,22,1,0,0,0,0,0,1,17.3,17.3,98.5%,2018,10
5,Vance McDonald (FA),4,4,44,11,19,0,1,0,0,0,0,1,14.4,14.4,0.0%,2018,10
6,Jonnu Smith (NE),3,3,45,15,29,1,1,0,0,0,0,1,13.5,13.5,2.1%,2018,10
7,Tyler Higbee (LAR),3,3,25,8.3,10,0,1,0,0,0,0,1,11.5,11.5,40.0%,2018,10
8,Mo Alie-Cox (IND),2,4,28,14,27,1,1,0,0,0,0,1,10.8,10.8,3.9%,2018,10
9,Travis Kelce (KC),6,7,46,7.7,10,0,0,0,0,0,0,1,10.6,10.6,99.9%,2018,10
10,Ricky Seals-Jones (NYG),5,9,51,10.2,21,1,0,0,0,0,0,1,10.1,10.1,0.7%,2018,10
11,Trey Burton (FA),4,4,40,10,24,1,0,0,0,0,0,1,10,10,0.0%,2018,10
12,James O'Shaughnessy (CHI),5,6,46,9.2,17,0,0,0,0,0,0,1,9.6,9.6,0.2%,2018,10
13,Gerald Everett (LAC),2,2,15,7.5,10,0,1,0,0,0,0,1,9.5,9.5,19.5%,2018,10
14,Jared Cook (FA),4,9,52,13,31,1,0,0,0,0,0,1,9.2,9.2,1.2%,2018,10
15,Jordan Reed (FA),4,6,51,12.8,24,1,0,0,0,0,0,1,9.1,9.1,19.0%,2018,10
16,Evan Engram (JAC),4,5,46,11.5,31,1,0,0,0,0,0,1,8.6,8.6,16.6%,2018,10
17,Greg Olsen (FA),4,6,40,10,14,0,0,0,0,0,0,1,8,8,7.0%,2018,10
18,Nick Vannett (NO),1,2,8,8,8,0,1,0,0,0,0,1,7.8,7.8,0.0%,2018,10
19,Jesse James (FA),1,1,8,8,8,0,1,0,0,0,0,1,7.8,7.8,0.0%,2018,10
20,Jack Doyle (FA),3,3,36,12,20,1,0,0,0,0,0,1,6.6,6.6,1.1%,2018,10
21,Chris Herndon IV (NO),3,4,34,11.3,22,1,0,0,0,0,0,1,6.4,6.4,0.0%,2018,10
22,C.J. Uzomah (NYJ),3,4,23,7.7,10,0,0,0,0,0,0,1,5.3,5.3,3.3%,2018,10
23,Virgil Green (FA),2,3,30,15,23,1,0,0,0,0,0,1,5,5,0.0%,2018,10
