Player,FPMD,NFLMD1,NFLMD2,NFLMD3
Gabriel Davis (BUF),7,7,12,11
Darrel Williams (ARI),NA,NA,NA,NA
Jared Goff (DET),NA,NA,NA,NA
Jamaal Williams (DET),NA,NA,NA,NA
Miami Dolphins (MIA),NA,NA,11,NA
Gerald Everett (LAC),NA,NA,NA,NA
D'Onta Foreman (CAR),NA,NA,NA,NA
Daniel Jones (NYG),NA,NA,NA,NA
Nick Folk (NE),NA,11,10,15
Baker Mayfield (CAR),NA,NA,NA,NA
Tampa Bay Buccaneers (TB),11,8,8,11
K.J. Osborn (MIN),NA,NA,NA,NA
Jerry Jeudy (DEN),5,11,11,7
Gardner Minshew II (PHI),NA,NA,NA,NA
Van Jefferson (LAR),14,13,13,13
Tyler Bass (BUF),14,8,8,11
Evan Engram (JAC),NA,NA,15,NA
Rodrigo Blankenship (IND),NA,NA,NA,NA
Younghoe Koo (ATL),15,8,8,11
Mark Ingram II (NO),NA,NA,NA,NA
Chris Boswell (PIT),NA,NA,NA,NA
Trevor Lawrence (JAC),NA,NA,NA,NA
Mac Jones (NE),NA,NA,NA,NA
Cole Kmet (CHI),12,NA,NA,NA
Randall Cobb (GB),NA,NA,NA,NA
Robbie Gould (SF),NA,NA,NA,NA
Pittsburgh Steelers (PIT),NA,15,NA,NA
Raheem Mostert (MIA),14,14,14,15
Mike Davis (BAL),NA,NA,NA,NA
James Cook (BUF),12,NA,NA,14
Chris Olave (NO),11,NA,NA,12
Nyheim Hines (IND),13,NA,NA,10
Emmanuel Sanders (BUF),NA,NA,NA,NA
Dustin Hopkins (LAC),15,NA,NA,NA
Matt Prater (ARI),NA,9,9,15
Duke Johnson Jr. (BUF),NA,NA,NA,NA
Austin Hooper (TEN),NA,NA,NA,NA
Mecole Hardman (KC),NA,NA,NA,14
Kansas City Chiefs (KC),NA,NA,14,NA
Teddy Bridgewater (MIA),NA,NA,NA,NA
Greg Joseph (MIN),NA,NA,NA,NA
Ronald Jones II (KC),13,13,13,15
Wil Lutz (NO),NA,NA,NA,NA
Taysom Hill (NO),NA,NA,NA,NA
Myles Gaskin (MIA),NA,15,15,NA
Zach Wilson (NYJ),NA,NA,NA,NA
Tyler Conklin (NYJ),NA,NA,NA,NA
San Francisco 49ers (SF),14,9,8,13
Cedrick Wilson Jr. (MIA),NA,NA,NA,NA
James O'Shaughnessy (CHI),NA,NA,NA,NA
Keke Coutee (IND),NA,NA,NA,NA
Justin Fields (CHI),NA,15,14,NA
Skyy Moore (KC),11,NA,NA,15
Christian Watson (GB),13,NA,NA,NA
Riley Patterson (DET),NA,NA,NA,NA
Kenny Golladay (NYG),NA,NA,NA,NA
Jimmy Garoppolo (SF),NA,NA,NA,NA
Kadarius Toney (NYG),11,15,NA,NA
Sony Michel (MIA),NA,NA,NA,NA
Joey Slye (WAS),NA,NA,NA,NA
Ryan Succop (TB),15,9,9,14
Arizona Cardinals (ARI),NA,NA,NA,NA
Giovani Bernard (TB),NA,NA,NA,NA
Tyrod Taylor (NYG),NA,NA,NA,NA
Cyril Grayson Jr. (TB),NA,NA,NA,NA
Jacoby Brissett (CLE),NA,NA,NA,NA
Davis Mills (HOU),NA,NA,NA,NA
Zane Gonzalez (CAR),NA,NA,NA,NA
Brandon McManus (DEN),NA,NA,NA,15
Minnesota Vikings (MIN),NA,NA,NA,NA
Taylor Heinicke (WAS),NA,NA,NA,NA
Randy Bullock (TEN),NA,NA,NA,NA
Chuba Hubbard (CAR),NA,13,14,NA
Dontrell Hilliard (TEN),NA,NA,NA,NA
Jason Sanders (MIA),NA,NA,NA,NA
Sterling Shepard (NYG),NA,NA,NA,NA
Rondale Moore (ARI),NA,NA,NA,NA
Isaiah Spiller (LAC),12,NA,NA,NA
Dameon Pierce (HOU),NA,NA,NA,NA
Rachaad White (TB),NA,NA,NA,NA
Jahan Dotson (WAS),NA,NA,NA,NA
Jameson Williams (DET),NA,NA,NA,NA
Michael Badgley (FA),NA,NA,NA,NA
A.J. Green (ARI),NA,NA,NA,NA
O.J. Howard (BUF),NA,NA,NA,NA
Seattle Seahawks (SEA),NA,NA,NA,NA
Kendrick Bourne (NE),NA,NA,NA,NA
Mason Crosby (GB),NA,NA,NA,NA
Denver Broncos (DEN),NA,15,NA,14
Trevor Siemian (CHI),NA,NA,NA,NA
Brett Maher (FA),NA,NA,NA,NA
Michael Gallup (DAL),12,13,13,13
Green Bay Packers (GB),15,NA,NA,NA
Baltimore Ravens (BAL),NA,NA,NA,NA
Marquez Valdes-Scantling (KC),11,NA,NA,NA
Boston Scott (PHI),NA,NA,NA,NA
Andy Dalton (NO),NA,NA,NA,NA
Jonnu Smith (NE),NA,NA,NA,NA
D'Ernest Johnson (CLE),NA,NA,NA,NA
Quintez Cephus (DET),NA,NA,NA,NA
Nick Mullens (LV),NA,NA,NA,NA
Philadelphia Eagles (PHI),NA,NA,NA,NA
Laviska Shenault Jr. (JAC),NA,NA,NA,NA
Chicago Bears (CHI),NA,NA,NA,NA
Sammy Watkins (GB),NA,NA,NA,NA
Eddy Pineiro (NYJ),NA,NA,NA,NA
Rex Burkhead (HOU),NA,NA,NA,NA
Kenneth Gainwell (PHI),13,NA,NA,13
Antonio Brown (FA),NA,NA,NA,NA
Nelson Agholor (NE),NA,NA,NA,NA
Brandon Bolden (LV),NA,NA,NA,NA
Calvin Ridley (ATL),NA,NA,NA,15
Jake Elliott (PHI),NA,NA,NA,NA
Tennessee Titans (TEN),NA,NA,NA,NA
Washington Commanders (WAS),NA,NA,NA,NA
Phillip Lindsay (IND),NA,NA,NA,NA
Graham Gano (NYG),NA,NA,NA,NA
Kalif Raymond (DET),NA,NA,NA,NA
Zack Moss (BUF),NA,NA,NA,NA
Donovan Peoples-Jones (CLE),NA,NA,NA,NA
Gus Edwards (BAL),NA,NA,NA,NA
Albert Okwuegbunam (DEN),NA,NA,NA,NA
Byron Pringle (CHI),NA,NA,NA,NA
Sam Darnold (CAR),NA,NA,NA,NA
Cairo Santos (CHI),NA,NA,NA,NA
John Metchie III (HOU),NA,NA,NA,NA
Keelan Cole Sr. (LV),NA,NA,NA,NA
Jason Myers (SEA),NA,NA,NA,NA
Zay Jones (JAC),NA,NA,NA,NA
C.J. Uzomah (NYJ),NA,NA,NA,NA
Cleveland Browns (CLE),NA,NA,NA,NA
Marquez Callaway (NO),NA,NA,NA,NA
Jeff Wilson Jr. (SF),NA,NA,NA,NA
KJ Hamler (DEN),NA,NA,NA,NA
Dan Arnold (JAC),NA,NA,NA,NA
Nick Foles (IND),NA,NA,NA,NA
Tre'Quan Smith (NO),NA,NA,NA,NA
Deonte Harty (NO),NA,NA,NA,NA
Travis Fulgham (DEN),NA,NA,NA,NA
Alexander Mattison (MIN),13,13,13,14
Joe Flacco (NYJ),NA,NA,NA,NA
Preston Williams (MIA),NA,NA,NA,NA
Jalen Reagor (PHI),NA,NA,NA,NA
Tyler Huntley (BAL),NA,NA,NA,NA
Dante Pettis (CHI),NA,NA,NA,NA
Ty Johnson (NYJ),NA,NA,NA,NA
Adam Trautman (NO),NA,NA,NA,NA
Greg Ward (PHI),NA,NA,NA,NA
Carolina Panthers (CAR),NA,NA,NA,NA
Breshad Perriman (TB),NA,NA,NA,NA
New York Giants (NYG),NA,NA,NA,NA
Craig Reynolds (DET),NA,NA,NA,NA
Ricky Seals-Jones (NYG),NA,NA,NA,NA
Derrick Gore (KC),NA,NA,NA,NA
Jordan Akins (NYG),NA,NA,NA,NA
Cincinnati Bengals (CIN),NA,NA,NA,NA
Josh Reynolds (DET),NA,NA,NA,NA
