Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Amari Cooper (CLE),13,17,139,10.7,28,0,2,0,0,0,0,1,38.9,38.9,95.6%,2021,1
2,Tyreek Hill (MIA),11,15,197,17.9,75,0,1,1,4,0,0,1,37.1,37.1,99.9%,2021,1
3,Deebo Samuel (SF),9,12,189,21,79,0,1,0,0,0,1,1,31.9,31.9,99.8%,2021,1
4,Adam Thielen (MIN),9,10,92,10.2,24,0,2,0,0,0,0,1,30.2,30.2,90.9%,2021,1
5,Corey Davis (NYJ),5,7,97,19.4,35,0,2,0,0,0,0,1,26.7,26.7,55.8%,2021,1
6,DeAndre Hopkins (ARI),6,8,83,13.8,38,0,2,0,0,0,0,1,26.3,26.3,96.4%,2021,1
7,Tyler Lockett (SEA),4,5,100,25,69,0,2,0,0,0,0,1,26,26,92.2%,2021,1
8,Sterling Shepard (NYG),7,9,113,16.1,37,0,1,0,0,0,0,1,24.3,24.3,25.6%,2021,1
9,Christian Kirk (JAC),5,5,70,14,26,0,2,0,0,0,0,1,24,24,87.4%,2021,1
10,Cooper Kupp (LAR),7,10,108,15.4,56,0,1,0,0,0,0,1,23.8,23.8,99.9%,2021,1
11,Antonio Brown (FA),5,7,121,24.2,47,0,1,1,6,0,0,1,23.7,23.7,4.8%,2021,1
12,Chris Godwin (TB),9,13,105,11.7,24,0,1,0,0,0,1,1,23.5,23.5,94.4%,2021,1
13,CeeDee Lamb (DAL),7,15,104,14.9,31,0,1,0,0,0,0,1,23.4,23.4,99.7%,2021,1
14,Mike Williams (LAC),8,12,82,10.3,20,0,1,0,0,0,0,1,22.2,22.2,94.9%,2021,1
15,Ja'Marr Chase (CIN),5,7,101,20.2,50,0,1,1,-2,0,0,1,20.9,20.9,99.9%,2021,1
16,Zach Pascal (PHI),4,5,43,10.8,16,0,2,0,0,0,0,1,20.3,20.3,0.8%,2021,1
17,Jarvis Landry (FA),5,5,71,14.2,32,0,0,2,13,1,0,1,19.4,19.4,66.0%,2021,1
18,Marquise Brown (ARI),6,6,69,11.5,29,0,1,1,5,0,0,1,19.4,19.4,95.4%,2021,1
19,DeVonta Smith (PHI),6,8,71,11.8,19,0,1,0,0,0,0,1,19.1,19.1,91.2%,2021,1
20,Keenan Allen (LAC),9,13,100,11.1,17,0,0,0,0,0,0,1,19,19,99.4%,2021,1
21,Marvin Jones Jr. (JAC),5,9,77,15.4,33,0,1,0,0,0,0,1,18.7,18.7,30.1%,2021,1
22,Brandin Cooks (HOU),5,7,132,26.4,52,0,0,0,0,0,0,1,18.2,18.2,94.7%,2021,1
23,Nelson Agholor (NE),5,7,72,14.4,25,0,1,0,0,0,0,1,18.2,18.2,1.4%,2021,1
24,D.J. Chark Jr. (DET),3,12,86,28.7,41,0,1,0,0,0,0,1,17.6,17.6,64.9%,2021,1
25,Jalen Reagor (PHI),6,6,49,8.2,23,0,1,0,0,0,0,1,16.9,16.9,1.0%,2021,1
26,Jaylen Waddle (MIA),4,5,61,15.3,36,0,1,0,0,0,0,1,16.1,16.1,98.6%,2021,1
27,DK Metcalf (SEA),4,5,60,15,30,0,1,0,0,0,0,1,16,16,98.3%,2021,1
28,Van Jefferson (LAR),2,3,80,40,67,0,1,0,0,0,0,1,16,16,32.8%,2021,1
29,Stefon Diggs (BUF),9,13,69,7.7,13,0,0,0,0,0,0,1,15.9,15.9,99.9%,2021,1
30,Tee Higgins (CIN),4,5,58,14.5,28,0,1,0,0,0,0,1,15.8,15.8,98.4%,2021,1
31,DJ Moore (CAR),6,8,80,13.3,27,0,0,1,14,0,0,1,15.4,15.4,97.6%,2021,1
32,Deonte Harty (NO),2,2,72,36,55,0,1,0,0,0,0,1,15.2,15.2,0.7%,2021,1
33,A.J. Brown (PHI),4,8,49,12.3,19,0,1,0,0,0,0,1,14.9,14.9,99.4%,2021,1
34,Diontae Johnson (PIT),5,10,36,7.2,14,0,1,0,0,0,0,1,14.6,14.6,98.1%,2021,1
35,K.J. Osborn (MIN),7,9,76,10.9,25,0,0,0,0,0,0,1,14.6,14.6,13.4%,2021,1
36,Danny Amendola (FA),5,5,34,6.8,8,0,1,0,0,0,0,1,14.4,14.4,0.0%,2021,1
37,Cole Beasley (FA),8,13,60,7.5,12,0,0,0,0,0,0,1,14,14,1.5%,2021,1
38,Tim Patrick (DEN),4,4,39,9.8,16,0,1,0,0,0,0,1,13.9,13.9,39.3%,2021,1
39,Sammy Watkins (GB),4,8,96,24,49,0,0,0,0,0,0,1,13.6,13.6,6.1%,2021,1
40,Jerry Jeudy (DEN),6,7,72,12,20,0,0,0,0,0,0,1,13.2,13.2,93.6%,2021,1
41,Hunter Renfrow (LV),6,9,70,11.7,27,0,0,0,0,0,0,1,13,13,91.5%,2021,1
42,Laviska Shenault Jr. (JAC),7,10,50,7.1,14,0,0,1,9,0,0,1,12.9,12.9,1.8%,2021,1
43,Robby Anderson (CAR),1,3,57,57,57,0,1,0,0,0,0,1,12.7,12.7,23.2%,2021,1
44,Zay Jones (JAC),2,2,46,23,31,0,1,0,0,0,0,1,12.6,12.6,1.0%,2021,1
45,Justin Jefferson (MIN),5,9,71,14.2,34,0,0,0,0,0,0,1,12.5,12.5,99.9%,2021,1
46,Robert Woods (TEN),3,4,27,9,19,0,1,1,7,0,0,1,12.4,12.4,86.5%,2021,1
47,Quintez Cephus (DET),3,6,12,4,7,0,1,0,0,0,0,1,12.2,12.2,0.7%,2021,1
48,DeVante Parker (NE),4,7,81,20.3,30,0,0,0,0,0,0,1,12.1,12.1,55.0%,2021,1
49,Bryan Edwards (LV),4,5,81,20.3,32,0,0,0,0,0,0,1,12.1,12.1,1.1%,2021,1
50,Gabriel Davis (BUF),2,5,40,20,37,0,1,0,0,0,0,1,12,12,90.5%,2021,1
51,Anthony Schwartz (CLE),3,5,69,23,44,0,0,1,17,0,0,1,11.6,11.6,1.1%,2021,1
52,Rondale Moore (ARI),4,5,68,17,29,0,0,0,0,0,0,1,10.8,10.8,63.7%,2021,1
53,Davante Adams (LV),5,7,56,11.2,31,0,0,0,0,0,0,1,10.6,10.6,99.9%,2021,1
54,Kenny Golladay (NYG),4,6,64,16,17,0,0,0,0,0,0,1,10.4,10.4,58.2%,2021,1
55,Jakobi Meyers (NE),6,9,44,7.3,22,0,0,0,0,0,0,1,10.4,10.4,80.6%,2021,1
56,Trent Sherfield (MIA),2,3,23,11.5,18,0,1,0,0,0,0,1,10.3,10.3,0.1%,2021,1
57,Terry McLaurin (WAS),4,4,62,15.5,34,0,0,0,0,0,0,1,10.2,10.2,97.4%,2021,1
58,Chester Rogers (FA),4,6,62,15.5,39,0,0,0,0,0,0,1,10.2,10.2,1.0%,2021,1
59,Calvin Ridley (ATL),5,8,51,10.2,16,0,0,0,0,0,0,1,10.1,10.1,2.0%,2021,1
60,Braxton Berrios (NYJ),5,7,51,10.2,25,0,0,0,0,0,0,1,10.1,10.1,16.8%,2021,1
61,Chase Claypool (PIT),3,5,45,15,22,0,0,1,25,0,0,1,10,10,89.1%,2021,1
62,Darius Slayton (NYG),3,7,65,21.7,42,0,0,0,0,0,0,1,9.5,9.5,9.1%,2021,1
63,Allen Robinson II (LAR),6,11,35,5.8,9,0,0,0,0,0,0,1,9.5,9.5,90.6%,2021,1
64,JuJu Smith-Schuster (KC),4,8,52,13,24,0,0,0,0,0,0,1,9.2,9.2,93.9%,2021,1
65,Emmanuel Sanders (BUF),4,8,52,13,16,0,0,0,0,0,0,1,9.2,9.2,1.9%,2021,1
66,Kalif Raymond (DET),3,4,50,16.7,25,0,0,1,9,0,0,1,8.9,8.9,0.7%,2021,1
67,Marquise Goodwin (FA),4,4,45,11.3,19,0,0,1,-2,0,0,1,8.3,8.3,0.1%,2021,1
68,Chris Hogan (FA),1,1,10,10,10,0,1,0,0,0,0,1,8,8,0.0%,2021,1
69,Jalen Guyton (LAC),3,5,49,16.3,22,0,0,0,0,0,0,1,7.9,7.9,0.8%,2021,1
70,Darnell Mooney (CHI),5,7,26,5.2,9,0,0,0,0,0,0,1,7.6,7.6,93.0%,2021,1
71,Michael Gallup (DAL),4,7,36,9,12,0,0,0,0,0,0,1,7.6,7.6,85.0%,2021,1
72,KJ Hamler (DEN),3,4,41,13.7,22,0,0,0,0,0,0,1,7.1,7.1,1.0%,2021,1
73,Henry Ruggs III (FA),2,5,46,23,37,0,0,0,0,0,0,1,6.6,6.6,10.9%,2021,1
74,Tyler Boyd (CIN),3,4,32,10.7,18,0,0,0,0,0,0,1,6.2,6.2,66.3%,2021,1
75,KJ Hill Jr. (FA),3,3,30,10,19,0,0,0,0,0,0,1,6,6,0.0%,2021,1
76,Michael Pittman Jr. (IND),3,4,29,9.7,14,0,0,0,0,0,0,1,5.9,5.9,97.9%,2021,1
77,Julio Jones (FA),3,6,29,9.7,10,0,0,0,0,0,0,1,5.9,5.9,14.2%,2021,1
78,Terrace Marshall Jr. (CAR),3,6,26,8.7,11,0,0,0,0,0,0,1,5.6,5.6,1.3%,2021,1
79,Mike Evans (TB),3,6,24,8,10,0,0,0,0,0,0,1,5.4,5.4,99.1%,2021,1
80,Cedrick Wilson Jr. (MIA),3,3,24,8,13,0,0,0,0,0,0,1,5.4,5.4,1.4%,2021,1
81,Quez Watkins (PHI),3,3,23,7.7,11,0,0,0,0,0,0,1,5.3,5.3,0.6%,2021,1
82,Denzel Mims (NYJ),1,1,40,40,40,0,0,0,0,0,0,1,5,5,0.5%,2021,1
83,Trinity Benson (DET),3,6,19,6.3,11,0,0,0,0,0,0,1,4.9,4.9,0.0%,2021,1
84,Damiere Byrd (ATL),3,3,19,6.3,10,0,0,0,0,0,0,1,4.9,4.9,0.2%,2021,1
