Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,A.J. Brown (PHI),10,11,155,15.5,57,0,1,0,0,0,0,1,31.5,31.5,99.4%,2021,8
3,A.J. Brown (PHI),11,16,145,13.2,42,0,1,0,0,0,0,1,31.5,31.5,99.4%,2021,16
4,A.J. Brown (PHI),8,9,133,16.6,46,0,1,0,0,0,0,1,27.3,27.3,99.4%,2021,7
28,A.J. Brown (PHI),4,6,68,17,24,0,1,0,0,0,0,1,16.8,16.8,99.4%,2021,18
20,A.J. Brown (PHI),7,9,91,13,22,0,0,0,0,0,0,1,16.1,16.1,99.4%,2021,6
33,A.J. Brown (PHI),4,8,49,12.3,19,0,1,0,0,0,0,1,14.9,14.9,99.4%,2021,1
38,A.J. Brown (PHI),5,9,48,9.6,11,0,0,0,0,0,0,1,9.8,9.8,99.4%,2021,11
36,A.J. Brown (PHI),5,11,42,8.4,16,0,0,0,0,0,0,1,9.2,9.2,99.4%,2021,9
60,A.J. Brown (PHI),3,9,43,14.3,15,0,0,0,0,0,0,1,7.3,7.3,99.4%,2021,2
64,A.J. Brown (PHI),3,6,38,12.7,22,0,0,0,0,0,0,1,6.8,6.8,99.4%,2021,5
63,A.J. Brown (PHI),2,5,41,20.5,25,0,0,0,0,0,0,1,6.1,6.1,99.4%,2021,17
75,A.J. Brown (PHI),1,4,16,16,16,0,0,1,7,0,0,1,3.3,3.3,99.4%,2021,10
120,A.J. Brown (PHI),0,2,0,0,0,0,0,1,3,0,0,1,0.3,0.3,99.4%,2021,3
14,A.J. Green (ARI),5,6,79,15.8,34,0,1,0,0,0,0,1,18.9,18.9,5.5%,2021,6
17,A.J. Green (ARI),5,6,67,13.4,41,0,1,0,0,0,0,1,17.7,17.7,5.5%,2021,4
20,A.J. Green (ARI),7,10,102,14.6,36,0,0,0,0,0,0,1,17.2,17.2,5.5%,2021,14
22,A.J. Green (ARI),5,6,112,22.4,36,0,0,0,0,0,0,1,16.2,16.2,5.5%,2021,3
41,A.J. Green (ARI),3,6,44,14.7,29,0,1,0,0,0,0,1,13.4,13.4,5.5%,2021,2
31,A.J. Green (ARI),4,7,78,19.5,31,0,0,0,0,0,0,1,11.8,11.8,5.5%,2021,11
31,A.J. Green (ARI),4,8,64,16,27,0,0,0,0,0,0,1,10.4,10.4,5.5%,2021,15
41,A.J. Green (ARI),3,6,74,24.7,42,0,0,0,0,0,0,1,10.4,10.4,5.5%,2021,17
39,A.J. Green (ARI),5,8,50,10,23,0,0,0,0,0,0,1,10,10,5.5%,2021,8
37,A.J. Green (ARI),3,3,66,22,41,0,0,0,0,0,0,1,9.6,9.6,5.5%,2021,7
67,A.J. Green (ARI),4,9,23,5.8,9,0,0,0,0,0,0,1,6.3,6.3,5.5%,2021,18
89,A.J. Green (ARI),2,6,25,12.5,21,0,0,0,0,0,0,1,4.5,4.5,5.5%,2021,1
82,A.J. Green (ARI),1,3,33,33,33,0,0,0,0,0,0,1,4.3,4.3,5.5%,2021,16
78,A.J. Green (ARI),1,1,14,14,14,0,0,0,0,0,0,1,2.4,2.4,5.5%,2021,13
103,A.J. Green (ARI),1,2,13,13,13,0,0,0,0,0,0,1,2.3,2.3,5.5%,2021,5
98,A.J. Green (ARI),1,5,4,4,4,0,0,0,0,0,0,1,1.4,1.4,5.5%,2021,10
45,Adam Humphries (FA),7,8,44,6.3,12,0,0,0,0,0,0,1,11.4,11.4,0.6%,2021,2
41,Adam Humphries (FA),3,5,73,24.3,27,0,0,0,0,0,0,1,10.3,10.3,0.6%,2021,5
42,Adam Humphries (FA),4,5,38,9.5,12,0,0,0,0,0,0,1,7.8,7.8,0.6%,2021,13
59,Adam Humphries (FA),4,7,34,8.5,14,0,0,0,0,0,0,1,7.4,7.4,0.6%,2021,14
47,Adam Humphries (FA),3,4,36,12,17,0,0,0,0,0,0,1,6.6,6.6,0.6%,2021,7
68,Adam Humphries (FA),2,3,35,17.5,23,0,0,0,0,0,0,1,5.5,5.5,0.6%,2021,8
61,Adam Humphries (FA),3,6,23,7.7,10,0,0,0,0,0,0,1,5.3,5.3,0.6%,2021,15
64,Adam Humphries (FA),2,2,30,15,18,0,0,0,0,0,0,1,5,5,0.6%,2021,11
81,Adam Humphries (FA),2,2,14,7,8,0,0,0,0,0,0,1,3.4,3.4,0.6%,2021,12
90,Adam Humphries (FA),2,2,12,6,10,0,0,0,0,0,0,1,3.2,3.2,0.6%,2021,17
98,Adam Humphries (FA),2,2,10,5,6,0,0,0,0,0,0,1,3,3,0.6%,2021,1
92,Adam Humphries (FA),1,1,19,19,19,0,0,0,0,0,0,1,2.9,2.9,0.6%,2021,4
99,Adam Humphries (FA),2,6,4,2,6,0,0,0,0,0,0,1,2.4,2.4,0.6%,2021,16
113,Adam Humphries (FA),1,4,7,7,7,0,0,0,0,0,0,1,1.7,1.7,0.6%,2021,3
95,Adam Humphries (FA),1,1,5,5,5,0,0,0,0,0,0,1,1.5,1.5,0.6%,2021,10
105,Adam Humphries (FA),1,2,3,3,3,0,0,0,0,0,0,1,1.3,1.3,0.6%,2021,18
105,Adam Humphries (FA),1,2,-4,-4,0,0,0,0,0,0,0,1,0.6,0.6,0.6%,2021,6
4,Adam Thielen (MIN),9,10,92,10.2,24,0,2,0,0,0,0,1,30.2,30.2,90.9%,2021,1
3,Adam Thielen (MIN),11,13,126,11.5,35,0,1,1,2,0,0,1,29.8,29.8,90.9%,2021,6
3,Adam Thielen (MIN),5,7,62,12.4,29,0,2,0,0,0,0,1,23.2,23.2,90.9%,2021,12
7,Adam Thielen (MIN),8,10,82,10.3,26,0,1,0,0,0,0,1,22.2,22.2,90.9%,2021,11
13,Adam Thielen (MIN),6,9,78,13,32,0,1,0,0,0,0,1,19.8,19.8,90.9%,2021,8
21,Adam Thielen (MIN),6,9,50,8.3,21,0,1,0,0,0,0,1,17,17,90.9%,2021,3
29,Adam Thielen (MIN),6,7,39,6.5,15,0,1,0,0,0,0,1,15.9,15.9,90.9%,2021,2
34,Adam Thielen (MIN),5,7,65,13,19,0,0,0,0,0,0,1,11.5,11.5,90.9%,2021,10
42,Adam Thielen (MIN),2,7,6,3,5,0,1,0,0,0,0,1,8.6,8.6,90.9%,2021,9
63,Adam Thielen (MIN),3,8,46,15.3,22,0,0,0,0,0,0,1,7.6,7.6,90.9%,2021,4
65,Adam Thielen (MIN),3,3,40,13.3,25,0,0,0,0,0,0,1,7,7,90.9%,2021,16
70,Adam Thielen (MIN),2,3,40,20,21,0,0,0,0,0,0,1,6,6,90.9%,2021,5
99,Adam Thielen (MIN),1,2,0,0,0,0,0,0,0,0,0,1,1,1,90.9%,2021,13
18,Albert Wilson (MIA),4,5,87,21.8,64,0,0,2,19,0,0,1,14.6,14.6,1.0%,2021,10
55,Albert Wilson (MIA),5,6,17,3.4,6,0,0,0,0,0,0,1,6.7,6.7,1.0%,2021,12
51,Albert Wilson (MIA),4,8,26,6.5,13,0,0,0,0,0,0,1,6.6,6.6,1.0%,2021,13
