Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Ja'Marr Chase (CIN),11,12,266,24.2,72,0,3,0,0,0,0,1,55.6,55.6,99.9%,2021,17
2,Amon-Ra St. Brown (DET),8,11,111,13.9,31,0,1,2,23,1,0,1,35.4,35.4,95.9%,2021,17
3,DK Metcalf (SEA),6,9,63,10.5,17,0,3,1,6,0,0,1,30.9,30.9,98.3%,2021,17
4,Davante Adams (LV),11,14,136,12.4,30,0,1,0,0,0,0,1,30.6,30.6,99.9%,2021,17
5,Braxton Berrios (NYJ),8,12,65,8.1,11,0,1,2,12,1,1,1,25.7,25.7,16.8%,2021,17
6,Cooper Kupp (LAR),6,7,95,15.8,24,0,1,0,0,0,0,1,21.5,21.5,99.9%,2021,17
7,Jakobi Meyers (NE),8,8,73,9.1,17,0,1,0,0,0,0,1,21.3,21.3,80.6%,2021,17
8,Hunter Renfrow (LV),7,9,76,10.9,24,0,1,0,0,0,0,1,20.6,20.6,91.5%,2021,17
9,Kristian Wilkerson (NE),4,8,42,10.5,20,0,2,0,0,0,0,1,20.2,20.2,0.0%,2021,17
10,Cyril Grayson Jr. (TB),6,8,81,13.5,33,0,1,0,0,0,0,1,20.1,20.1,0.1%,2021,17
11,Zay Jones (JAC),8,10,120,15,42,0,0,1,-1,0,0,1,19.9,19.9,1.0%,2021,17
12,Darnell Mooney (CHI),7,13,69,9.9,18,0,1,0,0,0,0,1,19.9,19.9,93.0%,2021,17
13,Brandin Cooks (HOU),7,11,66,9.4,24,0,1,0,0,0,0,1,19.6,19.6,94.7%,2021,17
14,Allen Lazard (GB),6,6,72,12,20,0,1,0,0,0,0,1,19.2,19.2,81.5%,2021,17
15,Antoine Wesley (ARI),4,5,30,7.5,19,0,2,0,0,0,0,1,19,19,0.4%,2021,17
16,Cedrick Wilson Jr. (MIA),6,6,35,5.8,11,0,1,0,0,0,0,1,18.7,18.7,1.4%,2021,17
17,Deebo Samuel (SF),3,6,63,21,45,0,1,7,19,0,0,1,17.2,17.2,99.8%,2021,17
